image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.435467004776001;n02443484 black-footed_ferret;n02443484;[{'probability': 0.435467, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.42479807, 'class': 'n02441942 weasel'}, {'probability': 0.06749461, 'class': 'n02443114 polecat'}, {'probability': 0.057588395, 'class': 'n02342885 hamster'}, {'probability': 0.008040919, 'class': 'n02442845 mink'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.41545233130455017;n02444819 otter;n02443484;[{'probability': 0.41545233, 'class': 'n02444819 otter'}, {'probability': 0.28643376, 'class': 'n02325366 wood_rabbit'}, {'probability': 0.12177441, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.0524052, 'class': 'n02441942 weasel'}, {'probability': 0.031718437, 'class': 'n01883070 wombat'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.7697135210037231;n02443484 black-footed_ferret;n02443484;[{'probability': 0.7697135, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.104783654, 'class': 'n02441942 weasel'}, {'probability': 0.04621515, 'class': 'n02443114 polecat'}, {'probability': 0.03703889, 'class': 'n02808304 bath_towel'}, {'probability': 0.01444944, 'class': 'n02342885 hamster'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6932255625724792;n02443484 black-footed_ferret;n02443484;[{'probability': 0.69322556, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.28509563, 'class': 'n02443114 polecat'}, {'probability': 0.018917179, 'class': 'n02441942 weasel'}, {'probability': 0.0008283315, 'class': 'n02442845 mink'}, {'probability': 0.0003584595, 'class': 'n02509815 lesser_panda'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.46899259090423584;n02443484 black-footed_ferret;n02443484;[{'probability': 0.4689926, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.14821371, 'class': 'n02443114 polecat'}, {'probability': 0.047495604, 'class': 'n02395406 hog'}, {'probability': 0.04098203, 'class': 'n02441942 weasel'}, {'probability': 0.036067918, 'class': 'n02442845 mink'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9989173412322998;n01440764 tench;n01440764;[{'probability': 0.99891734, 'class': 'n01440764 tench'}, {'probability': 0.00018735684, 'class': 'n04067472 reel'}, {'probability': 0.00015179203, 'class': 'n02536864 coho'}, {'probability': 9.507821e-05, 'class': 'n01641577 bullfrog'}, {'probability': 8.6433916e-05, 'class': 'n02514041 barracouta'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9541856050491333;n01440764 tench;n01440764;[{'probability': 0.9541856, 'class': 'n01440764 tench'}, {'probability': 0.018135775, 'class': 'n02514041 barracouta'}, {'probability': 0.017636146, 'class': 'n02536864 coho'}, {'probability': 0.00477138, 'class': 'n02641379 gar'}, {'probability': 0.0024314946, 'class': 'n02640242 sturgeon'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9963948130607605;n01440764 tench;n01440764;[{'probability': 0.9963948, 'class': 'n01440764 tench'}, {'probability': 0.0014534247, 'class': 'n02526121 eel'}, {'probability': 0.0013555497, 'class': 'n02514041 barracouta'}, {'probability': 0.00010364947, 'class': 'n02640242 sturgeon'}, {'probability': 8.9012e-05, 'class': 'n02536864 coho'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9956265687942505;n01443537 goldfish;n01443537;[{'probability': 0.99562657, 'class': 'n01443537 goldfish'}, {'probability': 0.0029360019, 'class': 'n01440764 tench'}, {'probability': 0.0004630568, 'class': 'n02606052 rock_beauty'}, {'probability': 0.00034531977, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00013326385, 'class': 'n02655020 puffer'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.8880388140678406;n01443537 goldfish;n01443537;[{'probability': 0.8880388, 'class': 'n01443537 goldfish'}, {'probability': 0.009080617, 'class': 'n02927161 butcher_shop'}, {'probability': 0.0087462505, 'class': 'n04560804 water_jug'}, {'probability': 0.008524241, 'class': 'n02815834 beaker'}, {'probability': 0.008288036, 'class': 'n04209239 shower_curtain'}]
