image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.5552539229393005;n02443484 black-footed_ferret;n02443484;[{'probability': 0.5552539, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.21401067, 'class': 'n02443114 polecat'}, {'probability': 0.05239825, 'class': 'n02441942 weasel'}, {'probability': 0.012618028, 'class': 'n02442845 mink'}, {'probability': 0.0068029505, 'class': 'n02342885 hamster'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.569683313369751;n02443484 black-footed_ferret;n02443484;[{'probability': 0.5696833, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.122543626, 'class': 'n02441942 weasel'}, {'probability': 0.07419156, 'class': 'n02443114 polecat'}, {'probability': 0.00426797, 'class': 'n02442845 mink'}, {'probability': 0.002387034, 'class': 'n02342885 hamster'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6624059081077576;n02443114 polecat;n02443484;[{'probability': 0.6624059, 'class': 'n02443114 polecat'}, {'probability': 0.12371808, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.052943345, 'class': 'n02441942 weasel'}, {'probability': 0.012848031, 'class': 'n02442845 mink'}, {'probability': 0.005034839, 'class': 'n02808304 bath_towel'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.44186070561408997;n02443114 polecat;n02443484;[{'probability': 0.4418607, 'class': 'n02443114 polecat'}, {'probability': 0.2359319, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.04742318, 'class': 'n02441942 weasel'}, {'probability': 0.010947886, 'class': 'n02442845 mink'}, {'probability': 0.0020980616, 'class': 'n02509815 lesser_panda'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.6436839699745178;n02443114 polecat;n02443484;[{'probability': 0.64368397, 'class': 'n02443114 polecat'}, {'probability': 0.117407486, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.0296565, 'class': 'n02442845 mink'}, {'probability': 0.023360204, 'class': 'n02441942 weasel'}, {'probability': 0.0012649638, 'class': 'n02447366 badger'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.8351913094520569;n01440764 tench;n01440764;[{'probability': 0.8351913, 'class': 'n01440764 tench'}, {'probability': 0.0011550523, 'class': 'n04067472 reel'}, {'probability': 0.0010857197, 'class': 'n02514041 barracouta'}, {'probability': 0.0008254373, 'class': 'n01443537 goldfish'}, {'probability': 0.00071838486, 'class': 'n02536864 coho'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.8270072340965271;n01440764 tench;n01440764;[{'probability': 0.82700723, 'class': 'n01440764 tench'}, {'probability': 0.001934541, 'class': 'n02514041 barracouta'}, {'probability': 0.0010626251, 'class': 'n02526121 eel'}, {'probability': 0.0006914706, 'class': 'n02536864 coho'}, {'probability': 0.00052314537, 'class': 'n01443537 goldfish'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.7964389324188232;n01440764 tench;n01440764;[{'probability': 0.79643893, 'class': 'n01440764 tench'}, {'probability': 0.0017372589, 'class': 'n02526121 eel'}, {'probability': 0.0011532162, 'class': 'n02514041 barracouta'}, {'probability': 0.00079096056, 'class': 'n01728572 thunder_snake'}, {'probability': 0.00070041884, 'class': 'n02536864 coho'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.8424688577651978;n01443537 goldfish;n01443537;[{'probability': 0.84246886, 'class': 'n01443537 goldfish'}, {'probability': 0.0010755007, 'class': 'n02007558 flamingo'}, {'probability': 0.0010620891, 'class': 'n02607072 anemone_fish'}, {'probability': 0.0008837935, 'class': 'n02701002 ambulance'}, {'probability': 0.00075303664, 'class': 'n02606052 rock_beauty'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.8165735006332397;n01443537 goldfish;n01443537;[{'probability': 0.8165735, 'class': 'n01443537 goldfish'}, {'probability': 0.008955198, 'class': 'n01632777 axolotl'}, {'probability': 0.0027666334, 'class': 'n01631663 eft'}, {'probability': 0.0024428521, 'class': 'n04209239 shower_curtain'}, {'probability': 0.0015115956, 'class': 'n02655020 puffer'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.831089198589325;n01443537 goldfish;n01443537;[{'probability': 0.8310892, 'class': 'n01443537 goldfish'}, {'probability': 0.0011316503, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0008888942, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00083998486, 'class': 'n01440764 tench'}, {'probability': 0.0008240418, 'class': 'n09256479 coral_reef'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.7366819381713867;n01484850 great_white_shark;n01484850;[{'probability': 0.73668194, 'class': 'n01484850 great_white_shark'}, {'probability': 0.022217996, 'class': 'n01491361 tiger_shark'}, {'probability': 0.002123737, 'class': 'n02071294 killer_whale'}, {'probability': 0.0019203937, 'class': 'n02066245 grey_whale'}, {'probability': 0.0012296775, 'class': 'n01496331 electric_ray'}]
