image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.28303050994873047;n02443484 black-footed_ferret;n02443484;[{'probability': 0.2830305, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.2739853, 'class': 'n02442845 mink'}, {'probability': 0.21688786, 'class': 'n02441942 weasel'}, {'probability': 0.11892999, 'class': 'n02342885 hamster'}, {'probability': 0.06770387, 'class': 'n02443114 polecat'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.8166455030441284;n03825788 nipple;n02443484;[{'probability': 0.8166455, 'class': 'n03825788 nipple'}, {'probability': 0.04229985, 'class': 'n03661043 library'}, {'probability': 0.039063368, 'class': 'n03983396 pop_bottle'}, {'probability': 0.021082371, 'class': 'n03868863 oxygen_mask'}, {'probability': 0.012795998, 'class': 'n04557648 water_bottle'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.9160619974136353;n02808304 bath_towel;n02443484;[{'probability': 0.916062, 'class': 'n02808304 bath_towel'}, {'probability': 0.026516486, 'class': 'n02342885 hamster'}, {'probability': 0.01796731, 'class': 'n02441942 weasel'}, {'probability': 0.010271459, 'class': 'n02356798 fox_squirrel'}, {'probability': 0.007863573, 'class': 'n02443484 black-footed_ferret'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.9393588304519653;n02443484 black-footed_ferret;n02443484;[{'probability': 0.93935883, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.04651181, 'class': 'n02443114 polecat'}, {'probability': 0.014116367, 'class': 'n02441942 weasel'}, {'probability': 1.29016735e-05, 'class': 'n02442845 mink'}, {'probability': 7.23583e-08, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7879318594932556;n02443484 black-footed_ferret;n02443484;[{'probability': 0.78793186, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.20620675, 'class': 'n02443114 polecat'}, {'probability': 0.0053359102, 'class': 'n02441942 weasel'}, {'probability': 0.00038225984, 'class': 'n02442845 mink'}, {'probability': 8.079097e-05, 'class': 'n02395406 hog'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9999939203262329;n01440764 tench;n01440764;[{'probability': 0.9999939, 'class': 'n01440764 tench'}, {'probability': 9.97174e-07, 'class': 'n02536864 coho'}, {'probability': 8.264655e-07, 'class': 'n04067472 reel'}, {'probability': 6.4536255e-07, 'class': 'n01983481 American_lobster'}, {'probability': 2.9634248e-07, 'class': 'n04111531 rotisserie'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9999994039535522;n01440764 tench;n01440764;[{'probability': 0.9999994, 'class': 'n01440764 tench'}, {'probability': 5.5935624e-07, 'class': 'n02536864 coho'}, {'probability': 1.9782863e-08, 'class': 'n01443537 goldfish'}, {'probability': 1.5119062e-08, 'class': 'n03982430 pool_table'}, {'probability': 3.1310652e-09, 'class': 'n02860847 bobsled'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9999538660049438;n01440764 tench;n01440764;[{'probability': 0.99995387, 'class': 'n01440764 tench'}, {'probability': 3.5231198e-05, 'class': 'n02526121 eel'}, {'probability': 6.692095e-06, 'class': 'n02074367 dugong'}, {'probability': 3.5222379e-06, 'class': 'n02077923 sea_lion'}, {'probability': 1.7983612e-07, 'class': 'n01632777 axolotl'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9997602105140686;n01443537 goldfish;n01443537;[{'probability': 0.9997602, 'class': 'n01443537 goldfish'}, {'probability': 0.0002396128, 'class': 'n02606052 rock_beauty'}, {'probability': 9.554203e-08, 'class': 'n02607072 anemone_fish'}, {'probability': 9.903539e-09, 'class': 'n02655020 puffer'}, {'probability': 2.080338e-09, 'class': 'n01440764 tench'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.9948752522468567;n01443537 goldfish;n01443537;[{'probability': 0.99487525, 'class': 'n01443537 goldfish'}, {'probability': 0.0041649737, 'class': 'n04111531 rotisserie'}, {'probability': 7.0361966e-05, 'class': 'n02927161 butcher_shop'}, {'probability': 4.4693705e-05, 'class': 'n02815834 beaker'}, {'probability': 4.1093273e-05, 'class': 'n01910747 jellyfish'}]
