image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.46181291341781616;n02442845 mink;n02443484;[{'probability': 0.4618129, 'class': 'n02442845 mink'}, {'probability': 0.28526482, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.13121149, 'class': 'n02342885 hamster'}, {'probability': 0.05262069, 'class': 'n02443114 polecat'}, {'probability': 0.032124534, 'class': 'n02441942 weasel'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.18459874391555786;n02443484 black-footed_ferret;n02443484;[{'probability': 0.18459874, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.13741206, 'class': 'n02441942 weasel'}, {'probability': 0.0642683, 'class': 'n02095570 Lakeland_terrier'}, {'probability': 0.061921705, 'class': 'n02443114 polecat'}, {'probability': 0.048992533, 'class': 'n01883070 wombat'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.22078783810138702;n02443484 black-footed_ferret;n02443484;[{'probability': 0.22078784, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.21746789, 'class': 'n02443114 polecat'}, {'probability': 0.192276, 'class': 'n02441942 weasel'}, {'probability': 0.10227217, 'class': 'n02093647 Bedlington_terrier'}, {'probability': 0.07402608, 'class': 'n02442845 mink'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.4750145673751831;n02443114 polecat;n02443484;[{'probability': 0.47501457, 'class': 'n02443114 polecat'}, {'probability': 0.42585716, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.09007313, 'class': 'n02441942 weasel'}, {'probability': 0.007614804, 'class': 'n02442845 mink'}, {'probability': 0.0008471042, 'class': 'n02447366 badger'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.3108997344970703;n02443114 polecat;n02443484;[{'probability': 0.31089973, 'class': 'n02443114 polecat'}, {'probability': 0.3007068, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.19413869, 'class': 'n02441942 weasel'}, {'probability': 0.1929099, 'class': 'n02442845 mink'}, {'probability': 0.00060360105, 'class': 'n02447366 badger'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9699267148971558;n01440764 tench;n01440764;[{'probability': 0.9699267, 'class': 'n01440764 tench'}, {'probability': 0.0114638535, 'class': 'n04067472 reel'}, {'probability': 0.008396537, 'class': 'n01945685 slug'}, {'probability': 0.0051516737, 'class': 'n01944390 snail'}, {'probability': 0.001397176, 'class': 'n02514041 barracouta'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.38276049494743347;n01440764 tench;n01440764;[{'probability': 0.3827605, 'class': 'n01440764 tench'}, {'probability': 0.31685844, 'class': 'n02514041 barracouta'}, {'probability': 0.18225347, 'class': 'n02640242 sturgeon'}, {'probability': 0.061054893, 'class': 'n02641379 gar'}, {'probability': 0.047540665, 'class': 'n02536864 coho'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9991714954376221;n01440764 tench;n01440764;[{'probability': 0.9991715, 'class': 'n01440764 tench'}, {'probability': 0.0006997598, 'class': 'n02526121 eel'}, {'probability': 9.515311e-05, 'class': 'n02514041 barracouta'}, {'probability': 1.0106722e-05, 'class': 'n01632777 axolotl'}, {'probability': 4.6478035e-06, 'class': 'n01945685 slug'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999992847442627;n01443537 goldfish;n01443537;[{'probability': 0.9999993, 'class': 'n01443537 goldfish'}, {'probability': 6.37669e-07, 'class': 'n02607072 anemone_fish'}, {'probability': 1.293153e-07, 'class': 'n02606052 rock_beauty'}, {'probability': 3.4016132e-08, 'class': 'n01440764 tench'}, {'probability': 3.9852246e-09, 'class': 'n01914609 sea_anemone'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.25871098041534424;n03788365 mosquito_net;n01443537;[{'probability': 0.25871098, 'class': 'n03788365 mosquito_net'}, {'probability': 0.1672337, 'class': 'n01443537 goldfish'}, {'probability': 0.15915391, 'class': 'n04209239 shower_curtain'}, {'probability': 0.07608639, 'class': 'n02927161 butcher_shop'}, {'probability': 0.028559607, 'class': 'n01704323 triceratops'}]
