image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.10713356971740723;n02490219 marmoset;n02443484;[{'class': 'n02490219 marmoset', 'probability': 0.10713356971740723}, {'class': 'n02363005 beaver', 'probability': 0.07894811630249024}, {'class': 'n02481823 chimpanzee', 'probability': 0.06470942497253418}, {'class': 'n02492035 capuchin', 'probability': 0.06244607448577881}, {'class': 'n04501370 turnstile', 'probability': 0.044146409034729}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.10942675590515137;n01882714 koala;n02443484;[{'class': 'n01882714 koala', 'probability': 0.10942675590515137}, {'class': 'n03902125 pay-phone', 'probability': 0.06205268383026123}, {'class': 'n01742172 boa_constrictor', 'probability': 0.0438961935043335}, {'class': 'n02091032 Italian_greyhound', 'probability': 0.036783270835876465}, {'class': 'n02110958 pug', 'probability': 0.027565162181854248}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.317662353515625;n04399382 teddy;n02443484;[{'class': 'n04399382 teddy', 'probability': 0.317662353515625}, {'class': 'n02093647 Bedlington_terrier', 'probability': 0.14925098419189453}, {'class': 'n02095570 Lakeland_terrier', 'probability': 0.09260693550109864}, {'class': 'n02091467 Norwegian_elkhound', 'probability': 0.04268086433410644}, {'class': 'n02110958 pug', 'probability': 0.04006166934967041}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5118232345581055;n02443114 polecat;n02443484;[{'class': 'n02443114 polecat', 'probability': 0.5118232345581055}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.39442981719970704}, {'class': 'n02441942 weasel', 'probability': 0.07628940105438232}, {'class': 'n02442845 mink', 'probability': 0.013555971384048461}, {'class': 'n02444819 otter', 'probability': 0.001129124164581299}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.4102603530883789;n02114548 white_wolf;n02443484;[{'class': 'n02114548 white_wolf', 'probability': 0.4102603530883789}, {'class': 'n02443114 polecat', 'probability': 0.12090677261352539}, {'class': 'n02111889 Samoyed', 'probability': 0.062063803672790525}, {'class': 'n02120079 Arctic_fox', 'probability': 0.05952559947967529}, {'class': 'n02364673 guinea_pig', 'probability': 0.051401400566101076}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9048388671875;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9048388671875}, {'class': 'n04067472 reel', 'probability': 0.012982940673828125}, {'class': 'n01667114 mud_turtle', 'probability': 0.01120290756225586}, {'class': 'n01677366 common_iguana', 'probability': 0.006979008913040161}, {'class': 'n01667778 terrapin', 'probability': 0.006599918603897094}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.3473977279663086;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.3473977279663086}, {'class': 'n02514041 barracouta', 'probability': 0.2865827751159668}, {'class': 'n02536864 coho', 'probability': 0.19214605331420898}, {'class': 'n01440764 tench', 'probability': 0.13384079933166504}, {'class': 'n02641379 gar', 'probability': 0.032436180114746097}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9999966430664062;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9999966430664062}, {'class': 'n02526121 eel', 'probability': 2.3485255951527508e-06}, {'class': 'n02514041 barracouta', 'probability': 3.258250217186287e-07}, {'class': 'n04067472 reel', 'probability': 2.6403080482850783e-07}, {'class': 'n01945685 slug', 'probability': 1.1571814866329077e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999891662597656;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999891662597656}, {'class': 'n02607072 anemone_fish', 'probability': 9.989077225327492e-06}, {'class': 'n02007558 flamingo', 'probability': 4.624494977178983e-07}, {'class': 'n01632777 axolotl', 'probability': 1.4874497537675778e-07}, {'class': 'n02606052 rock_beauty', 'probability': 1.474294640502194e-07}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.22940532684326173;n04209239 shower_curtain;n01443537;[{'class': 'n04209239 shower_curtain', 'probability': 0.22940532684326173}, {'class': 'n03788365 mosquito_net', 'probability': 0.04468632698059082}, {'class': 'n02699494 altar', 'probability': 0.028544251918792726}, {'class': 'n03970156 plunger', 'probability': 0.026278083324432374}, {'class': 'n02927161 butcher_shop', 'probability': 0.0227543044090271}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9998580169677734;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9998580169677734}, {'class': 'n01985128 crayfish', 'probability': 4.0040398016572e-05}, {'class': 'n09256479 coral_reef', 'probability': 2.413691719993949e-05}, {'class': 'n01632777 axolotl', 'probability': 2.0310613326728344e-05}, {'class': 'n01990800 isopod', 'probability': 9.205041569657624e-06}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9899609375;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9899609375}, {'class': 'n01491361 tiger_shark', 'probability': 0.005520201921463012}, {'class': 'n02807133 bathing_cap', 'probability': 0.0014681150019168854}, {'class': 'n01498041 stingray', 'probability': 0.0006147149950265884}, {'class': 'n02074367 dugong', 'probability': 0.0004160992056131363}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.23419322967529296;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.23419322967529296}, {'class': 'n01491361 tiger_shark', 'probability': 0.203802490234375}, {'class': 'n02071294 killer_whale', 'probability': 0.18403751373291016}, {'class': 'n01496331 electric_ray', 'probability': 0.1282063293457031}, {'class': 'n01494475 hammerhead', 'probability': 0.10679775238037109}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.8171568298339844;n01491361 tiger_shark;n01484850;[{'class': 'n01491361 tiger_shark', 'probability': 0.8171568298339844}, {'class': 'n01484850 great_white_shark', 'probability': 0.15270204544067384}, {'class': 'n01498041 stingray', 'probability': 0.0071352231502532955}, {'class': 'n01494475 hammerhead', 'probability': 0.00645713210105896}, {'class': 'n01496331 electric_ray', 'probability': 0.005377921462059021}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9810606384277344;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9810606384277344}, {'class': 'n01494475 hammerhead', 'probability': 0.004550996124744415}, {'class': 'n02071294 killer_whale', 'probability': 0.002161860018968582}, {'class': 'n04266014 space_shuttle', 'probability': 0.0013773460686206818}, {'class': 'n04008634 projectile', 'probability': 0.0012925241887569428}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.9275440216064453;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9275440216064453}, {'class': 'n02066245 grey_whale', 'probability': 0.029748766422271727}, {'class': 'n02077923 sea_lion', 'probability': 0.017096545696258545}, {'class': 'n02058221 albatross', 'probability': 0.00759055495262146}, {'class': 'n02074367 dugong', 'probability': 0.005346850752830506}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.14548126220703125;n01910747 jellyfish;n01491361;[{'class': 'n01910747 jellyfish', 'probability': 0.14548126220703125}, {'class': 'n02655020 puffer', 'probability': 0.08090242385864257}, {'class': 'n09256479 coral_reef', 'probability': 0.07622872829437256}, {'class': 'n01484850 great_white_shark', 'probability': 0.07215614795684815}, {'class': 'n01491361 tiger_shark', 'probability': 0.05370203971862793}]
