image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.4414487075805664;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.4414487075805664}, {'class': 'n02441942 weasel', 'probability': 0.2367088508605957}, {'class': 'n02443114 polecat', 'probability': 0.21163637161254883}, {'class': 'n02442845 mink', 'probability': 0.051223769187927246}, {'class': 'n02342885 hamster', 'probability': 0.050078177452087404}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.512635726928711;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.512635726928711}, {'class': 'n02441942 weasel', 'probability': 0.3701853942871094}, {'class': 'n02443114 polecat', 'probability': 0.11557366371154786}, {'class': 'n02442845 mink', 'probability': 0.0010371580719947815}, {'class': 'n02444819 otter', 'probability': 0.00017956022173166276}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.8083375549316406;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.8083375549316406}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.14112014770507814}, {'class': 'n02443114 polecat', 'probability': 0.03346266508102417}, {'class': 'n02442845 mink', 'probability': 0.00938537836074829}, {'class': 'n02342885 hamster', 'probability': 0.003919006288051605}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5975756072998046;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.5975756072998046}, {'class': 'n02443114 polecat', 'probability': 0.22947568893432618}, {'class': 'n02441942 weasel', 'probability': 0.17042779922485352}, {'class': 'n02442845 mink', 'probability': 0.0017795798182487488}, {'class': 'n02509815 lesser_panda', 'probability': 0.00016786005347967147}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.835431137084961;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.835431137084961}, {'class': 'n02443114 polecat', 'probability': 0.10990099906921387}, {'class': 'n02441942 weasel', 'probability': 0.05059417724609375}, {'class': 'n02442845 mink', 'probability': 0.003224654197692871}, {'class': 'n02447366 badger', 'probability': 0.0005280983075499535}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9993590545654297;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9993590545654297}, {'class': 'n04067472 reel', 'probability': 0.00033383809030056}, {'class': 'n02536864 coho', 'probability': 0.00018166134133934975}, {'class': 'n02514041 barracouta', 'probability': 7.211352698504925e-05}, {'class': 'n02641379 gar', 'probability': 2.418949268758297e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9973293304443359;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9973293304443359}, {'class': 'n02536864 coho', 'probability': 0.0021425823867321013}, {'class': 'n02514041 barracouta', 'probability': 0.00036288656294345854}, {'class': 'n02640242 sturgeon', 'probability': 2.2775847464799882e-05}, {'class': 'n04067472 reel', 'probability': 1.5388908796012402e-05}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9880126953125;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9880126953125}, {'class': 'n02526121 eel', 'probability': 0.004893056154251099}, {'class': 'n01632777 axolotl', 'probability': 0.0016089364886283874}, {'class': 'n01945685 slug', 'probability': 0.0010464003682136536}, {'class': 'n02443114 polecat', 'probability': 0.0006103949248790741}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9992389678955078;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9992389678955078}, {'class': 'n02606052 rock_beauty', 'probability': 0.0002459673769772053}, {'class': 'n02607072 anemone_fish', 'probability': 0.00016103820875287055}, {'class': 'n02007558 flamingo', 'probability': 6.120702717453241e-05}, {'class': 'n01440764 tench', 'probability': 2.739562187343836e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.6970246887207031;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.6970246887207031}, {'class': 'n03958227 plastic_bag', 'probability': 0.0936092758178711}, {'class': 'n03788365 mosquito_net', 'probability': 0.04203696727752686}, {'class': 'n04209239 shower_curtain', 'probability': 0.0406270694732666}, {'class': 'n02927161 butcher_shop', 'probability': 0.014162334203720093}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9973136901855468;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9973136901855468}, {'class': 'n02606052 rock_beauty', 'probability': 0.0014569349586963654}, {'class': 'n02607072 anemone_fish', 'probability': 0.00048318706452846525}, {'class': 'n09256479 coral_reef', 'probability': 0.00028724124655127526}, {'class': 'n01440764 tench', 'probability': 6.609516218304634e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9966361236572265;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9966361236572265}, {'class': 'n01491361 tiger_shark', 'probability': 0.003268727362155914}, {'class': 'n02074367 dugong', 'probability': 2.114875474944711e-05}, {'class': 'n01498041 stingray', 'probability': 1.5136071015149355e-05}, {'class': 'n02134084 ice_bear', 'probability': 1.4368122210726141e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.9930342102050781;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9930342102050781}, {'class': 'n01491361 tiger_shark', 'probability': 0.005302287340164184}, {'class': 'n02071294 killer_whale', 'probability': 0.0007047306746244431}, {'class': 'n02134084 ice_bear', 'probability': 0.0002731965482234955}, {'class': 'n02074367 dugong', 'probability': 0.00023391460999846458}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.9841258239746093;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9841258239746093}, {'class': 'n01491361 tiger_shark', 'probability': 0.015810210704803467}, {'class': 'n01494475 hammerhead', 'probability': 2.992222551256418e-05}, {'class': 'n01496331 electric_ray', 'probability': 1.5481029404327273e-05}, {'class': 'n01498041 stingray', 'probability': 4.618056700564921e-06}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.998634033203125;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.998634033203125}, {'class': 'n01491361 tiger_shark', 'probability': 0.0010562146455049516}, {'class': 'n02071294 killer_whale', 'probability': 5.1088235341012475e-05}, {'class': 'n02641379 gar', 'probability': 4.4604972936213015e-05}, {'class': 'n02536864 coho', 'probability': 4.324652254581451e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.9923593139648438;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9923593139648438}, {'class': 'n02066245 grey_whale', 'probability': 0.0023168221116065977}, {'class': 'n01491361 tiger_shark', 'probability': 0.002214197963476181}, {'class': 'n02071294 killer_whale', 'probability': 0.0011268301308155059}, {'class': 'n02077923 sea_lion', 'probability': 0.0004400978982448578}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.5897860717773438;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.5897860717773438}, {'class': 'n01484850 great_white_shark', 'probability': 0.2846842384338379}, {'class': 'n01494475 hammerhead', 'probability': 0.10054163932800293}, {'class': 'n01498041 stingray', 'probability': 0.010532990694046021}, {'class': 'n01496331 electric_ray', 'probability': 0.007342259883880615}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.605062255859375;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.605062255859375}, {'class': 'n01491361 tiger_shark', 'probability': 0.27673805236816407}, {'class': 'n01484850 great_white_shark', 'probability': 0.03833553552627564}, {'class': 'n01496331 electric_ray', 'probability': 0.03265474796295166}, {'class': 'n01498041 stingray', 'probability': 0.023815040588378907}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.642281494140625;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.642281494140625}, {'class': 'n01491361 tiger_shark', 'probability': 0.28382535934448244}, {'class': 'n01484850 great_white_shark', 'probability': 0.04264754295349121}, {'class': 'n01496331 electric_ray', 'probability': 0.00703742504119873}, {'class': 'n02640242 sturgeon', 'probability': 0.006025758385658264}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.7148171234130859;n02536864 coho;n01494475;[{'class': 'n02536864 coho', 'probability': 0.7148171234130859}, {'class': 'n02640242 sturgeon', 'probability': 0.19833707809448242}, {'class': 'n02514041 barracouta', 'probability': 0.03099985122680664}, {'class': 'n01494475 hammerhead', 'probability': 0.02688199281692505}, {'class': 'n04067472 reel', 'probability': 0.012141059637069702}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.9101525115966796;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.9101525115966796}, {'class': 'n01484850 great_white_shark', 'probability': 0.068296799659729}, {'class': 'n01491361 tiger_shark', 'probability': 0.008949334025382996}, {'class': 'n03773504 missile', 'probability': 0.0030457502603530883}, {'class': 'n04008634 projectile', 'probability': 0.0029614830017089845}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.9324668884277344;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.9324668884277344}, {'class': 'n01491361 tiger_shark', 'probability': 0.03223623991012573}, {'class': 'n01484850 great_white_shark', 'probability': 0.029684760570526124}, {'class': 'n01496331 electric_ray', 'probability': 0.001280975341796875}, {'class': 'n01498041 stingray', 'probability': 0.0008161615580320359}]
