image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.18372489929199218;n02342885 hamster;n02443484;[{'class': 'n02342885 hamster', 'probability': 0.18372489929199218}, {'class': 'n04589890 window_screen', 'probability': 0.16497997283935548}, {'class': 'n03942813 ping-pong_ball', 'probability': 0.04297197341918945}, {'class': 'n02328150 Angora', 'probability': 0.03243098020553589}, {'class': 'n03388043 fountain', 'probability': 0.019662224054336548}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.12400055885314941;n03642806 laptop;n02443484;[{'class': 'n03642806 laptop', 'probability': 0.12400055885314941}, {'class': 'n03832673 notebook', 'probability': 0.056297192573547365}, {'class': 'n03793489 mouse', 'probability': 0.033207998275756836}, {'class': 'n02883205 bow_tie', 'probability': 0.025721864700317384}, {'class': 'n02992529 cellular_telephone', 'probability': 0.024737160205841064}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.15232497215270996;n02808304 bath_towel;n02443484;[{'class': 'n02808304 bath_towel', 'probability': 0.15232497215270996}, {'class': 'n04589890 window_screen', 'probability': 0.07649949073791504}, {'class': 'n02441942 weasel', 'probability': 0.05009629726409912}, {'class': 'n04399382 teddy', 'probability': 0.04400649070739746}, {'class': 'n04404412 television', 'probability': 0.035565185546875}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.16570209503173827;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.16570209503173827}, {'class': 'n02443114 polecat', 'probability': 0.13214085578918458}, {'class': 'n02441942 weasel', 'probability': 0.12584318161010744}, {'class': 'n02445715 skunk', 'probability': 0.06063076019287109}, {'class': 'n02346627 porcupine', 'probability': 0.04080358982086182}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.45635509490966797;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.45635509490966797}, {'class': 'n02443114 polecat', 'probability': 0.29452699661254883}, {'class': 'n02441942 weasel', 'probability': 0.16025712966918945}, {'class': 'n02346627 porcupine', 'probability': 0.06380244255065919}, {'class': 'n02442845 mink', 'probability': 0.018259531259536742}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.5600039291381836;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.5600039291381836}, {'class': 'n01945685 slug', 'probability': 0.05885557651519775}, {'class': 'n03481172 hammer', 'probability': 0.034943647384643554}, {'class': 'n04067472 reel', 'probability': 0.025108189582824708}, {'class': 'n02536864 coho', 'probability': 0.021451854705810548}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.21060779571533203;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.21060779571533203}, {'class': 'n02536864 coho', 'probability': 0.09420095443725586}, {'class': 'n02514041 barracouta', 'probability': 0.05468867301940918}, {'class': 'n02641379 gar', 'probability': 0.026341784000396728}, {'class': 'n02640242 sturgeon', 'probability': 0.01748328447341919}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.7246967315673828;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.7246967315673828}, {'class': 'n02526121 eel', 'probability': 0.07845908164978027}, {'class': 'n02514041 barracouta', 'probability': 0.022310075759887697}, {'class': 'n02641379 gar', 'probability': 0.01836582660675049}, {'class': 'n07716358 zucchini', 'probability': 0.015271716117858887}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9776410675048828;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9776410675048828}, {'class': 'n02007558 flamingo', 'probability': 0.006759410500526428}, {'class': 'n02607072 anemone_fish', 'probability': 0.002886202335357666}, {'class': 'n01820546 lorikeet', 'probability': 0.0022218646109104156}, {'class': 'n01632777 axolotl', 'probability': 0.0015097494423389436}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.06204319953918457;n03788365 mosquito_net;n01443537;[{'class': 'n03788365 mosquito_net', 'probability': 0.06204319953918457}, {'class': 'n04523525 vault', 'probability': 0.041631832122802734}, {'class': 'n04209239 shower_curtain', 'probability': 0.023955328464508055}, {'class': 'n04296562 stage', 'probability': 0.015843868255615234}, {'class': 'n04591713 wine_bottle', 'probability': 0.014201281070709228}]
