image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.2542428970336914;n01883070 wombat;n02443484;[{'class': 'n01883070 wombat', 'probability': 0.2542428970336914}, {'class': 'n02442845 mink', 'probability': 0.2167257308959961}, {'class': 'n02447366 badger', 'probability': 0.1316974925994873}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.07681802749633788}, {'class': 'n02441942 weasel', 'probability': 0.07155619621276856}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.787435302734375;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.787435302734375}, {'class': 'n02441942 weasel', 'probability': 0.1354080295562744}, {'class': 'n02443114 polecat', 'probability': 0.06543272972106934}, {'class': 'n01883070 wombat', 'probability': 0.003039926886558533}, {'class': 'n02137549 mongoose', 'probability': 0.0028912097215652464}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.45585018157958984;n02441942 weasel;n02443484;[{'class': 'n02441942 weasel', 'probability': 0.45585018157958984}, {'class': 'n02443114 polecat', 'probability': 0.19939666748046875}, {'class': 'n02443484 black-footed_ferret', 'probability': 0.18275222778320313}, {'class': 'n02442845 mink', 'probability': 0.14678631782531737}, {'class': 'n02444819 otter', 'probability': 0.009386724829673766}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.4642691421508789;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.4642691421508789}, {'class': 'n02443114 polecat', 'probability': 0.3995583724975586}, {'class': 'n02441942 weasel', 'probability': 0.12686530113220215}, {'class': 'n02442845 mink', 'probability': 0.008968749046325684}, {'class': 'n02444819 otter', 'probability': 0.000141886118799448}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.47589855194091796;n02443484 black-footed_ferret;n02443484;[{'class': 'n02443484 black-footed_ferret', 'probability': 0.47589855194091796}, {'class': 'n02443114 polecat', 'probability': 0.289881534576416}, {'class': 'n02441942 weasel', 'probability': 0.11703117370605469}, {'class': 'n02442845 mink', 'probability': 0.09428764343261718}, {'class': 'n01883070 wombat', 'probability': 0.008118887543678283}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.999864730834961;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.999864730834961}, {'class': 'n04067472 reel', 'probability': 8.638990111649036e-05}, {'class': 'n02536864 coho', 'probability': 3.053284715861082e-05}, {'class': 'n02514041 barracouta', 'probability': 1.1671304237097502e-05}, {'class': 'n02641379 gar', 'probability': 4.161500255577266e-06}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.7306686401367187;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.7306686401367187}, {'class': 'n02514041 barracouta', 'probability': 0.16680784225463868}, {'class': 'n02641379 gar', 'probability': 0.05927230358123779}, {'class': 'n02526121 eel', 'probability': 0.022798049449920654}, {'class': 'n07716358 zucchini', 'probability': 0.004747809469699859}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9922206115722656;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.9922206115722656}, {'class': 'n02514041 barracouta', 'probability': 0.0061772453784942625}, {'class': 'n04067472 reel', 'probability': 0.0013592429459095001}, {'class': 'n02536864 coho', 'probability': 9.844012558460235e-05}, {'class': 'n02526121 eel', 'probability': 7.328325416892767e-05}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999990844726563;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999990844726563}, {'class': 'n02607072 anemone_fish', 'probability': 7.782674947520718e-07}, {'class': 'n01914609 sea_anemone', 'probability': 8.070485819189343e-08}, {'class': 'n02606052 rock_beauty', 'probability': 1.817466227294062e-08}, {'class': 'n09256479 coral_reef', 'probability': 1.6831399989314377e-08}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.5963139343261719;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.5963139343261719}, {'class': 'n04111531 rotisserie', 'probability': 0.3076556968688965}, {'class': 'n02927161 butcher_shop', 'probability': 0.017906341552734375}, {'class': 'n01983481 American_lobster', 'probability': 0.01772355079650879}, {'class': 'n02007558 flamingo', 'probability': 0.009027389883995056}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;1.0;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 1.0}, {'class': 'n02606052 rock_beauty', 'probability': 2.621420208015479e-08}, {'class': 'n02607072 anemone_fish', 'probability': 8.579217478654755e-09}, {'class': 'n09256479 coral_reef', 'probability': 6.2237950260168875e-09}, {'class': 'n01914609 sea_anemone', 'probability': 2.8650568140164976e-10}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9794363403320312;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9794363403320312}, {'class': 'n01491361 tiger_shark', 'probability': 0.018448636531829835}, {'class': 'n02066245 grey_whale', 'probability': 0.0006518067419528961}, {'class': 'n01498041 stingray', 'probability': 0.0005835001170635223}, {'class': 'n02071294 killer_whale', 'probability': 0.00031152790412306784}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.4016349411010742;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.4016349411010742}, {'class': 'n01491361 tiger_shark', 'probability': 0.35723175048828126}, {'class': 'n01496331 electric_ray', 'probability': 0.07259963512420654}, {'class': 'n02077923 sea_lion', 'probability': 0.04029475688934326}, {'class': 'n02066245 grey_whale', 'probability': 0.03113194465637207}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.9856876373291016;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9856876373291016}, {'class': 'n01491361 tiger_shark', 'probability': 0.01417302966117859}, {'class': 'n01496331 electric_ray', 'probability': 6.194224115461112e-05}, {'class': 'n01494475 hammerhead', 'probability': 2.7636394370347262e-05}, {'class': 'n02640242 sturgeon', 'probability': 2.128874883055687e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9983766937255859;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9983766937255859}, {'class': 'n01491361 tiger_shark', 'probability': 0.001308143436908722}, {'class': 'n02536864 coho', 'probability': 0.00012092114426195621}, {'class': 'n02640242 sturgeon', 'probability': 0.00010514752008020877}, {'class': 'n02066245 grey_whale', 'probability': 3.815082600340247e-05}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.9669168853759765;n01484850 great_white_shark;n01484850;[{'class': 'n01484850 great_white_shark', 'probability': 0.9669168853759765}, {'class': 'n02066245 grey_whale', 'probability': 0.028736140727996826}, {'class': 'n02077923 sea_lion', 'probability': 0.0016201713681221008}, {'class': 'n01491361 tiger_shark', 'probability': 0.0007617860287427902}, {'class': 'n02641379 gar', 'probability': 0.0005705884099006653}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.781221923828125;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.781221923828125}, {'class': 'n01494475 hammerhead', 'probability': 0.09805629730224609}, {'class': 'n01484850 great_white_shark', 'probability': 0.0711131191253662}, {'class': 'n02536864 coho', 'probability': 0.014910755157470703}, {'class': 'n02641379 gar', 'probability': 0.010832040309906006}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.6878818511962891;n01491361 tiger_shark;n01491361;[{'class': 'n01491361 tiger_shark', 'probability': 0.6878818511962891}, {'class': 'n01494475 hammerhead', 'probability': 0.175072021484375}, {'class': 'n01496331 electric_ray', 'probability': 0.06270093441009522}, {'class': 'n01498041 stingray', 'probability': 0.05043054580688477}, {'class': 'n01484850 great_white_shark', 'probability': 0.013108481168746949}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.6647377014160156;n01494475 hammerhead;n01491361;[{'class': 'n01494475 hammerhead', 'probability': 0.6647377014160156}, {'class': 'n01491361 tiger_shark', 'probability': 0.3046248245239258}, {'class': 'n01484850 great_white_shark', 'probability': 0.015678731203079225}, {'class': 'n02640242 sturgeon', 'probability': 0.011442440748214721}, {'class': 'n01496331 electric_ray', 'probability': 0.0010068536549806594}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.7774717712402344;n02536864 coho;n01494475;[{'class': 'n02536864 coho', 'probability': 0.7774717712402344}, {'class': 'n01494475 hammerhead', 'probability': 0.12724782943725585}, {'class': 'n02640242 sturgeon', 'probability': 0.06451183319091797}, {'class': 'n02514041 barracouta', 'probability': 0.014456746578216552}, {'class': 'n02641379 gar', 'probability': 0.0066847091913223265}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.9480511474609375;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.9480511474609375}, {'class': 'n01484850 great_white_shark', 'probability': 0.030399699211120606}, {'class': 'n01491361 tiger_shark', 'probability': 0.019547011852264404}, {'class': 'n02640242 sturgeon', 'probability': 0.0013342869281768798}, {'class': 'n01496331 electric_ray', 'probability': 0.0003584187477827072}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.8777645874023438;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.8777645874023438}, {'class': 'n01491361 tiger_shark', 'probability': 0.0945829200744629}, {'class': 'n01484850 great_white_shark', 'probability': 0.019929200410842896}, {'class': 'n02641379 gar', 'probability': 0.0025412440299987793}, {'class': 'n02640242 sturgeon', 'probability': 0.002450252175331116}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00034178.JPEG;0.5634318161010742;n04606251 wreck;n01494475;[{'class': 'n04606251 wreck', 'probability': 0.5634318161010742}, {'class': 'n10565667 scuba_diver', 'probability': 0.2159907341003418}, {'class': 'n01494475 hammerhead', 'probability': 0.04630495071411133}, {'class': 'n01498041 stingray', 'probability': 0.03795318603515625}, {'class': 'n01984695 spiny_lobster', 'probability': 0.0322149658203125}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00039588.JPEG;0.6422803497314453;n01494475 hammerhead;n01494475;[{'class': 'n01494475 hammerhead', 'probability': 0.6422803497314453}, {'class': 'n01484850 great_white_shark', 'probability': 0.31162252426147463}, {'class': 'n01491361 tiger_shark', 'probability': 0.045771937370300296}, {'class': 'n01496331 electric_ray', 'probability': 0.00010507915169000626}, {'class': 'n02071294 killer_whale', 'probability': 8.318179287016392e-05}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00007569.JPEG;0.9989940643310546;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.9989940643310546}, {'class': 'n01498041 stingray', 'probability': 0.0001905672624707222}, {'class': 'n03530642 honeycomb', 'probability': 0.00010364233516156673}, {'class': 'n01917289 brain_coral', 'probability': 8.066455833613873e-05}, {'class': 'n01968897 chambered_nautilus', 'probability': 4.728016909211874e-05}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00017196.JPEG;0.5013307952880859;n01491361 tiger_shark;n01496331;[{'class': 'n01491361 tiger_shark', 'probability': 0.5013307952880859}, {'class': 'n01496331 electric_ray', 'probability': 0.4269062423706055}, {'class': 'n01494475 hammerhead', 'probability': 0.03638495445251465}, {'class': 'n01484850 great_white_shark', 'probability': 0.016881940364837648}, {'class': 'n01498041 stingray', 'probability': 0.015455392599105834}]
../dataset/imagenet-mini/val/n01496331/ILSVRC2012_val_00037260.JPEG;0.2088237190246582;n09256479 coral_reef;n01496331;[{'class': 'n09256479 coral_reef', 'probability': 0.2088237190246582}, {'class': 'n02321529 sea_cucumber', 'probability': 0.11606085777282715}, {'class': 'n01498041 stingray', 'probability': 0.09922470092773437}, {'class': 'n01917289 brain_coral', 'probability': 0.09690443992614746}, {'class': 'n02526121 eel', 'probability': 0.06037845611572266}]
../dataset/imagenet-mini/val/n01498041/ILSVRC2012_val_00013655.JPEG;0.9500978851318359;n01498041 stingray;n01498041;[{'class': 'n01498041 stingray', 'probability': 0.9500978851318359}, {'class': 'n01496331 electric_ray', 'probability': 0.02865098714828491}, {'class': 'n02077923 sea_lion', 'probability': 0.007972460389137268}, {'class': 'n02526121 eel', 'probability': 0.007450827360153198}, {'class': 'n02655020 puffer', 'probability': 0.00219276949763298}]
../dataset/imagenet-mini/val/n01498041/ILSVRC2012_val_00032394.JPEG;0.9890005493164062;n01498041 stingray;n01498041;[{'class': 'n01498041 stingray', 'probability': 0.9890005493164062}, {'class': 'n01496331 electric_ray', 'probability': 0.010998377799987793}, {'class': 'n09256479 coral_reef', 'probability': 5.32318590558134e-07}, {'class': 'n02655020 puffer', 'probability': 3.4924159990623594e-07}, {'class': 'n02321529 sea_cucumber', 'probability': 4.7690773499198256e-08}]
