image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.20795214176177979;n02342885 hamster;n02443484;[{'probability': 0.20795214176177979, 'class': 'n02342885 hamster'}, {'probability': 0.0900978296995163, 'class': 'n04589890 window screen'}, {'probability': 0.06468528509140015, 'class': 'n03207941 dishwasher, dish washer, dishwashing machine'}, {'probability': 0.05053400993347168, 'class': 'n04070727 refrigerator, icebox'}, {'probability': 0.036280557513237, 'class': 'n04590129 window shade'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.3934890031814575;n01817953 African grey, African gray, Psittacus erithacus;n02443484;[{'probability': 0.3934890031814575, 'class': 'n01817953 African grey, African gray, Psittacus erithacus'}, {'probability': 0.0812191292643547, 'class': 'n07615774 ice lolly, lolly, lollipop, popsicle'}, {'probability': 0.07632101327180862, 'class': 'n03724870 mask'}, {'probability': 0.018492061644792557, 'class': 'n01818515 macaw'}, {'probability': 0.015393402427434921, 'class': 'n02883205 bow tie, bow-tie, bowtie'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.4992281198501587;n02869837 bonnet, poke bonnet;n02443484;[{'probability': 0.4992281198501587, 'class': 'n02869837 bonnet, poke bonnet'}, {'probability': 0.09432535618543625, 'class': 'n03775071 mitten'}, {'probability': 0.05643080174922943, 'class': 'n02963159 cardigan'}, {'probability': 0.03510728478431702, 'class': 'n03207743 dishrag, dishcloth'}, {'probability': 0.034266334027051926, 'class': 'n04599235 wool, woolen, woollen'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.14578430354595184;n02444819 otter;n02443484;[{'probability': 0.14578430354595184, 'class': 'n02444819 otter'}, {'probability': 0.09386492520570755, 'class': 'n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus'}, {'probability': 0.08811859041452408, 'class': 'n02447366 badger'}, {'probability': 0.08172550797462463, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.061156678944826126, 'class': 'n02441942 weasel'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.347989946603775;n02093647 Bedlington terrier;n02443484;[{'probability': 0.347989946603775, 'class': 'n02093647 Bedlington terrier'}, {'probability': 0.1293470412492752, 'class': 'n02105505 komondor'}, {'probability': 0.12925677001476288, 'class': 'n02104029 kuvasz'}, {'probability': 0.09901164472103119, 'class': 'n02105641 Old English sheepdog, bobtail'}, {'probability': 0.06590674817562103, 'class': 'n02111500 Great Pyrenees'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.03856614604592323;n04209133 shower cap;n01440764;[{'probability': 0.03856614604592323, 'class': 'n04209133 shower cap'}, {'probability': 0.034894898533821106, 'class': 'n02892767 brassiere, bra, bandeau'}, {'probability': 0.03334159031510353, 'class': 'n04277352 spindle'}, {'probability': 0.030094539746642113, 'class': 'n01704323 triceratops'}, {'probability': 0.022777138277888298, 'class': 'n01768244 trilobite'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.15901434421539307;n04209133 shower cap;n01440764;[{'probability': 0.15901434421539307, 'class': 'n04209133 shower cap'}, {'probability': 0.10901159793138504, 'class': 'n02869837 bonnet, poke bonnet'}, {'probability': 0.08458733558654785, 'class': 'n03124170 cowboy hat, ten-gallon hat'}, {'probability': 0.03165580704808235, 'class': 'n04259630 sombrero'}, {'probability': 0.021620720624923706, 'class': 'n03770439 miniskirt, mini'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.46175017952919006;n02526121 eel;n01440764;[{'probability': 0.46175017952919006, 'class': 'n02526121 eel'}, {'probability': 0.05449582263827324, 'class': 'n03891332 parking meter'}, {'probability': 0.053348109126091, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.03169483691453934, 'class': 'n01955084 chiton, coat-of-mail shell, sea cradle, polyplacophore'}, {'probability': 0.023529019206762314, 'class': 'n07716358 zucchini, courgette'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.613666296005249;n03935335 piggy bank, penny bank;n01443537;[{'probability': 0.613666296005249, 'class': 'n03935335 piggy bank, penny bank'}, {'probability': 0.05386229604482651, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.047503262758255005, 'class': 'n03958227 plastic bag'}, {'probability': 0.032468438148498535, 'class': 'n03944341 pinwheel'}, {'probability': 0.023312365636229515, 'class': 'n04033901 quill, quill pen'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.3598221242427826;n01491361 tiger shark, Galeocerdo cuvieri;n01443537;[{'probability': 0.3598221242427826, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.13473205268383026, 'class': 'n03788365 mosquito net'}, {'probability': 0.10177672654390335, 'class': 'n03958227 plastic bag'}, {'probability': 0.05260768532752991, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.0203920379281044, 'class': 'n04209239 shower curtain'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.12516294419765472;n01704323 triceratops;n01443537;[{'probability': 0.12516294419765472, 'class': 'n01704323 triceratops'}, {'probability': 0.09997477382421494, 'class': 'n01694178 African chameleon, Chamaeleo chamaeleon'}, {'probability': 0.06910199671983719, 'class': 'n02869837 bonnet, poke bonnet'}, {'probability': 0.05126561224460602, 'class': 'n04507155 umbrella'}, {'probability': 0.044240355491638184, 'class': 'n04277352 spindle'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.11094119399785995;n01498041 stingray;n01484850;[{'probability': 0.11094119399785995, 'class': 'n01498041 stingray'}, {'probability': 0.07277904450893402, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.05227894335985184, 'class': 'n04579145 whiskey jug'}, {'probability': 0.04242211952805519, 'class': 'n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus'}, {'probability': 0.032246723771095276, 'class': 'n04557648 water bottle'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.22212326526641846;n01443537 goldfish, Carassius auratus;n01484850;[{'probability': 0.22212326526641846, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.05814811587333679, 'class': 'n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus'}, {'probability': 0.05597478523850441, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 0.0549476258456707, 'class': 'n04456115 torch'}, {'probability': 0.02625746838748455, 'class': 'n01632777 axolotl, mud puppy, Ambystoma mexicanum'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.3286464214324951;n07753592 banana;n01484850;[{'probability': 0.3286464214324951, 'class': 'n07753592 banana'}, {'probability': 0.07852096855640411, 'class': 'n07749582 lemon'}, {'probability': 0.04741446301341057, 'class': 'n03958227 plastic bag'}, {'probability': 0.045221149921417236, 'class': 'n02281406 sulphur butterfly, sulfur butterfly'}, {'probability': 0.04231636971235275, 'class': 'n07716906 spaghetti squash'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.19264055788516998;n04204347 shopping cart;n01484850;[{'probability': 0.19264055788516998, 'class': 'n04204347 shopping cart'}, {'probability': 0.06263052672147751, 'class': 'n02859443 boathouse'}, {'probability': 0.0322243832051754, 'class': 'n03160309 dam, dike, dyke'}, {'probability': 0.03111165203154087, 'class': 'n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita'}, {'probability': 0.02517141029238701, 'class': 'n02009912 American egret, great white heron, Egretta albus'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.32094910740852356;n02444819 otter;n01484850;[{'probability': 0.32094910740852356, 'class': 'n02444819 otter'}, {'probability': 0.2094419300556183, 'class': 'n01873310 platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus'}, {'probability': 0.06510311365127563, 'class': 'n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius'}, {'probability': 0.06214706599712372, 'class': 'n02077923 sea lion'}, {'probability': 0.05760839954018593, 'class': 'n02408429 water buffalo, water ox, Asiatic buffalo, Bubalus bubalis'}]
