image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.5919422507286072;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.5919422507286072, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.21442653238773346, 'class': 'n02342885 hamster'}, {'probability': 0.10416881740093231, 'class': 'n02441942 weasel'}, {'probability': 0.03799232095479965, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.031426019966602325, 'class': 'n02442845 mink'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.44888463616371155;n07880968 burrito;n02443484;[{'probability': 0.44888463616371155, 'class': 'n07880968 burrito'}, {'probability': 0.03448066487908363, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.03437907621264458, 'class': 'n02085620 Chihuahua'}, {'probability': 0.026621278375387192, 'class': 'n02441942 weasel'}, {'probability': 0.024212034419178963, 'class': 'n02099849 Chesapeake Bay retriever'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.7795162796974182;n02342885 hamster;n02443484;[{'probability': 0.7795162796974182, 'class': 'n02342885 hamster'}, {'probability': 0.042692363262176514, 'class': 'n02808304 bath towel'}, {'probability': 0.04232463240623474, 'class': 'n13133613 ear, spike, capitulum'}, {'probability': 0.03499411419034004, 'class': 'n02441942 weasel'}, {'probability': 0.026593266054987907, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.513242781162262;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.513242781162262, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.4580173194408417, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.020347561687231064, 'class': 'n02441942 weasel'}, {'probability': 0.006022137124091387, 'class': 'n02442845 mink'}, {'probability': 0.0009632533765397966, 'class': 'n02444819 otter'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.3785940408706665;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.3785940408706665, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.24546842277050018, 'class': 'n02342885 hamster'}, {'probability': 0.1482355147600174, 'class': 'n02442845 mink'}, {'probability': 0.0721181184053421, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.06223958358168602, 'class': 'n02441942 weasel'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.7506832480430603;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.7506832480430603, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.13410717248916626, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.03056585043668747, 'class': 'n04111531 rotisserie'}, {'probability': 0.02412993460893631, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}, {'probability': 0.020789464935660362, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9509865641593933;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.9509865641593933, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.03911752253770828, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.003352630650624633, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.0020569683983922005, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}, {'probability': 0.0013613271294161677, 'class': 'n01983481 American lobster, Northern lobster, Maine lobster, Homarus americanus'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.778820276260376;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.778820276260376, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.18803967535495758, 'class': 'n02526121 eel'}, {'probability': 0.0024302159436047077, 'class': 'n01735189 garter snake, grass snake'}, {'probability': 0.0020647509954869747, 'class': 'n01755581 diamondback, diamondback rattlesnake, Crotalus adamanteus'}, {'probability': 0.0018795719370245934, 'class': 'n02640242 sturgeon'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9946832060813904;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.9946832060813904, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.004574950784444809, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 0.0006060070591047406, 'class': 'n02607072 anemone fish'}, {'probability': 0.00011187373456778005, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}, {'probability': 8.273375897260848e-06, 'class': 'n02526121 eel'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.16943258047103882;n03630383 lab coat, laboratory coat;n01443537;[{'probability': 0.16943258047103882, 'class': 'n03630383 lab coat, laboratory coat'}, {'probability': 0.1370864361524582, 'class': 'n03958227 plastic bag'}, {'probability': 0.0953870341181755, 'class': 'n04209239 shower curtain'}, {'probability': 0.07313472777605057, 'class': 'n02815834 beaker'}, {'probability': 0.06687312573194504, 'class': 'n03788365 mosquito net'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9999834299087524;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.9999834299087524, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 5.955087544862181e-06, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 3.33416141984344e-06, 'class': 'n02526121 eel'}, {'probability': 2.6721818358055316e-06, 'class': 'n02607072 anemone fish'}, {'probability': 1.5428366850755992e-06, 'class': 'n01985128 crayfish, crawfish, crawdad, crawdaddy'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.18481069803237915;n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;n01484850;[{'probability': 0.18481069803237915, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.11204323917627335, 'class': 'n02807133 bathing cap, swimming cap'}, {'probability': 0.09907669574022293, 'class': 'n01498041 stingray'}, {'probability': 0.09619341045618057, 'class': 'n09428293 seashore, coast, seacoast, sea-coast'}, {'probability': 0.043713830411434174, 'class': 'n10565667 scuba diver'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.5855967998504639;n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;n01484850;[{'probability': 0.5855967998504639, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.11564134061336517, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.10584636777639389, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.08605453372001648, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.04992181062698364, 'class': 'n01664065 loggerhead, loggerhead turtle, Caretta caretta'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.6871947646141052;n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;n01484850;[{'probability': 0.6871947646141052, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.2979382574558258, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.007766400929540396, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}, {'probability': 0.004945224151015282, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.001368685276247561, 'class': 'n01498041 stingray'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9952433705329895;n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;n01484850;[{'probability': 0.9952433705329895, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.001263497513718903, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.0007096966728568077, 'class': 'n02640242 sturgeon'}, {'probability': 0.0006801039562560618, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.0004548087890725583, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.7303980588912964;n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;n01484850;[{'probability': 0.7303980588912964, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.06453905254602432, 'class': 'n02398521 hippopotamus, hippo, river horse, Hippopotamus amphibius'}, {'probability': 0.05927075445652008, 'class': 'n02066245 grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus'}, {'probability': 0.054788004606962204, 'class': 'n02077923 sea lion'}, {'probability': 0.01167614758014679, 'class': 'n02074367 dugong, Dugong dugon'}]
dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.6280213594436646;n01494475 hammerhead, hammerhead shark;n01491361;[{'probability': 0.6280213594436646, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.2298862189054489, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.11957762390375137, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.007681597489863634, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.002370307222008705, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}]
dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.3997842073440552;n01498041 stingray;n01491361;[{'probability': 0.3997842073440552, 'class': 'n01498041 stingray'}, {'probability': 0.3079618215560913, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}, {'probability': 0.09453907608985901, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.09099176526069641, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.03797118365764618, 'class': 'n04251144 snorkel'}]
dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.6159161329269409;n01491361 tiger shark, Galeocerdo cuvieri;n01491361;[{'probability': 0.6159161329269409, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.1803329735994339, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.16891898214817047, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.018363935872912407, 'class': 'n02640242 sturgeon'}, {'probability': 0.005174118559807539, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}]
dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.1404242217540741;n04251144 snorkel;n01494475;[{'probability': 0.1404242217540741, 'class': 'n04251144 snorkel'}, {'probability': 0.12919767200946808, 'class': 'n03379051 football helmet'}, {'probability': 0.1270289421081543, 'class': 'n02640242 sturgeon'}, {'probability': 0.05146480351686478, 'class': 'n01978287 Dungeness crab, Cancer magister'}, {'probability': 0.048980046063661575, 'class': 'n01751748 sea snake'}]
dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.8519198894500732;n01494475 hammerhead, hammerhead shark;n01494475;[{'probability': 0.8519198894500732, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.07091289758682251, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.04684911668300629, 'class': 'n02640242 sturgeon'}, {'probability': 0.01571785844862461, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.0063381679356098175, 'class': 'n02514041 barracouta, snoek'}]
dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.9859356880187988;n01494475 hammerhead, hammerhead shark;n01494475;[{'probability': 0.9859356880187988, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.007743695750832558, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.002953201299533248, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.0013226213632151484, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}, {'probability': 0.0007437475142069161, 'class': 'n02640242 sturgeon'}]
