image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.5533524751663208;n02536864 coho;n01440764;[{'probability': 0.5533525, 'class': 'n02536864 coho'}, {'probability': 0.046748705, 'class': 'n01440764 tench'}, {'probability': 0.031829692, 'class': 'n01494475 hammerhead'}, {'probability': 0.031628605, 'class': 'n01990800 isopod'}, {'probability': 0.026152907, 'class': 'n02641379 gar'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.36436599493026733;n01632777 axolotl;n01443537;[{'probability': 0.364366, 'class': 'n01632777 axolotl'}, {'probability': 0.22022931, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.13312514, 'class': 'n02009912 American_egret'}, {'probability': 0.056351908, 'class': 'n02006656 spoonbill'}, {'probability': 0.03680942, 'class': 'n02007558 flamingo'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.4018280804157257;n04404412 television;n01443537;[{'probability': 0.40182808, 'class': 'n04404412 television'}, {'probability': 0.07005524, 'class': 'n04442312 toaster'}, {'probability': 0.059616867, 'class': 'n04209239 shower_curtain'}, {'probability': 0.038496092, 'class': 'n04590129 window_shade'}, {'probability': 0.03284207, 'class': 'n03788365 mosquito_net'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9243304133415222;n01443537 goldfish;n01443537;[{'probability': 0.9243304, 'class': 'n01443537 goldfish'}, {'probability': 0.023557074, 'class': 'n01440764 tench'}, {'probability': 0.018841382, 'class': 'n02655020 puffer'}, {'probability': 0.0176012, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0023687137, 'class': 'n01917289 brain_coral'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.5265831351280212;n01440764 tench;n01443537;[{'probability': 0.52658314, 'class': 'n01440764 tench'}, {'probability': 0.29410124, 'class': 'n01443537 goldfish'}, {'probability': 0.11617999, 'class': 'n02655020 puffer'}, {'probability': 0.031990323, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0050534117, 'class': 'n01632777 axolotl'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.21104620397090912;n03743016 megalith;n01496331;[{'probability': 0.2110462, 'class': 'n03743016 megalith'}, {'probability': 0.09028026, 'class': 'n01496331 electric_ray'}, {'probability': 0.07456832, 'class': 'n01955084 chiton'}, {'probability': 0.05502178, 'class': 'n03042490 cliff_dwelling'}, {'probability': 0.051162906, 'class': 'n01667778 terrapin'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.35379093885421753;n02417914 ibex;n01514668;[{'probability': 0.35379094, 'class': 'n02417914 ibex'}, {'probability': 0.18999219, 'class': 'n07802026 hay'}, {'probability': 0.07676444, 'class': 'n02412080 ram'}, {'probability': 0.040440835, 'class': 'n04355338 sundial'}, {'probability': 0.03707646, 'class': 'n03388043 fountain'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9413624405860901;n01514859 hen;n01514668;[{'probability': 0.94136244, 'class': 'n01514859 hen'}, {'probability': 0.048115656, 'class': 'n01514668 cock'}, {'probability': 0.0056864913, 'class': 'n01806567 quail'}, {'probability': 0.0019848493, 'class': 'n01807496 partridge'}, {'probability': 0.0015217339, 'class': 'n01797886 ruffed_grouse'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.3086515963077545;n01530575 brambling;n01530575;[{'probability': 0.3086516, 'class': 'n01530575 brambling'}, {'probability': 0.23253739, 'class': 'n01534433 junco'}, {'probability': 0.22363584, 'class': 'n01580077 jay'}, {'probability': 0.09107962, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.031934746, 'class': 'n02027492 red-backed_sandpiper'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.4782050549983978;n01530575 brambling;n01530575;[{'probability': 0.47820505, 'class': 'n01530575 brambling'}, {'probability': 0.41081193, 'class': 'n01534433 junco'}, {'probability': 0.04579908, 'class': 'n01580077 jay'}, {'probability': 0.033190306, 'class': 'n01558993 robin'}, {'probability': 0.008715196, 'class': 'n01560419 bulbul'}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.17063017189502716;n01985128 crayfish;n01531178;[{'probability': 0.17063017, 'class': 'n01985128 crayfish'}, {'probability': 0.13246873, 'class': 'n07753275 pineapple'}, {'probability': 0.12126905, 'class': 'n01943899 conch'}, {'probability': 0.040150173, 'class': 'n01978287 Dungeness_crab'}, {'probability': 0.03602137, 'class': 'n12144580 corn'}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.8375950455665588;n02843684 birdhouse;n01532829;[{'probability': 0.83759505, 'class': 'n02843684 birdhouse'}, {'probability': 0.08105094, 'class': 'n04380533 table_lamp'}, {'probability': 0.018772056, 'class': 'n03637318 lampshade'}, {'probability': 0.018282287, 'class': 'n01532829 house_finch'}, {'probability': 0.010903055, 'class': 'n04507155 umbrella'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9441320896148682;n01534433 junco;n01534433;[{'probability': 0.9441321, 'class': 'n01534433 junco'}, {'probability': 0.04194456, 'class': 'n01592084 chickadee'}, {'probability': 0.0056296806, 'class': 'n01601694 water_ouzel'}, {'probability': 0.003168913, 'class': 'n01530575 brambling'}, {'probability': 0.0007906417, 'class': 'n01532829 house_finch'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.997825026512146;n01534433 junco;n01534433;[{'probability': 0.997825, 'class': 'n01534433 junco'}, {'probability': 0.00083231536, 'class': 'n01601694 water_ouzel'}, {'probability': 0.00050586386, 'class': 'n01530575 brambling'}, {'probability': 0.00018419878, 'class': 'n01532829 house_finch'}, {'probability': 0.00010574671, 'class': 'n01531178 goldfinch'}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.571763813495636;n01608432 kite;n01537544;[{'probability': 0.5717638, 'class': 'n01608432 kite'}, {'probability': 0.0783266, 'class': 'n01601694 water_ouzel'}, {'probability': 0.06618678, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.05465174, 'class': 'n01532829 house_finch'}, {'probability': 0.054224778, 'class': 'n01534433 junco'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.31776225566864014;n01592084 chickadee;n01560419;[{'probability': 0.31776226, 'class': 'n01592084 chickadee'}, {'probability': 0.19738983, 'class': 'n01560419 bulbul'}, {'probability': 0.064356245, 'class': 'n01833805 hummingbird'}, {'probability': 0.051196754, 'class': 'n01824575 coucal'}, {'probability': 0.049149353, 'class': 'n03627232 knot'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000217.JPEG;0.9949339032173157;n01560419 bulbul;n01560419;[{'probability': 0.9949339, 'class': 'n01560419 bulbul'}, {'probability': 0.0019901865, 'class': 'n01833805 hummingbird'}, {'probability': 0.0012593758, 'class': 'n01580077 jay'}, {'probability': 0.00046934796, 'class': 'n01534433 junco'}, {'probability': 0.00025880756, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000439.JPEG;0.941462516784668;n01560419 bulbul;n01560419;[{'probability': 0.9414625, 'class': 'n01560419 bulbul'}, {'probability': 0.022978658, 'class': 'n01534433 junco'}, {'probability': 0.01168316, 'class': 'n01558993 robin'}, {'probability': 0.007118347, 'class': 'n01601694 water_ouzel'}, {'probability': 0.005522051, 'class': 'n01530575 brambling'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000638.JPEG;0.9498969912528992;n01560419 bulbul;n01560419;[{'probability': 0.949897, 'class': 'n01560419 bulbul'}, {'probability': 0.016050827, 'class': 'n01843065 jacamar'}, {'probability': 0.010697093, 'class': 'n01592084 chickadee'}, {'probability': 0.007322364, 'class': 'n01582220 magpie'}, {'probability': 0.0068415115, 'class': 'n01580077 jay'}]
../dataset/ALine/n01580077/ILSVRC2012_val_00000880.JPEG;0.17117024958133698;n02500267 indri;n01580077;[{'probability': 0.17117025, 'class': 'n02500267 indri'}, {'probability': 0.14606506, 'class': 'n01797886 ruffed_grouse'}, {'probability': 0.090931594, 'class': 'n01580077 jay'}, {'probability': 0.087350704, 'class': 'n01622779 great_grey_owl'}, {'probability': 0.086281754, 'class': 'n01592084 chickadee'}]
