image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.752170979976654;n02536864 coho;n01440764;[{'probability': 0.752171, 'class': 'n02536864 coho'}, {'probability': 0.035709605, 'class': 'n01440764 tench'}, {'probability': 0.019278966, 'class': 'n02640242 sturgeon'}, {'probability': 0.011332736, 'class': 'n02074367 dugong'}, {'probability': 0.010458022, 'class': 'n03788365 mosquito_net'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.5789544582366943;n01632777 axolotl;n01443537;[{'probability': 0.57895446, 'class': 'n01632777 axolotl'}, {'probability': 0.025709527, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.017523155, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0130695915, 'class': 'n01968897 chambered_nautilus'}, {'probability': 0.01282686, 'class': 'n01990800 isopod'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.13980065286159515;n02077923 sea_lion;n01443537;[{'probability': 0.13980065, 'class': 'n02077923 sea_lion'}, {'probability': 0.08154372, 'class': 'n01484850 great_white_shark'}, {'probability': 0.05204858, 'class': 'n01491361 tiger_shark'}, {'probability': 0.044121463, 'class': 'n01494475 hammerhead'}, {'probability': 0.037837613, 'class': 'n01498041 stingray'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9709684252738953;n01443537 goldfish;n01443537;[{'probability': 0.9709684, 'class': 'n01443537 goldfish'}, {'probability': 0.0020593603, 'class': 'n02701002 ambulance'}, {'probability': 0.0012586996, 'class': 'n01440764 tench'}, {'probability': 0.0011465569, 'class': 'n02643566 lionfish'}, {'probability': 0.0009842227, 'class': 'n02454379 armadillo'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.7244153022766113;n01443537 goldfish;n01443537;[{'probability': 0.7244153, 'class': 'n01443537 goldfish'}, {'probability': 0.030730255, 'class': 'n02655020 puffer'}, {'probability': 0.02822018, 'class': 'n02606052 rock_beauty'}, {'probability': 0.019788062, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00804854, 'class': 'n09256479 coral_reef'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.21594175696372986;n01496331 electric_ray;n01496331;[{'probability': 0.21594176, 'class': 'n01496331 electric_ray'}, {'probability': 0.07507795, 'class': 'n01667114 mud_turtle'}, {'probability': 0.06585013, 'class': 'n01667778 terrapin'}, {'probability': 0.063735604, 'class': 'n01664065 loggerhead'}, {'probability': 0.032922067, 'class': 'n01978455 rock_crab'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.6972866058349609;n01514668 cock;n01514668;[{'probability': 0.6972866, 'class': 'n01514668 cock'}, {'probability': 0.10890361, 'class': 'n01514859 hen'}, {'probability': 0.0152195245, 'class': 'n02454379 armadillo'}, {'probability': 0.011630568, 'class': 'n01622779 great_grey_owl'}, {'probability': 0.009367687, 'class': 'n02346627 porcupine'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.8650283217430115;n01514859 hen;n01514668;[{'probability': 0.8650283, 'class': 'n01514859 hen'}, {'probability': 0.06584843, 'class': 'n01514668 cock'}, {'probability': 0.0023951577, 'class': 'n01860187 black_swan'}, {'probability': 0.0015949864, 'class': 'n03710193 mailbox'}, {'probability': 0.0013587128, 'class': 'n01807496 partridge'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.35502514243125916;n01534433 junco;n01530575;[{'probability': 0.35502514, 'class': 'n01534433 junco'}, {'probability': 0.12255295, 'class': 'n01530575 brambling'}, {'probability': 0.061755933, 'class': 'n01531178 goldfinch'}, {'probability': 0.036772076, 'class': 'n01592084 chickadee'}, {'probability': 0.0075414786, 'class': 'n01580077 jay'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9232479929924011;n01530575 brambling;n01530575;[{'probability': 0.923248, 'class': 'n01530575 brambling'}, {'probability': 0.010298494, 'class': 'n01534433 junco'}, {'probability': 0.008302867, 'class': 'n01531178 goldfinch'}, {'probability': 0.0017034482, 'class': 'n01580077 jay'}, {'probability': 0.0016119621, 'class': 'n01558993 robin'}]
