image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.25218889117240906;n02536864 coho;n01440764;[{'probability': 0.2521889, 'class': 'n02536864 coho'}, {'probability': 0.12890194, 'class': 'n01440764 tench'}, {'probability': 0.10314142, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.07559162, 'class': 'n04275548 spider_web'}, {'probability': 0.07370665, 'class': 'n03788365 mosquito_net'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.9882163405418396;n01494475 hammerhead;n01443537;[{'probability': 0.98821634, 'class': 'n01494475 hammerhead'}, {'probability': 0.0018044222, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0010095659, 'class': 'n02317335 starfish'}, {'probability': 0.0009018511, 'class': 'n04552348 warplane'}, {'probability': 0.0008990731, 'class': 'n01910747 jellyfish'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.21747572720050812;n03388043 fountain;n01443537;[{'probability': 0.21747573, 'class': 'n03388043 fountain'}, {'probability': 0.09551194, 'class': 'n04553703 washbasin'}, {'probability': 0.082663275, 'class': 'n10565667 scuba_diver'}, {'probability': 0.063000716, 'class': 'n04209239 shower_curtain'}, {'probability': 0.04625839, 'class': 'n01498041 stingray'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.7940841913223267;n01443537 goldfish;n01443537;[{'probability': 0.7940842, 'class': 'n01443537 goldfish'}, {'probability': 0.075897194, 'class': 'n01632777 axolotl'}, {'probability': 0.055068977, 'class': 'n02641379 gar'}, {'probability': 0.013457077, 'class': 'n02454379 armadillo'}, {'probability': 0.012288534, 'class': 'n01917289 brain_coral'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.49322807788848877;n01443537 goldfish;n01443537;[{'probability': 0.49322808, 'class': 'n01443537 goldfish'}, {'probability': 0.20824666, 'class': 'n02655020 puffer'}, {'probability': 0.15620996, 'class': 'n01440764 tench'}, {'probability': 0.018493928, 'class': 'n02108915 French_bulldog'}, {'probability': 0.016542159, 'class': 'n02606052 rock_beauty'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.2658846378326416;n01917289 brain_coral;n01496331;[{'probability': 0.26588464, 'class': 'n01917289 brain_coral'}, {'probability': 0.21233478, 'class': 'n01496331 electric_ray'}, {'probability': 0.10432638, 'class': 'n01664065 loggerhead'}, {'probability': 0.06909403, 'class': 'n01667114 mud_turtle'}, {'probability': 0.044055674, 'class': 'n01498041 stingray'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.2615320086479187;n01514668 cock;n01514668;[{'probability': 0.261532, 'class': 'n01514668 cock'}, {'probability': 0.08018314, 'class': 'n02051845 pelican'}, {'probability': 0.06292741, 'class': 'n07754684 jackfruit'}, {'probability': 0.059569556, 'class': 'n01514859 hen'}, {'probability': 0.04840325, 'class': 'n07802026 hay'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9904477596282959;n01514859 hen;n01514668;[{'probability': 0.99044776, 'class': 'n01514859 hen'}, {'probability': 0.0066003846, 'class': 'n01514668 cock'}, {'probability': 0.0016470036, 'class': 'n02097298 Scotch_terrier'}, {'probability': 0.00055205077, 'class': 'n01855672 goose'}, {'probability': 0.00021497095, 'class': 'n02437616 llama'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.5662347078323364;n01534433 junco;n01530575;[{'probability': 0.5662347, 'class': 'n01534433 junco'}, {'probability': 0.34652606, 'class': 'n01580077 jay'}, {'probability': 0.062188152, 'class': 'n01530575 brambling'}, {'probability': 0.007611089, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0056548347, 'class': 'n01560419 bulbul'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.5325797200202942;n01530575 brambling;n01530575;[{'probability': 0.5325797, 'class': 'n01530575 brambling'}, {'probability': 0.19490795, 'class': 'n01558993 robin'}, {'probability': 0.15542752, 'class': 'n01534433 junco'}, {'probability': 0.07843806, 'class': 'n01580077 jay'}, {'probability': 0.012982287, 'class': 'n01592084 chickadee'}]
