image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.38921481370925903;n02536864 coho;n01440764;[{'probability': 0.3892148, 'class': 'n02536864 coho'}, {'probability': 0.3048027, 'class': 'n02233338 cockroach'}, {'probability': 0.17282392, 'class': 'n01440764 tench'}, {'probability': 0.015317724, 'class': 'n01443537 goldfish'}, {'probability': 0.010971426, 'class': 'n01943899 conch'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.7365620732307434;n01632777 axolotl;n01443537;[{'probability': 0.7365621, 'class': 'n01632777 axolotl'}, {'probability': 0.20576495, 'class': 'n01950731 sea_slug'}, {'probability': 0.025464483, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.012317602, 'class': 'n01924916 flatworm'}, {'probability': 0.006563691, 'class': 'n04033901 quill'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.2953759431838989;n01632777 axolotl;n01443537;[{'probability': 0.29537594, 'class': 'n01632777 axolotl'}, {'probability': 0.07030368, 'class': 'n03796401 moving_van'}, {'probability': 0.06478683, 'class': 'n04286575 spotlight'}, {'probability': 0.04599688, 'class': 'n01770393 scorpion'}, {'probability': 0.034370244, 'class': 'n03782006 monitor'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.773796796798706;n01443537 goldfish;n01443537;[{'probability': 0.7737968, 'class': 'n01443537 goldfish'}, {'probability': 0.095094025, 'class': 'n02454379 armadillo'}, {'probability': 0.022650357, 'class': 'n02606052 rock_beauty'}, {'probability': 0.017688237, 'class': 'n01943899 conch'}, {'probability': 0.0102225905, 'class': 'n09256479 coral_reef'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9468587636947632;n01443537 goldfish;n01443537;[{'probability': 0.94685876, 'class': 'n01443537 goldfish'}, {'probability': 0.04834345, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0035469667, 'class': 'n02655020 puffer'}, {'probability': 0.00077659026, 'class': 'n02607072 anemone_fish'}, {'probability': 0.0004262707, 'class': 'n01440764 tench'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.13659004867076874;n01917289 brain_coral;n01496331;[{'probability': 0.13659005, 'class': 'n01917289 brain_coral'}, {'probability': 0.117368154, 'class': 'n03743016 megalith'}, {'probability': 0.09642295, 'class': 'n01664065 loggerhead'}, {'probability': 0.07425345, 'class': 'n01955084 chiton'}, {'probability': 0.068609945, 'class': 'n01496331 electric_ray'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.5535895824432373;n01798484 prairie_chicken;n01514668;[{'probability': 0.5535896, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.2782201, 'class': 'n01514859 hen'}, {'probability': 0.12353243, 'class': 'n02051845 pelican'}, {'probability': 0.013256553, 'class': 'n02363005 beaver'}, {'probability': 0.010609075, 'class': 'n01514668 cock'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.5071316361427307;n01514859 hen;n01514668;[{'probability': 0.50713164, 'class': 'n01514859 hen'}, {'probability': 0.48468336, 'class': 'n01514668 cock'}, {'probability': 0.0045090336, 'class': 'n01806567 quail'}, {'probability': 0.0011509133, 'class': 'n02104365 schipperke'}, {'probability': 0.0006184647, 'class': 'n01807496 partridge'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.960162341594696;n01534433 junco;n01530575;[{'probability': 0.96016234, 'class': 'n01534433 junco'}, {'probability': 0.039371233, 'class': 'n01530575 brambling'}, {'probability': 0.00014980003, 'class': 'n01592084 chickadee'}, {'probability': 6.9507274e-05, 'class': 'n01531178 goldfinch'}, {'probability': 5.6320278e-05, 'class': 'n01537544 indigo_bunting'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9606111645698547;n01530575 brambling;n01530575;[{'probability': 0.96061116, 'class': 'n01530575 brambling'}, {'probability': 0.039232515, 'class': 'n01558993 robin'}, {'probability': 4.047412e-05, 'class': 'n01534433 junco'}, {'probability': 3.6791673e-05, 'class': 'n01531178 goldfinch'}, {'probability': 2.088506e-05, 'class': 'n01580077 jay'}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.14999563992023468;n03457902 greenhouse;n01531178;[{'probability': 0.14999564, 'class': 'n03457902 greenhouse'}, {'probability': 0.06948393, 'class': 'n02454379 armadillo'}, {'probability': 0.05118445, 'class': 'n12144580 corn'}, {'probability': 0.03399181, 'class': 'n04200800 shoe_shop'}, {'probability': 0.03172573, 'class': 'n13133613 ear'}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.887079119682312;n02843684 birdhouse;n01532829;[{'probability': 0.8870791, 'class': 'n02843684 birdhouse'}, {'probability': 0.035222713, 'class': 'n01833805 hummingbird'}, {'probability': 0.010299222, 'class': 'n03944341 pinwheel'}, {'probability': 0.007889389, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0070484537, 'class': 'n01532829 house_finch'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9999985694885254;n01534433 junco;n01534433;[{'probability': 0.99999857, 'class': 'n01534433 junco'}, {'probability': 5.144861e-07, 'class': 'n01592084 chickadee'}, {'probability': 3.2588966e-07, 'class': 'n03710721 maillot'}, {'probability': 1.9152566e-07, 'class': 'n01601694 water_ouzel'}, {'probability': 5.4801895e-08, 'class': 'n04371430 swimming_trunks'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;1.0;n01534433 junco;n01534433;[{'probability': 1.0, 'class': 'n01534433 junco'}, {'probability': 1.0613213e-08, 'class': 'n01560419 bulbul'}, {'probability': 3.8275147e-09, 'class': 'n01601694 water_ouzel'}, {'probability': 2.424726e-09, 'class': 'n01592084 chickadee'}, {'probability': 1.0315203e-09, 'class': 'n01530575 brambling'}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.9939339756965637;n01537544 indigo_bunting;n01537544;[{'probability': 0.993934, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0019812738, 'class': 'n01531178 goldfinch'}, {'probability': 0.0014508821, 'class': 'n01532829 house_finch'}, {'probability': 0.0010964865, 'class': 'n01534433 junco'}, {'probability': 0.00035642067, 'class': 'n01592084 chickadee'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.9978923201560974;n01592084 chickadee;n01560419;[{'probability': 0.9978923, 'class': 'n01592084 chickadee'}, {'probability': 0.00080933055, 'class': 'n01534433 junco'}, {'probability': 0.0006897016, 'class': 'n01560419 bulbul'}, {'probability': 0.00020535434, 'class': 'n01833805 hummingbird'}, {'probability': 0.000115920135, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000217.JPEG;0.9999886751174927;n01560419 bulbul;n01560419;[{'probability': 0.9999887, 'class': 'n01560419 bulbul'}, {'probability': 7.2201947e-06, 'class': 'n01580077 jay'}, {'probability': 3.6334097e-06, 'class': 'n01534433 junco'}, {'probability': 1.8912156e-07, 'class': 'n01833805 hummingbird'}, {'probability': 6.919472e-08, 'class': 'n01592084 chickadee'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000439.JPEG;0.9993451237678528;n01560419 bulbul;n01560419;[{'probability': 0.9993451, 'class': 'n01560419 bulbul'}, {'probability': 0.00025361637, 'class': 'n01534433 junco'}, {'probability': 0.0001937316, 'class': 'n01558993 robin'}, {'probability': 0.00013993622, 'class': 'n01592084 chickadee'}, {'probability': 2.7049933e-05, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000638.JPEG;0.8242091536521912;n01560419 bulbul;n01560419;[{'probability': 0.82420915, 'class': 'n01560419 bulbul'}, {'probability': 0.17372204, 'class': 'n01592084 chickadee'}, {'probability': 0.0008567186, 'class': 'n01833805 hummingbird'}, {'probability': 0.0008523091, 'class': 'n01601694 water_ouzel'}, {'probability': 4.7322446e-05, 'class': 'n01580077 jay'}]
../dataset/ALine/n01580077/ILSVRC2012_val_00000880.JPEG;0.7491323947906494;n01770393 scorpion;n01580077;[{'probability': 0.7491324, 'class': 'n01770393 scorpion'}, {'probability': 0.12349579, 'class': 'n01773797 garden_spider'}, {'probability': 0.082216755, 'class': 'n01775062 wolf_spider'}, {'probability': 0.038156025, 'class': 'n04275548 spider_web'}, {'probability': 0.004076191, 'class': 'n01773549 barn_spider'}]
../dataset/ALine/n01582220/ILSVRC2012_val_00000476.JPEG;0.38493749499320984;n01582220 magpie;n01582220;[{'probability': 0.3849375, 'class': 'n01582220 magpie'}, {'probability': 0.33157936, 'class': 'n02096585 Boston_bull'}, {'probability': 0.13556747, 'class': 'n02113186 Cardigan'}, {'probability': 0.09135676, 'class': 'n02037110 oystercatcher'}, {'probability': 0.018191338, 'class': 'n02116738 African_hunting_dog'}]
../dataset/ALine/n01582220/ILSVRC2012_val_00000963.JPEG;0.9999756813049316;n01582220 magpie;n01582220;[{'probability': 0.9999757, 'class': 'n01582220 magpie'}, {'probability': 1.5965878e-05, 'class': 'n02037110 oystercatcher'}, {'probability': 1.9544655e-06, 'class': 'n02071294 killer_whale'}, {'probability': 1.5813305e-06, 'class': 'n02056570 king_penguin'}, {'probability': 1.2025769e-06, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01592084/ILSVRC2012_val_00000837.JPEG;0.9999997615814209;n01592084 chickadee;n01592084;[{'probability': 0.99999976, 'class': 'n01592084 chickadee'}, {'probability': 3.6482728e-08, 'class': 'n01534433 junco'}, {'probability': 3.0128536e-08, 'class': 'n01601694 water_ouzel'}, {'probability': 9.479405e-09, 'class': 'n04486054 triumphal_arch'}, {'probability': 3.836826e-09, 'class': 'n01580077 jay'}]
../dataset/ALine/n01601694/ILSVRC2012_val_00000962.JPEG;0.9997343420982361;n01601694 water_ouzel;n01601694;[{'probability': 0.99973434, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0001213245, 'class': 'n01592084 chickadee'}, {'probability': 0.00010265145, 'class': 'n01582220 magpie'}, {'probability': 1.3622088e-05, 'class': 'n04486054 triumphal_arch'}, {'probability': 4.848812e-06, 'class': 'n01534433 junco'}]
