image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.3309016823768616;n02536864 coho;n01440764;[{'probability': 0.33090168, 'class': 'n02536864 coho'}, {'probability': 0.15170443, 'class': 'n02398521 hippopotamus'}, {'probability': 0.060592916, 'class': 'n02526121 eel'}, {'probability': 0.05032056, 'class': 'n01768244 trilobite'}, {'probability': 0.04640825, 'class': 'n01695060 Komodo_dragon'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.7435473203659058;n01632777 axolotl;n01443537;[{'probability': 0.7435473, 'class': 'n01632777 axolotl'}, {'probability': 0.086184956, 'class': 'n01990800 isopod'}, {'probability': 0.03747088, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.021542026, 'class': 'n01943899 conch'}, {'probability': 0.009972262, 'class': 'n01944390 snail'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.3523178696632385;n03393912 freight_car;n01443537;[{'probability': 0.35231787, 'class': 'n03393912 freight_car'}, {'probability': 0.12261192, 'class': 'n10565667 scuba_diver'}, {'probability': 0.07469613, 'class': 'n04418357 theater_curtain'}, {'probability': 0.0589588, 'class': 'n04209239 shower_curtain'}, {'probability': 0.04788711, 'class': 'n04404412 television'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.967471182346344;n01443537 goldfish;n01443537;[{'probability': 0.9674712, 'class': 'n01443537 goldfish'}, {'probability': 0.0148894, 'class': 'n01943899 conch'}, {'probability': 0.0031336097, 'class': 'n03388043 fountain'}, {'probability': 0.0023764858, 'class': 'n02454379 armadillo'}, {'probability': 0.0016165058, 'class': 'n01917289 brain_coral'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.7431384325027466;n01443537 goldfish;n01443537;[{'probability': 0.74313843, 'class': 'n01443537 goldfish'}, {'probability': 0.1339405, 'class': 'n02655020 puffer'}, {'probability': 0.033861686, 'class': 'n02526121 eel'}, {'probability': 0.0227455, 'class': 'n02606052 rock_beauty'}, {'probability': 0.012394556, 'class': 'n01632777 axolotl'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.13406138122081757;n03259280 Dutch_oven;n01496331;[{'probability': 0.13406138, 'class': 'n03259280 Dutch_oven'}, {'probability': 0.08617461, 'class': 'n03400231 frying_pan'}, {'probability': 0.0796109, 'class': 'n02776631 bakery'}, {'probability': 0.0584632, 'class': 'n07860988 dough'}, {'probability': 0.04992284, 'class': 'n09472597 volcano'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.8773443698883057;n02417914 ibex;n01514668;[{'probability': 0.87734437, 'class': 'n02417914 ibex'}, {'probability': 0.030819762, 'class': 'n02412080 ram'}, {'probability': 0.01387523, 'class': 'n01514668 cock'}, {'probability': 0.007974557, 'class': 'n04507155 umbrella'}, {'probability': 0.006728385, 'class': 'n07802026 hay'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.6377964615821838;n01514668 cock;n01514668;[{'probability': 0.63779646, 'class': 'n01514668 cock'}, {'probability': 0.36143747, 'class': 'n01514859 hen'}, {'probability': 0.00016709523, 'class': 'n01806143 peacock'}, {'probability': 0.00016313625, 'class': 'n01807496 partridge'}, {'probability': 0.00015398953, 'class': 'n01806567 quail'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.4330471456050873;n01530575 brambling;n01530575;[{'probability': 0.43304715, 'class': 'n01530575 brambling'}, {'probability': 0.21728718, 'class': 'n01534433 junco'}, {'probability': 0.07597703, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.037734892, 'class': 'n01580077 jay'}, {'probability': 0.02556571, 'class': 'n01560419 bulbul'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.7536935210227966;n01530575 brambling;n01530575;[{'probability': 0.7536935, 'class': 'n01530575 brambling'}, {'probability': 0.22133437, 'class': 'n01534433 junco'}, {'probability': 0.012742586, 'class': 'n01580077 jay'}, {'probability': 0.003693336, 'class': 'n01531178 goldfinch'}, {'probability': 0.00327985, 'class': 'n01592084 chickadee'}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.5559283494949341;n07753275 pineapple;n01531178;[{'probability': 0.55592835, 'class': 'n07753275 pineapple'}, {'probability': 0.06236713, 'class': 'n03958227 plastic_bag'}, {'probability': 0.05999636, 'class': 'n13052670 hen-of-the-woods'}, {'probability': 0.05750605, 'class': 'n01985128 crayfish'}, {'probability': 0.042881265, 'class': 'n07734744 mushroom'}]
