image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.1993430107831955;n01695060 Komodo_dragon;n01440764;[{'probability': 0.19934301, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.1025783, 'class': 'n03788365 mosquito_net'}, {'probability': 0.076001175, 'class': 'n02504013 Indian_elephant'}, {'probability': 0.065233365, 'class': 'n02317335 starfish'}, {'probability': 0.0605328, 'class': 'n02398521 hippopotamus'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.5296582579612732;n01990800 isopod;n01443537;[{'probability': 0.52965826, 'class': 'n01990800 isopod'}, {'probability': 0.22288357, 'class': 'n01910747 jellyfish'}, {'probability': 0.033262122, 'class': 'n04033901 quill'}, {'probability': 0.027423397, 'class': 'n01943899 conch'}, {'probability': 0.018463437, 'class': 'n02074367 dugong'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.12478476762771606;n02808440 bathtub;n01443537;[{'probability': 0.12478477, 'class': 'n02808440 bathtub'}, {'probability': 0.10188089, 'class': 'n04493381 tub'}, {'probability': 0.07160987, 'class': 'n04209239 shower_curtain'}, {'probability': 0.05520563, 'class': 'n04404412 television'}, {'probability': 0.04352956, 'class': 'n02098286 West_Highland_white_terrier'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.23353208601474762;n02454379 armadillo;n01443537;[{'probability': 0.23353209, 'class': 'n02454379 armadillo'}, {'probability': 0.14749108, 'class': 'n01943899 conch'}, {'probability': 0.114789836, 'class': 'n01704323 triceratops'}, {'probability': 0.04894594, 'class': 'n02643566 lionfish'}, {'probability': 0.04068646, 'class': 'n01944390 snail'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.38137394189834595;n01632777 axolotl;n01443537;[{'probability': 0.38137394, 'class': 'n01632777 axolotl'}, {'probability': 0.17390442, 'class': 'n02655020 puffer'}, {'probability': 0.0909518, 'class': 'n01443537 goldfish'}, {'probability': 0.06197697, 'class': 'n02395406 hog'}, {'probability': 0.032830197, 'class': 'n02092339 Weimaraner'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.17525970935821533;n09472597 volcano;n01496331;[{'probability': 0.17525971, 'class': 'n09472597 volcano'}, {'probability': 0.09762676, 'class': 'n03743016 megalith'}, {'probability': 0.03656232, 'class': 'n04326547 stone_wall'}, {'probability': 0.03168372, 'class': 'n01955084 chiton'}, {'probability': 0.02919565, 'class': 'n01667114 mud_turtle'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.331341415643692;n02437616 llama;n01514668;[{'probability': 0.33134142, 'class': 'n02437616 llama'}, {'probability': 0.19042149, 'class': 'n01514668 cock'}, {'probability': 0.13947009, 'class': 'n02437312 Arabian_camel'}, {'probability': 0.02442273, 'class': 'n02454379 armadillo'}, {'probability': 0.015828857, 'class': 'n02391049 zebra'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9250445365905762;n01514859 hen;n01514668;[{'probability': 0.92504454, 'class': 'n01514859 hen'}, {'probability': 0.06737705, 'class': 'n01514668 cock'}, {'probability': 0.004700755, 'class': 'n02097298 Scotch_terrier'}, {'probability': 0.002402498, 'class': 'n01860187 black_swan'}, {'probability': 4.2429238e-05, 'class': 'n02098286 West_Highland_white_terrier'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.4896441400051117;n01534433 junco;n01530575;[{'probability': 0.48964414, 'class': 'n01534433 junco'}, {'probability': 0.45371827, 'class': 'n01530575 brambling'}, {'probability': 0.018500559, 'class': 'n01601694 water_ouzel'}, {'probability': 0.012628997, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.0058495244, 'class': 'n01531178 goldfinch'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.4214666783809662;n01534433 junco;n01530575;[{'probability': 0.42146668, 'class': 'n01534433 junco'}, {'probability': 0.34433767, 'class': 'n01530575 brambling'}, {'probability': 0.042126756, 'class': 'n01833805 hummingbird'}, {'probability': 0.034380693, 'class': 'n01558993 robin'}, {'probability': 0.034081955, 'class': 'n01592084 chickadee'}]
