image;probability;guess_class;real_class;other_predictions
../dataset/Alina_420/n01440764/ILSVRC2012_val_00000293.JPEG;0.5135560631752014;n01440764 tench;n01440764;[{'probability': 0.51355606, 'class': 'n01440764 tench'}, {'probability': 0.1460636, 'class': 'n02640242 sturgeon'}, {'probability': 0.052283745, 'class': 'n02514041 barracouta'}, {'probability': 0.030555062, 'class': 'n02641379 gar'}, {'probability': 0.029563326, 'class': 'n02536864 coho'}]
../dataset/Alina_420/n01443537/ILSVRC2012_val_00000236.JPEG;0.319571852684021;n01950731 sea_slug;n01443537;[{'probability': 0.31957185, 'class': 'n01950731 sea_slug'}, {'probability': 0.16181388, 'class': 'n01443537 goldfish'}, {'probability': 0.07935527, 'class': 'n01632777 axolotl'}, {'probability': 0.070502974, 'class': 'n01496331 electric_ray'}, {'probability': 0.017492298, 'class': 'n02514041 barracouta'}]
../dataset/Alina_420/n01443537/ILSVRC2012_val_00000262.JPEG;0.8092600107192993;n01443537 goldfish;n01443537;[{'probability': 0.80926, 'class': 'n01443537 goldfish'}, {'probability': 0.0154175805, 'class': 'n01632777 axolotl'}, {'probability': 0.005504151, 'class': 'n02655020 puffer'}, {'probability': 0.0033260346, 'class': 'n09256479 coral_reef'}, {'probability': 0.0028093155, 'class': 'n02641379 gar'}]
../dataset/Alina_420/n01443537/ILSVRC2012_val_00000307.JPEG;0.8233231902122498;n01443537 goldfish;n01443537;[{'probability': 0.8233232, 'class': 'n01443537 goldfish'}, {'probability': 0.0016308251, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0016096625, 'class': 'n01440764 tench'}, {'probability': 0.0011090768, 'class': 'n01632777 axolotl'}, {'probability': 0.0009320349, 'class': 'n02607072 anemone_fish'}]
../dataset/Alina_420/n01443537/ILSVRC2012_val_00000994.JPEG;0.8330951929092407;n01443537 goldfish;n01443537;[{'probability': 0.8330952, 'class': 'n01443537 goldfish'}, {'probability': 0.0014294517, 'class': 'n02007558 flamingo'}, {'probability': 0.0010156743, 'class': 'n02701002 ambulance'}, {'probability': 0.0009156656, 'class': 'n02607072 anemone_fish'}, {'probability': 0.0008508566, 'class': 'n02606052 rock_beauty'}]
../dataset/Alina_420/n01496331/ILSVRC2012_val_00000921.JPEG;0.6868488192558289;n01496331 electric_ray;n01496331;[{'probability': 0.6868488, 'class': 'n01496331 electric_ray'}, {'probability': 0.03770513, 'class': 'n09472597 volcano'}, {'probability': 0.026723636, 'class': 'n01955084 chiton'}, {'probability': 0.017007787, 'class': 'n01978455 rock_crab'}, {'probability': 0.014886375, 'class': 'n01664065 loggerhead'}]
../dataset/Alina_420/n01514668/ILSVRC2012_val_00000329.JPEG;0.3510359525680542;n01514859 hen;n01514668;[{'probability': 0.35103595, 'class': 'n01514859 hen'}, {'probability': 0.3058771, 'class': 'n01514668 cock'}, {'probability': 0.0293923, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.022597905, 'class': 'n01797886 ruffed_grouse'}, {'probability': 0.016254531, 'class': 'n01807496 partridge'}]
../dataset/Alina_420/n01514668/ILSVRC2012_val_00000911.JPEG;0.5258134603500366;n01514859 hen;n01514668;[{'probability': 0.52581346, 'class': 'n01514859 hen'}, {'probability': 0.086973, 'class': 'n01514668 cock'}, {'probability': 0.059175145, 'class': 'n01807496 partridge'}, {'probability': 0.012194377, 'class': 'n02105412 kelpie'}, {'probability': 0.0026394236, 'class': 'n02106382 Bouvier_des_Flandres'}]
../dataset/Alina_420/n01530575/ILSVRC2012_val_00000651.JPEG;0.8014377951622009;n01530575 brambling;n01530575;[{'probability': 0.8014378, 'class': 'n01530575 brambling'}, {'probability': 0.029577717, 'class': 'n01531178 goldfinch'}, {'probability': 0.0094356965, 'class': 'n01532829 house_finch'}, {'probability': 0.008237761, 'class': 'n01601694 water_ouzel'}, {'probability': 0.007264833, 'class': 'n01807496 partridge'}]
../dataset/Alina_420/n01530575/ILSVRC2012_val_00000747.JPEG;0.825113832950592;n01530575 brambling;n01530575;[{'probability': 0.82511383, 'class': 'n01530575 brambling'}, {'probability': 0.0019181076, 'class': 'n01558993 robin'}, {'probability': 0.0012322218, 'class': 'n03272562 electric_locomotive'}, {'probability': 0.0009528313, 'class': 'n01531178 goldfinch'}, {'probability': 0.00073581154, 'class': 'n01980166 fiddler_crab'}]
../dataset/Alina_420/n01531178/ILSVRC2012_val_00000570.JPEG;0.8173253536224365;n01531178 goldfinch;n01531178;[{'probability': 0.81732535, 'class': 'n01531178 goldfinch'}, {'probability': 0.003348246, 'class': 'n01530575 brambling'}, {'probability': 0.0019718797, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0018014009, 'class': 'n01828970 bee_eater'}, {'probability': 0.0015760105, 'class': 'n01532829 house_finch'}]
../dataset/Alina_420/n01532829/ILSVRC2012_val_00000873.JPEG;0.9044872522354126;n01532829 house_finch;n01532829;[{'probability': 0.90448725, 'class': 'n01532829 house_finch'}, {'probability': 0.02301052, 'class': 'n01530575 brambling'}, {'probability': 0.0068559796, 'class': 'n04380533 table_lamp'}, {'probability': 0.005476776, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0034418907, 'class': 'n02843684 birdhouse'}]
../dataset/Alina_420/n01534433/ILSVRC2012_val_00000247.JPEG;0.7786959409713745;n01534433 junco;n01534433;[{'probability': 0.77869594, 'class': 'n01534433 junco'}, {'probability': 0.009328488, 'class': 'n01530575 brambling'}, {'probability': 0.003504247, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0025512972, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0012769533, 'class': 'n01531178 goldfinch'}]
../dataset/Alina_420/n01534433/ILSVRC2012_val_00000713.JPEG;0.7632405757904053;n01534433 junco;n01534433;[{'probability': 0.7632406, 'class': 'n01534433 junco'}, {'probability': 0.009495969, 'class': 'n01530575 brambling'}, {'probability': 0.007870036, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0014120658, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0012154694, 'class': 'n02017213 European_gallinule'}]
../dataset/Alina_420/n01537544/ILSVRC2012_val_00000414.JPEG;0.764776885509491;n01537544 indigo_bunting;n01537544;[{'probability': 0.7647769, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0045571374, 'class': 'n01828970 bee_eater'}, {'probability': 0.0029059937, 'class': 'n02017213 European_gallinule'}, {'probability': 0.0025132436, 'class': 'n01530575 brambling'}, {'probability': 0.002220392, 'class': 'n01843065 jacamar'}]
../dataset/Alina_420/n01560419/ILSVRC2012_val_00000198.JPEG;0.8196775317192078;n01560419 bulbul;n01560419;[{'probability': 0.81967753, 'class': 'n01560419 bulbul'}, {'probability': 0.004771036, 'class': 'n01828970 bee_eater'}, {'probability': 0.0042993804, 'class': 'n01532829 house_finch'}, {'probability': 0.0017356758, 'class': 'n01824575 coucal'}, {'probability': 0.0015969679, 'class': 'n01843065 jacamar'}]
../dataset/Alina_420/n01560419/ILSVRC2012_val_00000217.JPEG;0.8003804087638855;n01560419 bulbul;n01560419;[{'probability': 0.8003804, 'class': 'n01560419 bulbul'}, {'probability': 0.0015285698, 'class': 'n04542943 waffle_iron'}, {'probability': 0.00084197277, 'class': 'n01601694 water_ouzel'}, {'probability': 0.000758937, 'class': 'n01558993 robin'}, {'probability': 0.0007570878, 'class': 'n02105162 malinois'}]
../dataset/Alina_420/n01560419/ILSVRC2012_val_00000439.JPEG;0.80751633644104;n01560419 bulbul;n01560419;[{'probability': 0.80751634, 'class': 'n01560419 bulbul'}, {'probability': 0.0020135962, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0016418758, 'class': 'n01558993 robin'}, {'probability': 0.0014254372, 'class': 'n01534433 junco'}, {'probability': 0.001186976, 'class': 'n04542943 waffle_iron'}]
../dataset/Alina_420/n01560419/ILSVRC2012_val_00000638.JPEG;0.8101199865341187;n01560419 bulbul;n01560419;[{'probability': 0.81012, 'class': 'n01560419 bulbul'}, {'probability': 0.0010141049, 'class': 'n01534433 junco'}, {'probability': 0.0009203016, 'class': 'n04542943 waffle_iron'}, {'probability': 0.0007743507, 'class': 'n01824575 coucal'}, {'probability': 0.00073818734, 'class': 'n01828970 bee_eater'}]
../dataset/Alina_420/n01580077/ILSVRC2012_val_00000880.JPEG;0.7889060378074646;n01580077 jay;n01580077;[{'probability': 0.78890604, 'class': 'n01580077 jay'}, {'probability': 0.0042823283, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0020484757, 'class': 'n01797886 ruffed_grouse'}, {'probability': 0.0018681384, 'class': 'n01560419 bulbul'}, {'probability': 0.0018115148, 'class': 'n01824575 coucal'}]
../dataset/Alina_420/n01582220/ILSVRC2012_val_00000476.JPEG;0.338279128074646;n01601694 water_ouzel;n01582220;[{'probability': 0.33827913, 'class': 'n01601694 water_ouzel'}, {'probability': 0.17493027, 'class': 'n01582220 magpie'}, {'probability': 0.0685257, 'class': 'n02037110 oystercatcher'}, {'probability': 0.06507945, 'class': 'n01795545 black_grouse'}, {'probability': 0.040688373, 'class': 'n01806567 quail'}]
../dataset/Alina_420/n01582220/ILSVRC2012_val_00000963.JPEG;0.8416804075241089;n01582220 magpie;n01582220;[{'probability': 0.8416804, 'class': 'n01582220 magpie'}, {'probability': 0.001809496, 'class': 'n01824575 coucal'}, {'probability': 0.001275069, 'class': 'n01580077 jay'}, {'probability': 0.0009028762, 'class': 'n01829413 hornbill'}, {'probability': 0.0008300672, 'class': 'n04604644 worm_fence'}]
../dataset/Alina_420/n01592084/ILSVRC2012_val_00000837.JPEG;0.7548564076423645;n01592084 chickadee;n01592084;[{'probability': 0.7548564, 'class': 'n01592084 chickadee'}, {'probability': 0.0031164535, 'class': 'n01601694 water_ouzel'}, {'probability': 0.002168806, 'class': 'n01530575 brambling'}, {'probability': 0.0021203798, 'class': 'n01534433 junco'}, {'probability': 0.0014757399, 'class': 'n01560419 bulbul'}]
../dataset/Alina_420/n01601694/ILSVRC2012_val_00000962.JPEG;0.8643070459365845;n01601694 water_ouzel;n01601694;[{'probability': 0.86430705, 'class': 'n01601694 water_ouzel'}, {'probability': 0.00088073587, 'class': 'n02037110 oystercatcher'}, {'probability': 0.0007869158, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.00067606464, 'class': 'n01855032 red-breasted_merganser'}, {'probability': 0.0006226503, 'class': 'n01795545 black_grouse'}]
../dataset/Alina_420/n01608432/ILSVRC2012_val_00000073.JPEG;0.7025594711303711;n01608432 kite;n01608432;[{'probability': 0.7025595, 'class': 'n01608432 kite'}, {'probability': 0.054163504, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.0043983664, 'class': 'n01796340 ptarmigan'}, {'probability': 0.004181545, 'class': 'n02009912 American_egret'}, {'probability': 0.0026312696, 'class': 'n01614925 bald_eagle'}]
../dataset/Alina_420/n01608432/ILSVRC2012_val_00000328.JPEG;0.8684849143028259;n01608432 kite;n01608432;[{'probability': 0.8684849, 'class': 'n01608432 kite'}, {'probability': 0.009220879, 'class': 'n01614925 bald_eagle'}, {'probability': 0.0017576371, 'class': 'n01824575 coucal'}, {'probability': 0.0012694702, 'class': 'n01622779 great_grey_owl'}, {'probability': 0.0011989474, 'class': 'n01616318 vulture'}]
../dataset/Alina_420/n01608432/ILSVRC2012_val_00000739.JPEG;0.8588442206382751;n01608432 kite;n01608432;[{'probability': 0.8588442, 'class': 'n01608432 kite'}, {'probability': 0.0028925226, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.0016283123, 'class': 'n01806567 quail'}, {'probability': 0.0015838187, 'class': 'n01622779 great_grey_owl'}, {'probability': 0.001260905, 'class': 'n01795545 black_grouse'}]
../dataset/Alina_420/n01608432/ILSVRC2012_val_00000888.JPEG;0.7956739068031311;n01608432 kite;n01608432;[{'probability': 0.7956739, 'class': 'n01608432 kite'}, {'probability': 0.030064194, 'class': 'n01614925 bald_eagle'}, {'probability': 0.0052710236, 'class': 'n01616318 vulture'}, {'probability': 0.0022561275, 'class': 'n01824575 coucal'}, {'probability': 0.0017530419, 'class': 'n01795545 black_grouse'}]
../dataset/Alina_420/n01614925/ILSVRC2012_val_00000128.JPEG;0.8089697957038879;n01608432 kite;n01614925;[{'probability': 0.8089698, 'class': 'n01608432 kite'}, {'probability': 0.022444641, 'class': 'n01797886 ruffed_grouse'}, {'probability': 0.012054614, 'class': 'n01795545 black_grouse'}, {'probability': 0.009910372, 'class': 'n01806567 quail'}, {'probability': 0.006768942, 'class': 'n01798484 prairie_chicken'}]
