image;probability;guess_class;real_class;other_predictions
../dataset/Alina_666/n01440764/ILSVRC2012_val_00000293.JPEG;0.9673321843147278;n01440764 tench;n01440764;[{'probability': 0.9673322, 'class': 'n01440764 tench'}, {'probability': 0.009621504, 'class': 'n07754684 jackfruit'}, {'probability': 0.00868079, 'class': 'n01955084 chiton'}, {'probability': 0.0065956693, 'class': 'n01945685 slug'}, {'probability': 0.001388492, 'class': 'n01943899 conch'}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000236.JPEG;0.9276546239852905;n01632777 axolotl;n01443537;[{'probability': 0.9276546, 'class': 'n01632777 axolotl'}, {'probability': 0.0441281, 'class': 'n01950731 sea_slug'}, {'probability': 0.019265035, 'class': 'n01443537 goldfish'}, {'probability': 0.003305863, 'class': 'n02607072 anemone_fish'}, {'probability': 0.0026404539, 'class': 'n01819313 sulphur-crested_cockatoo'}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000262.JPEG;0.9822401404380798;n01443537 goldfish;n01443537;[{'probability': 0.98224014, 'class': 'n01443537 goldfish'}, {'probability': 0.0062507247, 'class': 'n01632777 axolotl'}, {'probability': 0.0043501803, 'class': 'n04209239 shower_curtain'}, {'probability': 0.0017842753, 'class': 'n02342885 hamster'}, {'probability': 0.0006763677, 'class': 'n01664065 loggerhead'}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999974966049194;n01443537 goldfish;n01443537;[{'probability': 0.9999975, 'class': 'n01443537 goldfish'}, {'probability': 1.0909956e-06, 'class': 'n01440764 tench'}, {'probability': 4.9017183e-07, 'class': 'n01943899 conch'}, {'probability': 4.3471533e-07, 'class': 'n02606052 rock_beauty'}, {'probability': 2.3255612e-07, 'class': 'n02607072 anemone_fish'}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000994.JPEG;0.9981830716133118;n01443537 goldfish;n01443537;[{'probability': 0.9981831, 'class': 'n01443537 goldfish'}, {'probability': 0.0007828894, 'class': 'n02606052 rock_beauty'}, {'probability': 0.00038387786, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00019060842, 'class': 'n01440764 tench'}, {'probability': 3.8500122e-05, 'class': 'n02655020 puffer'}]
../dataset/Alina_666/n01496331/ILSVRC2012_val_00000921.JPEG;0.4922662675380707;n04111531 rotisserie;n01496331;[{'probability': 0.49226627, 'class': 'n04111531 rotisserie'}, {'probability': 0.18087819, 'class': 'n04330267 stove'}, {'probability': 0.068643406, 'class': 'n09472597 volcano'}, {'probability': 0.064147465, 'class': 'n03347037 fire_screen'}, {'probability': 0.05065175, 'class': 'n03259280 Dutch_oven'}]
../dataset/Alina_666/n01514668/ILSVRC2012_val_00000329.JPEG;0.9979891777038574;n07754684 jackfruit;n01514668;[{'probability': 0.9979892, 'class': 'n07754684 jackfruit'}, {'probability': 0.0007157023, 'class': 'n07753275 pineapple'}, {'probability': 0.00033847094, 'class': 'n02319095 sea_urchin'}, {'probability': 0.0001366459, 'class': 'n04507155 umbrella'}, {'probability': 0.00010480202, 'class': 'n12768682 buckeye'}]
../dataset/Alina_666/n01514668/ILSVRC2012_val_00000911.JPEG;0.59188312292099;n01514859 hen;n01514668;[{'probability': 0.5918831, 'class': 'n01514859 hen'}, {'probability': 0.39892372, 'class': 'n01514668 cock'}, {'probability': 0.008703438, 'class': 'n01807496 partridge'}, {'probability': 0.00040377452, 'class': 'n01797886 ruffed_grouse'}, {'probability': 2.8333636e-05, 'class': 'n02077923 sea_lion'}]
../dataset/Alina_666/n01530575/ILSVRC2012_val_00000651.JPEG;0.9042249321937561;n01530575 brambling;n01530575;[{'probability': 0.90422493, 'class': 'n01530575 brambling'}, {'probability': 0.042770706, 'class': 'n01532829 house_finch'}, {'probability': 0.042368874, 'class': 'n02027492 red-backed_sandpiper'}, {'probability': 0.006121344, 'class': 'n01534433 junco'}, {'probability': 0.0028805365, 'class': 'n02025239 ruddy_turnstone'}]
../dataset/Alina_666/n01530575/ILSVRC2012_val_00000747.JPEG;0.9999037981033325;n01530575 brambling;n01530575;[{'probability': 0.9999038, 'class': 'n01530575 brambling'}, {'probability': 9.375613e-05, 'class': 'n01558993 robin'}, {'probability': 2.4691885e-06, 'class': 'n01531178 goldfinch'}, {'probability': 9.902467e-09, 'class': 'n04604644 worm_fence'}, {'probability': 6.322632e-09, 'class': 'n01532829 house_finch'}]
