image;probability;guess_class;real_class;other_predictions
../dataset/Alina_69/n01440764/ILSVRC2012_val_00000293.JPEG;0.40616506338119507;n02536864 coho;n01440764;[{'probability': 0.40616506, 'class': 'n02536864 coho'}, {'probability': 0.33147222, 'class': 'n01440764 tench'}, {'probability': 0.034649633, 'class': 'n03388043 fountain'}, {'probability': 0.019187562, 'class': 'n02526121 eel'}, {'probability': 0.017906057, 'class': 'n02640242 sturgeon'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000236.JPEG;0.26719000935554504;n01950731 sea_slug;n01443537;[{'probability': 0.26719, 'class': 'n01950731 sea_slug'}, {'probability': 0.102473885, 'class': 'n02326432 hare'}, {'probability': 0.06426923, 'class': 'n02328150 Angora'}, {'probability': 0.06235321, 'class': 'n02423022 gazelle'}, {'probability': 0.044341624, 'class': 'n01632777 axolotl'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000262.JPEG;0.9623584151268005;n01443537 goldfish;n01443537;[{'probability': 0.9623584, 'class': 'n01443537 goldfish'}, {'probability': 0.00495476, 'class': 'n01496331 electric_ray'}, {'probability': 0.0037646336, 'class': 'n10565667 scuba_diver'}, {'probability': 0.003074382, 'class': 'n01498041 stingray'}, {'probability': 0.0026760807, 'class': 'n09256479 coral_reef'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000307.JPEG;0.9991833567619324;n01443537 goldfish;n01443537;[{'probability': 0.99918336, 'class': 'n01443537 goldfish'}, {'probability': 0.0005047773, 'class': 'n01440764 tench'}, {'probability': 0.00013806993, 'class': 'n02606052 rock_beauty'}, {'probability': 5.714427e-05, 'class': 'n01632777 axolotl'}, {'probability': 4.207314e-05, 'class': 'n02607072 anemone_fish'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000994.JPEG;0.9898430705070496;n01443537 goldfish;n01443537;[{'probability': 0.9898431, 'class': 'n01443537 goldfish'}, {'probability': 0.006082935, 'class': 'n01440764 tench'}, {'probability': 0.0016011297, 'class': 'n02606052 rock_beauty'}, {'probability': 0.00032502657, 'class': 'n02514041 barracouta'}, {'probability': 0.00032167154, 'class': 'n02607072 anemone_fish'}]
../dataset/Alina_69/n01496331/ILSVRC2012_val_00000921.JPEG;0.28125718235969543;n01496331 electric_ray;n01496331;[{'probability': 0.28125718, 'class': 'n01496331 electric_ray'}, {'probability': 0.15427901, 'class': 'n01917289 brain_coral'}, {'probability': 0.13098449, 'class': 'n09472597 volcano'}, {'probability': 0.047239166, 'class': 'n12985857 coral_fungus'}, {'probability': 0.044430573, 'class': 'n01664065 loggerhead'}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000329.JPEG;0.46237173676490784;n01514668 cock;n01514668;[{'probability': 0.46237174, 'class': 'n01514668 cock'}, {'probability': 0.2080282, 'class': 'n01514859 hen'}, {'probability': 0.10142798, 'class': 'n02437616 llama'}, {'probability': 0.035869192, 'class': 'n01855672 goose'}, {'probability': 0.02282986, 'class': 'n01798484 prairie_chicken'}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000911.JPEG;0.9657066464424133;n01514859 hen;n01514668;[{'probability': 0.96570665, 'class': 'n01514859 hen'}, {'probability': 0.03405332, 'class': 'n01514668 cock'}, {'probability': 0.00012299232, 'class': 'n01806567 quail'}, {'probability': 5.528804e-05, 'class': 'n01797886 ruffed_grouse'}, {'probability': 5.106227e-05, 'class': 'n01807496 partridge'}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000651.JPEG;0.591603696346283;n01530575 brambling;n01530575;[{'probability': 0.5916037, 'class': 'n01530575 brambling'}, {'probability': 0.111852586, 'class': 'n02027492 red-backed_sandpiper'}, {'probability': 0.08708763, 'class': 'n02033041 dowitcher'}, {'probability': 0.049283545, 'class': 'n01532829 house_finch'}, {'probability': 0.027723528, 'class': 'n02025239 ruddy_turnstone'}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000747.JPEG;0.9862973690032959;n01530575 brambling;n01530575;[{'probability': 0.98629737, 'class': 'n01530575 brambling'}, {'probability': 0.010434547, 'class': 'n01531178 goldfinch'}, {'probability': 0.0014089756, 'class': 'n01558993 robin'}, {'probability': 0.0010992312, 'class': 'n01534433 junco'}, {'probability': 0.00019437437, 'class': 'n01532829 house_finch'}]
../dataset/Alina_69/n01531178/ILSVRC2012_val_00000570.JPEG;0.9416048526763916;n01531178 goldfinch;n01531178;[{'probability': 0.94160485, 'class': 'n01531178 goldfinch'}, {'probability': 0.01680705, 'class': "n12057211 yellow_lady's_slipper"}, {'probability': 0.003725984, 'class': 'n07718472 cucumber'}, {'probability': 0.0017019969, 'class': 'n01843383 toucan'}, {'probability': 0.0014401813, 'class': 'n02168699 long-horned_beetle'}]
../dataset/Alina_69/n01532829/ILSVRC2012_val_00000873.JPEG;0.5965170860290527;n02843684 birdhouse;n01532829;[{'probability': 0.5965171, 'class': 'n02843684 birdhouse'}, {'probability': 0.14580423, 'class': 'n04380533 table_lamp'}, {'probability': 0.10719469, 'class': 'n01532829 house_finch'}, {'probability': 0.06160812, 'class': 'n03637318 lampshade'}, {'probability': 0.039209608, 'class': 'n01537544 indigo_bunting'}]
../dataset/Alina_69/n01534433/ILSVRC2012_val_00000247.JPEG;0.9721813797950745;n01534433 junco;n01534433;[{'probability': 0.9721814, 'class': 'n01534433 junco'}, {'probability': 0.018901467, 'class': 'n01592084 chickadee'}, {'probability': 0.0069366316, 'class': 'n01530575 brambling'}, {'probability': 0.0004279944, 'class': 'n01601694 water_ouzel'}, {'probability': 0.00036603623, 'class': 'n01537544 indigo_bunting'}]
../dataset/Alina_69/n01534433/ILSVRC2012_val_00000713.JPEG;0.9996328353881836;n01534433 junco;n01534433;[{'probability': 0.99963284, 'class': 'n01534433 junco'}, {'probability': 0.00013953375, 'class': 'n01601694 water_ouzel'}, {'probability': 0.00010806278, 'class': 'n01530575 brambling'}, {'probability': 1.0213157e-05, 'class': 'n01532829 house_finch'}, {'probability': 9.581828e-06, 'class': 'n01560419 bulbul'}]
../dataset/Alina_69/n01537544/ILSVRC2012_val_00000414.JPEG;0.998145580291748;n01537544 indigo_bunting;n01537544;[{'probability': 0.9981456, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.00051344885, 'class': 'n01534433 junco'}, {'probability': 0.00035119746, 'class': 'n01532829 house_finch'}, {'probability': 0.00012554652, 'class': 'n01580077 jay'}, {'probability': 0.000121803336, 'class': 'n02017213 European_gallinule'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000198.JPEG;0.7039007544517517;n01560419 bulbul;n01560419;[{'probability': 0.70390075, 'class': 'n01560419 bulbul'}, {'probability': 0.1849601, 'class': 'n01824575 coucal'}, {'probability': 0.024166528, 'class': 'n01828970 bee_eater'}, {'probability': 0.01486055, 'class': 'n01608432 kite'}, {'probability': 0.011072888, 'class': 'n01829413 hornbill'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000217.JPEG;0.9997022747993469;n01560419 bulbul;n01560419;[{'probability': 0.9997023, 'class': 'n01560419 bulbul'}, {'probability': 6.9977534e-05, 'class': 'n01580077 jay'}, {'probability': 4.983748e-05, 'class': 'n01558993 robin'}, {'probability': 4.179135e-05, 'class': 'n01824575 coucal'}, {'probability': 2.3932565e-05, 'class': 'n01833805 hummingbird'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000439.JPEG;0.9713590145111084;n01560419 bulbul;n01560419;[{'probability': 0.971359, 'class': 'n01560419 bulbul'}, {'probability': 0.008469161, 'class': 'n01558993 robin'}, {'probability': 0.0071824756, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0031420372, 'class': 'n01534433 junco'}, {'probability': 0.0016554854, 'class': 'n01530575 brambling'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000638.JPEG;0.9495627284049988;n01560419 bulbul;n01560419;[{'probability': 0.9495627, 'class': 'n01560419 bulbul'}, {'probability': 0.017213112, 'class': 'n01833805 hummingbird'}, {'probability': 0.009314114, 'class': 'n01534433 junco'}, {'probability': 0.0017292368, 'class': 'n01582220 magpie'}, {'probability': 0.0014595801, 'class': 'n02692877 airship'}]
../dataset/Alina_69/n01580077/ILSVRC2012_val_00000880.JPEG;0.9780489802360535;n01580077 jay;n01580077;[{'probability': 0.978049, 'class': 'n01580077 jay'}, {'probability': 0.004557459, 'class': 'n02500267 indri'}, {'probability': 0.0020296155, 'class': 'n01582220 magpie'}, {'probability': 0.0015234613, 'class': 'n01592084 chickadee'}, {'probability': 0.0015069076, 'class': 'n01530575 brambling'}]
../dataset/Alina_69/n01582220/ILSVRC2012_val_00000476.JPEG;0.36540454626083374;n02018207 American_coot;n01582220;[{'probability': 0.36540455, 'class': 'n02018207 American_coot'}, {'probability': 0.18341465, 'class': 'n01601694 water_ouzel'}, {'probability': 0.09144833, 'class': 'n02002724 black_stork'}, {'probability': 0.06737912, 'class': 'n02017213 European_gallinule'}, {'probability': 0.04122477, 'class': 'n02037110 oystercatcher'}]
../dataset/Alina_69/n01582220/ILSVRC2012_val_00000963.JPEG;0.9972733855247498;n01582220 magpie;n01582220;[{'probability': 0.9972734, 'class': 'n01582220 magpie'}, {'probability': 0.00046550264, 'class': 'n01580077 jay'}, {'probability': 0.00038373127, 'class': 'n01824575 coucal'}, {'probability': 0.00029179401, 'class': 'n02056570 king_penguin'}, {'probability': 0.00016998619, 'class': 'n01829413 hornbill'}]
../dataset/Alina_69/n01592084/ILSVRC2012_val_00000837.JPEG;0.9993467926979065;n01592084 chickadee;n01592084;[{'probability': 0.9993468, 'class': 'n01592084 chickadee'}, {'probability': 5.854955e-05, 'class': 'n01843065 jacamar'}, {'probability': 5.386718e-05, 'class': 'n01580077 jay'}, {'probability': 3.8347927e-05, 'class': 'n01833805 hummingbird'}, {'probability': 2.3637236e-05, 'class': 'n01560419 bulbul'}]
