image;probability;guess_class;real_class;other_predictions
../dataset/Alina_69/n01440764/ILSVRC2012_val_00000293.JPEG;0.9512879848480225;n01440764 tench;n01440764;[{'probability': 0.951288, 'class': 'n01440764 tench'}, {'probability': 0.026549906, 'class': 'n02536864 coho'}, {'probability': 0.005111909, 'class': 'n02640242 sturgeon'}, {'probability': 0.004970425, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.0010642033, 'class': 'n02514041 barracouta'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000236.JPEG;0.240691140294075;n01632777 axolotl;n01443537;[{'probability': 0.24069114, 'class': 'n01632777 axolotl'}, {'probability': 0.15224847, 'class': 'n01443537 goldfish'}, {'probability': 0.024767807, 'class': 'n01950731 sea_slug'}, {'probability': 0.011072652, 'class': 'n02607072 anemone_fish'}, {'probability': 0.010012566, 'class': 'n01819313 sulphur-crested_cockatoo'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000262.JPEG;0.892358660697937;n01443537 goldfish;n01443537;[{'probability': 0.89235866, 'class': 'n01443537 goldfish'}, {'probability': 0.03277175, 'class': 'n02077923 sea_lion'}, {'probability': 0.01609719, 'class': 'n01664065 loggerhead'}, {'probability': 0.008693941, 'class': 'n10565667 scuba_diver'}, {'probability': 0.004228706, 'class': 'n09256479 coral_reef'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000307.JPEG;0.9998975992202759;n01443537 goldfish;n01443537;[{'probability': 0.9998976, 'class': 'n01443537 goldfish'}, {'probability': 8.141344e-05, 'class': 'n02701002 ambulance'}, {'probability': 2.2932932e-06, 'class': 'n02422106 hartebeest'}, {'probability': 1.2857721e-06, 'class': 'n01440764 tench'}, {'probability': 6.7655213e-07, 'class': 'n02927161 butcher_shop'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000994.JPEG;0.9840278625488281;n01443537 goldfish;n01443537;[{'probability': 0.98402786, 'class': 'n01443537 goldfish'}, {'probability': 0.0011652195, 'class': 'n02701002 ambulance'}, {'probability': 0.0010169836, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00036745804, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0002539331, 'class': 'n02977058 cash_machine'}]
../dataset/Alina_69/n01496331/ILSVRC2012_val_00000921.JPEG;0.27719131112098694;n01978455 rock_crab;n01496331;[{'probability': 0.2771913, 'class': 'n01978455 rock_crab'}, {'probability': 0.2056931, 'class': 'n01496331 electric_ray'}, {'probability': 0.13552739, 'class': 'n01955084 chiton'}, {'probability': 0.034866676, 'class': 'n01978287 Dungeness_crab'}, {'probability': 0.029138492, 'class': 'n09256479 coral_reef'}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000329.JPEG;0.4669781029224396;n01514668 cock;n01514668;[{'probability': 0.4669781, 'class': 'n01514668 cock'}, {'probability': 0.10705027, 'class': 'n01514859 hen'}, {'probability': 0.090897456, 'class': 'n07754684 jackfruit'}, {'probability': 0.089013994, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.0069153737, 'class': 'n01806143 peacock'}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000911.JPEG;0.9379938244819641;n01514859 hen;n01514668;[{'probability': 0.9379938, 'class': 'n01514859 hen'}, {'probability': 0.03819145, 'class': 'n01514668 cock'}, {'probability': 0.0036521002, 'class': 'n03710193 mailbox'}, {'probability': 0.0010730983, 'class': 'n02017213 European_gallinule'}, {'probability': 0.0006575075, 'class': 'n01807496 partridge'}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000651.JPEG;0.8177465200424194;n01530575 brambling;n01530575;[{'probability': 0.8177465, 'class': 'n01530575 brambling'}, {'probability': 0.029299028, 'class': 'n01531178 goldfinch'}, {'probability': 0.011128561, 'class': 'n01532829 house_finch'}, {'probability': 0.0034314585, 'class': 'n07579787 plate'}, {'probability': 0.0019681337, 'class': 'n03394916 French_horn'}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000747.JPEG;0.906910240650177;n01530575 brambling;n01530575;[{'probability': 0.90691024, 'class': 'n01530575 brambling'}, {'probability': 0.0015335536, 'class': 'n01558993 robin'}, {'probability': 0.0008768143, 'class': 'n03394916 French_horn'}, {'probability': 0.00077490025, 'class': 'n04116512 rubber_eraser'}, {'probability': 0.00076988543, 'class': 'n07932039 eggnog'}]
