image;probability;guess_class;real_class;other_predictions
../dataset/Alina_69/n01440764/ILSVRC2012_val_00000293.JPEG;0.21607765555381775;n01440764 tench;n01440764;[{'probability': 0.21607766, 'class': 'n01440764 tench'}, {'probability': 0.18479194, 'class': 'n13054560 bolete'}, {'probability': 0.070227325, 'class': 'n02264363 lacewing'}, {'probability': 0.040630545, 'class': 'n01443537 goldfish'}, {'probability': 0.03556786, 'class': 'n13052670 hen-of-the-woods'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000236.JPEG;0.898821234703064;n03729826 matchstick;n01443537;[{'probability': 0.89882123, 'class': 'n03729826 matchstick'}, {'probability': 0.04854998, 'class': 'n01494475 hammerhead'}, {'probability': 0.009959258, 'class': 'n04266014 space_shuttle'}, {'probability': 0.005722132, 'class': 'n01950731 sea_slug'}, {'probability': 0.0053457897, 'class': 'n02948072 candle'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000262.JPEG;0.8506618738174438;n01443537 goldfish;n01443537;[{'probability': 0.8506619, 'class': 'n01443537 goldfish'}, {'probability': 0.03296399, 'class': 'n01496331 electric_ray'}, {'probability': 0.02191185, 'class': 'n10565667 scuba_diver'}, {'probability': 0.021692187, 'class': 'n09256479 coral_reef'}, {'probability': 0.007169623, 'class': 'n01498041 stingray'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000307.JPEG;0.9997721314430237;n01443537 goldfish;n01443537;[{'probability': 0.99977213, 'class': 'n01443537 goldfish'}, {'probability': 0.00013635465, 'class': 'n02607072 anemone_fish'}, {'probability': 5.591689e-05, 'class': 'n01440764 tench'}, {'probability': 1.40489465e-05, 'class': 'n01632777 axolotl'}, {'probability': 6.6181515e-06, 'class': 'n02655020 puffer'}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000994.JPEG;0.999342143535614;n01443537 goldfish;n01443537;[{'probability': 0.99934214, 'class': 'n01443537 goldfish'}, {'probability': 0.00041333816, 'class': 'n02606052 rock_beauty'}, {'probability': 0.00021703073, 'class': 'n01440764 tench'}, {'probability': 8.791036e-06, 'class': 'n01632777 axolotl'}, {'probability': 6.34098e-06, 'class': 'n02607072 anemone_fish'}]
../dataset/Alina_69/n01496331/ILSVRC2012_val_00000921.JPEG;0.4347926676273346;n01496331 electric_ray;n01496331;[{'probability': 0.43479267, 'class': 'n01496331 electric_ray'}, {'probability': 0.360999, 'class': 'n01917289 brain_coral'}, {'probability': 0.06374381, 'class': 'n01978455 rock_crab'}, {'probability': 0.019990126, 'class': 'n01664065 loggerhead'}, {'probability': 0.016297145, 'class': 'n02526121 eel'}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000329.JPEG;0.1723526269197464;n07754684 jackfruit;n01514668;[{'probability': 0.17235263, 'class': 'n07754684 jackfruit'}, {'probability': 0.1580523, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.13465108, 'class': 'n01514859 hen'}, {'probability': 0.13251686, 'class': 'n01514668 cock'}, {'probability': 0.11302159, 'class': 'n01795545 black_grouse'}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000911.JPEG;0.9536994695663452;n01514859 hen;n01514668;[{'probability': 0.95369947, 'class': 'n01514859 hen'}, {'probability': 0.042762883, 'class': 'n01514668 cock'}, {'probability': 0.001201405, 'class': 'n01807496 partridge'}, {'probability': 0.0007202558, 'class': 'n01877812 wallaby'}, {'probability': 0.00030180093, 'class': 'n02437616 llama'}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000651.JPEG;0.09403427690267563;n02206856 bee;n01530575;[{'probability': 0.09403428, 'class': 'n02206856 bee'}, {'probability': 0.064982265, 'class': 'n02259212 leafhopper'}, {'probability': 0.055006072, 'class': 'n01530575 brambling'}, {'probability': 0.03795529, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.033842605, 'class': 'n02226429 grasshopper'}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000747.JPEG;0.9912358522415161;n01530575 brambling;n01530575;[{'probability': 0.99123585, 'class': 'n01530575 brambling'}, {'probability': 0.0070581273, 'class': 'n01558993 robin'}, {'probability': 0.0014910419, 'class': 'n01531178 goldfinch'}, {'probability': 0.00011055377, 'class': 'n01534433 junco'}, {'probability': 2.7004506e-05, 'class': 'n01592084 chickadee'}]
../dataset/Alina_69/n01531178/ILSVRC2012_val_00000570.JPEG;0.9790000319480896;n01531178 goldfinch;n01531178;[{'probability': 0.97900003, 'class': 'n01531178 goldfinch'}, {'probability': 0.0067670313, 'class': 'n01828970 bee_eater'}, {'probability': 0.0032826683, 'class': 'n02489166 proboscis_monkey'}, {'probability': 0.0027106267, 'class': 'n01843383 toucan'}, {'probability': 0.0013728654, 'class': 'n01537544 indigo_bunting'}]
../dataset/Alina_69/n01532829/ILSVRC2012_val_00000873.JPEG;0.12740901112556458;n01532829 house_finch;n01532829;[{'probability': 0.12740901, 'class': 'n01532829 house_finch'}, {'probability': 0.10628785, 'class': 'n03764736 milk_can'}, {'probability': 0.094779365, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.08750149, 'class': 'n02843684 birdhouse'}, {'probability': 0.05186841, 'class': 'n04380533 table_lamp'}]
../dataset/Alina_69/n01534433/ILSVRC2012_val_00000247.JPEG;0.9441344141960144;n01534433 junco;n01534433;[{'probability': 0.9441344, 'class': 'n01534433 junco'}, {'probability': 0.032750446, 'class': 'n01530575 brambling'}, {'probability': 0.022125702, 'class': 'n01592084 chickadee'}, {'probability': 0.00027328395, 'class': 'n01531178 goldfinch'}, {'probability': 0.00018060571, 'class': 'n01560419 bulbul'}]
../dataset/Alina_69/n01534433/ILSVRC2012_val_00000713.JPEG;0.99964439868927;n01534433 junco;n01534433;[{'probability': 0.9996444, 'class': 'n01534433 junco'}, {'probability': 0.00013603372, 'class': 'n01601694 water_ouzel'}, {'probability': 9.104296e-05, 'class': 'n01530575 brambling'}, {'probability': 5.9630038e-05, 'class': 'n02018207 American_coot'}, {'probability': 3.8044433e-05, 'class': 'n02027492 red-backed_sandpiper'}]
../dataset/Alina_69/n01537544/ILSVRC2012_val_00000414.JPEG;0.9968855977058411;n01537544 indigo_bunting;n01537544;[{'probability': 0.9968856, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0016156385, 'class': 'n02017213 European_gallinule'}, {'probability': 0.0005304433, 'class': 'n01580077 jay'}, {'probability': 0.00031564303, 'class': 'n01828970 bee_eater'}, {'probability': 0.000270016, 'class': 'n02009229 little_blue_heron'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000198.JPEG;0.4672035574913025;n01608432 kite;n01560419;[{'probability': 0.46720356, 'class': 'n01608432 kite'}, {'probability': 0.045858774, 'class': 'n01688243 frilled_lizard'}, {'probability': 0.03926997, 'class': 'n01775062 wolf_spider'}, {'probability': 0.037599605, 'class': 'n02018795 bustard'}, {'probability': 0.02787009, 'class': 'n01980166 fiddler_crab'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000217.JPEG;0.9994431138038635;n01560419 bulbul;n01560419;[{'probability': 0.9994431, 'class': 'n01560419 bulbul'}, {'probability': 0.00039607906, 'class': 'n01833805 hummingbird'}, {'probability': 5.4740205e-05, 'class': 'n01534433 junco'}, {'probability': 2.1865522e-05, 'class': 'n01582220 magpie'}, {'probability': 2.1351127e-05, 'class': 'n01558993 robin'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000439.JPEG;0.9341461062431335;n01560419 bulbul;n01560419;[{'probability': 0.9341461, 'class': 'n01560419 bulbul'}, {'probability': 0.06091438, 'class': 'n01558993 robin'}, {'probability': 0.0008277855, 'class': 'n01601694 water_ouzel'}, {'probability': 0.00056631246, 'class': 'n01534433 junco'}, {'probability': 0.00027633784, 'class': 'n01582220 magpie'}]
../dataset/Alina_69/n01560419/ILSVRC2012_val_00000638.JPEG;0.5356965065002441;n01560419 bulbul;n01560419;[{'probability': 0.5356965, 'class': 'n01560419 bulbul'}, {'probability': 0.1396157, 'class': 'n02484975 guenon'}, {'probability': 0.089803144, 'class': 'n02494079 squirrel_monkey'}, {'probability': 0.036915638, 'class': 'n02138441 meerkat'}, {'probability': 0.026338272, 'class': 'n02493509 titi'}]
../dataset/Alina_69/n01580077/ILSVRC2012_val_00000880.JPEG;0.41693955659866333;n01580077 jay;n01580077;[{'probability': 0.41693956, 'class': 'n01580077 jay'}, {'probability': 0.15066186, 'class': 'n01824575 coucal'}, {'probability': 0.03839941, 'class': 'n01843065 jacamar'}, {'probability': 0.035687957, 'class': 'n01773797 garden_spider'}, {'probability': 0.02931675, 'class': 'n01558993 robin'}]
