image;probability;guess_class;real_class;other_predictions
../dataset/Alina_777/n01440764/ILSVRC2012_val_00000293.JPEG;0.2026921808719635;n01440764 tench;n01440764;[{'probability': 0.20269218, 'class': 'n01440764 tench'}, {'probability': 0.15546715, 'class': 'n01955084 chiton'}, {'probability': 0.08603014, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.0770656, 'class': 'n02398521 hippopotamus'}, {'probability': 0.05061837, 'class': 'n07754684 jackfruit'}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000236.JPEG;0.25788071751594543;n01910747 jellyfish;n01443537;[{'probability': 0.25788072, 'class': 'n01910747 jellyfish'}, {'probability': 0.23325726, 'class': 'n01950731 sea_slug'}, {'probability': 0.16402623, 'class': 'n01990800 isopod'}, {'probability': 0.06733568, 'class': 'n01943899 conch'}, {'probability': 0.043918077, 'class': 'n01914609 sea_anemone'}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000262.JPEG;0.2631089389324188;n01443537 goldfish;n01443537;[{'probability': 0.26310894, 'class': 'n01443537 goldfish'}, {'probability': 0.16349976, 'class': 'n01632777 axolotl'}, {'probability': 0.053425666, 'class': 'n02526121 eel'}, {'probability': 0.049119156, 'class': 'n10565667 scuba_diver'}, {'probability': 0.03924939, 'class': 'n03782006 monitor'}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000307.JPEG;0.9789477586746216;n01443537 goldfish;n01443537;[{'probability': 0.97894776, 'class': 'n01443537 goldfish'}, {'probability': 0.01645508, 'class': 'n01632777 axolotl'}, {'probability': 0.0025507777, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00054376357, 'class': 'n01914609 sea_anemone'}, {'probability': 0.00024658928, 'class': 'n01440764 tench'}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000994.JPEG;0.9998495578765869;n01443537 goldfish;n01443537;[{'probability': 0.99984956, 'class': 'n01443537 goldfish'}, {'probability': 6.677943e-05, 'class': 'n01440764 tench'}, {'probability': 4.6714795e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 2.3975044e-05, 'class': 'n01632777 axolotl'}, {'probability': 6.633179e-06, 'class': 'n02606052 rock_beauty'}]
../dataset/Alina_777/n01496331/ILSVRC2012_val_00000921.JPEG;0.13843435049057007;n01955084 chiton;n01496331;[{'probability': 0.13843435, 'class': 'n01955084 chiton'}, {'probability': 0.12650424, 'class': 'n01664065 loggerhead'}, {'probability': 0.082573965, 'class': 'n02321529 sea_cucumber'}, {'probability': 0.05933994, 'class': 'n01978455 rock_crab'}, {'probability': 0.051109068, 'class': 'n01667114 mud_turtle'}]
../dataset/Alina_777/n01514668/ILSVRC2012_val_00000329.JPEG;0.3852408826351166;n01514668 cock;n01514668;[{'probability': 0.38524088, 'class': 'n01514668 cock'}, {'probability': 0.30191538, 'class': 'n01514859 hen'}, {'probability': 0.09762306, 'class': 'n02454379 armadillo'}, {'probability': 0.0121157095, 'class': 'n02085620 Chihuahua'}, {'probability': 0.011707798, 'class': 'n02437616 llama'}]
../dataset/Alina_777/n01514668/ILSVRC2012_val_00000911.JPEG;0.7612360119819641;n01514859 hen;n01514668;[{'probability': 0.761236, 'class': 'n01514859 hen'}, {'probability': 0.23693308, 'class': 'n01514668 cock'}, {'probability': 0.00046063433, 'class': 'n02097298 Scotch_terrier'}, {'probability': 0.00013847023, 'class': 'n02395406 hog'}, {'probability': 0.00011524625, 'class': 'n02094258 Norwich_terrier'}]
../dataset/Alina_777/n01530575/ILSVRC2012_val_00000651.JPEG;0.206918403506279;n02028035 redshank;n01530575;[{'probability': 0.2069184, 'class': 'n02028035 redshank'}, {'probability': 0.14549354, 'class': 'n02281787 lycaenid'}, {'probability': 0.12546538, 'class': 'n01534433 junco'}, {'probability': 0.07363725, 'class': 'n01530575 brambling'}, {'probability': 0.05701601, 'class': 'n01833805 hummingbird'}]
../dataset/Alina_777/n01530575/ILSVRC2012_val_00000747.JPEG;0.9077335596084595;n01530575 brambling;n01530575;[{'probability': 0.90773356, 'class': 'n01530575 brambling'}, {'probability': 0.054584336, 'class': 'n01558993 robin'}, {'probability': 0.024397125, 'class': 'n01534433 junco'}, {'probability': 0.004634202, 'class': 'n01592084 chickadee'}, {'probability': 0.0012428958, 'class': 'n01833805 hummingbird'}]
