image;probability;guess_class;real_class;other_predictions
../dataset/Alina_911/n01440764/ILSVRC2012_val_00000293.JPEG;0.20219215750694275;n01440764 tench;n01440764;[{'probability': 0.20219216, 'class': 'n01440764 tench'}, {'probability': 0.14464828, 'class': 'n13054560 bolete'}, {'probability': 0.07742008, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.043483786, 'class': 'n02398521 hippopotamus'}, {'probability': 0.03538001, 'class': 'n01955084 chiton'}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000236.JPEG;0.3771442472934723;n01990800 isopod;n01443537;[{'probability': 0.37714425, 'class': 'n01990800 isopod'}, {'probability': 0.26375404, 'class': 'n01950731 sea_slug'}, {'probability': 0.039900962, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.034308553, 'class': 'n01632777 axolotl'}, {'probability': 0.033449553, 'class': 'n01968897 chambered_nautilus'}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000262.JPEG;0.2724544107913971;n01667778 terrapin;n01443537;[{'probability': 0.2724544, 'class': 'n01667778 terrapin'}, {'probability': 0.19669536, 'class': 'n02077923 sea_lion'}, {'probability': 0.10703895, 'class': 'n01443537 goldfish'}, {'probability': 0.088717595, 'class': 'n03529860 home_theater'}, {'probability': 0.068553224, 'class': 'n01664065 loggerhead'}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000307.JPEG;0.9994595646858215;n01443537 goldfish;n01443537;[{'probability': 0.99945956, 'class': 'n01443537 goldfish'}, {'probability': 0.0003330032, 'class': 'n02607072 anemone_fish'}, {'probability': 8.263675e-05, 'class': 'n01943899 conch'}, {'probability': 4.231227e-05, 'class': 'n02319095 sea_urchin'}, {'probability': 2.3390154e-05, 'class': 'n01917289 brain_coral'}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000994.JPEG;0.9998856782913208;n01443537 goldfish;n01443537;[{'probability': 0.9998857, 'class': 'n01443537 goldfish'}, {'probability': 5.924674e-05, 'class': 'n02007558 flamingo'}, {'probability': 1.280421e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 1.0549989e-05, 'class': 'n02606052 rock_beauty'}, {'probability': 7.730551e-06, 'class': 'n02655020 puffer'}]
../dataset/Alina_911/n01496331/ILSVRC2012_val_00000921.JPEG;0.7758585810661316;n01978455 rock_crab;n01496331;[{'probability': 0.7758586, 'class': 'n01978455 rock_crab'}, {'probability': 0.031508785, 'class': 'n01978287 Dungeness_crab'}, {'probability': 0.020635823, 'class': 'n04111531 rotisserie'}, {'probability': 0.014688357, 'class': 'n09472597 volcano'}, {'probability': 0.014259719, 'class': 'n01955084 chiton'}]
../dataset/Alina_911/n01514668/ILSVRC2012_val_00000329.JPEG;0.10599636286497116;n03447721 gong;n01514668;[{'probability': 0.10599636, 'class': 'n03447721 gong'}, {'probability': 0.051039696, 'class': 'n04204238 shopping_basket'}, {'probability': 0.049374305, 'class': 'n07802026 hay'}, {'probability': 0.047377728, 'class': 'n03482405 hamper'}, {'probability': 0.03968877, 'class': 'n02412080 ram'}]
../dataset/Alina_911/n01514668/ILSVRC2012_val_00000911.JPEG;0.5685455799102783;n01514668 cock;n01514668;[{'probability': 0.5685456, 'class': 'n01514668 cock'}, {'probability': 0.43130004, 'class': 'n01514859 hen'}, {'probability': 7.360838e-05, 'class': 'n01807496 partridge'}, {'probability': 3.47466e-05, 'class': 'n01798484 prairie_chicken'}, {'probability': 2.64998e-05, 'class': 'n01797886 ruffed_grouse'}]
../dataset/Alina_911/n01530575/ILSVRC2012_val_00000651.JPEG;0.1298125684261322;n07932039 eggnog;n01530575;[{'probability': 0.12981257, 'class': 'n07932039 eggnog'}, {'probability': 0.10902371, 'class': 'n01797886 ruffed_grouse'}, {'probability': 0.039179556, 'class': 'n01532829 house_finch'}, {'probability': 0.033525124, 'class': 'n01534433 junco'}, {'probability': 0.032749295, 'class': 'n01798484 prairie_chicken'}]
../dataset/Alina_911/n01530575/ILSVRC2012_val_00000747.JPEG;0.996729850769043;n01530575 brambling;n01530575;[{'probability': 0.99672985, 'class': 'n01530575 brambling'}, {'probability': 0.0017253583, 'class': 'n01534433 junco'}, {'probability': 0.0007445477, 'class': 'n01558993 robin'}, {'probability': 0.00038002143, 'class': 'n01580077 jay'}, {'probability': 0.00015564488, 'class': 'n01592084 chickadee'}]
../dataset/Alina_911/n01531178/ILSVRC2012_val_00000570.JPEG;0.23070596158504486;n01773157 black_and_gold_garden_spider;n01531178;[{'probability': 0.23070596, 'class': 'n01773157 black_and_gold_garden_spider'}, {'probability': 0.20636946, 'class': 'n02168699 long-horned_beetle'}, {'probability': 0.1411666, 'class': 'n07718747 artichoke'}, {'probability': 0.10113556, 'class': 'n07718472 cucumber'}, {'probability': 0.060855743, 'class': 'n02280649 cabbage_butterfly'}]
../dataset/Alina_911/n01532829/ILSVRC2012_val_00000873.JPEG;0.36434245109558105;n01532829 house_finch;n01532829;[{'probability': 0.36434245, 'class': 'n01532829 house_finch'}, {'probability': 0.30445927, 'class': 'n02843684 birdhouse'}, {'probability': 0.116298355, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.07556716, 'class': 'n04380533 table_lamp'}, {'probability': 0.022763934, 'class': 'n01833805 hummingbird'}]
../dataset/Alina_911/n01534433/ILSVRC2012_val_00000247.JPEG;0.9959119558334351;n01534433 junco;n01534433;[{'probability': 0.99591196, 'class': 'n01534433 junco'}, {'probability': 0.0023988844, 'class': 'n01530575 brambling'}, {'probability': 0.0010473495, 'class': 'n01592084 chickadee'}, {'probability': 0.00021369729, 'class': 'n01601694 water_ouzel'}, {'probability': 0.000100843485, 'class': 'n01537544 indigo_bunting'}]
../dataset/Alina_911/n01534433/ILSVRC2012_val_00000713.JPEG;0.9983347058296204;n01534433 junco;n01534433;[{'probability': 0.9983347, 'class': 'n01534433 junco'}, {'probability': 0.0007063226, 'class': 'n01601694 water_ouzel'}, {'probability': 0.00019598688, 'class': 'n02018207 American_coot'}, {'probability': 0.00016945001, 'class': 'n01580077 jay'}, {'probability': 0.00015838328, 'class': 'n02028035 redshank'}]
../dataset/Alina_911/n01537544/ILSVRC2012_val_00000414.JPEG;0.702823281288147;n01534433 junco;n01537544;[{'probability': 0.7028233, 'class': 'n01534433 junco'}, {'probability': 0.13129033, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.050496012, 'class': 'n01532829 house_finch'}, {'probability': 0.01911536, 'class': 'n01833805 hummingbird'}, {'probability': 0.013319218, 'class': 'n02009229 little_blue_heron'}]
../dataset/Alina_911/n01560419/ILSVRC2012_val_00000198.JPEG;0.8050153255462646;n01560419 bulbul;n01560419;[{'probability': 0.8050153, 'class': 'n01560419 bulbul'}, {'probability': 0.0884146, 'class': 'n01833805 hummingbird'}, {'probability': 0.047781147, 'class': 'n01534433 junco'}, {'probability': 0.009312718, 'class': 'n01608432 kite'}, {'probability': 0.008427064, 'class': 'n02018795 bustard'}]
