image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.2718712091445923;n02640242 sturgeon;n01440764;[{'probability': 0.2718712, 'class': 'n02640242 sturgeon'}, {'probability': 0.25892502, 'class': 'n01440764 tench'}, {'probability': 0.08083258, 'class': 'n02526121 eel'}, {'probability': 0.03724671, 'class': 'n02514041 barracouta'}, {'probability': 0.018184157, 'class': 'n02641379 gar'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.7306182980537415;n01443537 goldfish;n01443537;[{'probability': 0.7306183, 'class': 'n01443537 goldfish'}, {'probability': 0.03269779, 'class': 'n02641379 gar'}, {'probability': 0.031601008, 'class': 'n02514041 barracouta'}, {'probability': 0.025515461, 'class': 'n01440764 tench'}, {'probability': 0.024857607, 'class': 'n01496331 electric_ray'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.8370900750160217;n01443537 goldfish;n01443537;[{'probability': 0.8370901, 'class': 'n01443537 goldfish'}, {'probability': 0.004400675, 'class': 'n01632777 axolotl'}, {'probability': 0.0034406632, 'class': 'n02655020 puffer'}, {'probability': 0.0017957098, 'class': 'n09256479 coral_reef'}, {'probability': 0.0015578495, 'class': 'n02992529 cellular_telephone'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.8304386734962463;n01443537 goldfish;n01443537;[{'probability': 0.8304387, 'class': 'n01443537 goldfish'}, {'probability': 0.0013205153, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0011735663, 'class': 'n01440764 tench'}, {'probability': 0.00083040935, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00073534553, 'class': 'n02701002 ambulance'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.8424688577651978;n01443537 goldfish;n01443537;[{'probability': 0.84246886, 'class': 'n01443537 goldfish'}, {'probability': 0.0010755007, 'class': 'n02007558 flamingo'}, {'probability': 0.0010620891, 'class': 'n02607072 anemone_fish'}, {'probability': 0.0008837935, 'class': 'n02701002 ambulance'}, {'probability': 0.00075303664, 'class': 'n02606052 rock_beauty'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.7318706512451172;n01496331 electric_ray;n01496331;[{'probability': 0.73187065, 'class': 'n01496331 electric_ray'}, {'probability': 0.01176535, 'class': 'n01955084 chiton'}, {'probability': 0.006435629, 'class': 'n01664065 loggerhead'}, {'probability': 0.005816663, 'class': 'n01978455 rock_crab'}, {'probability': 0.003217328, 'class': 'n02526121 eel'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.46923908591270447;n01514859 hen;n01514668;[{'probability': 0.4692391, 'class': 'n01514859 hen'}, {'probability': 0.24853493, 'class': 'n01514668 cock'}, {'probability': 0.0020778477, 'class': 'n01847000 drake'}, {'probability': 0.0016099741, 'class': 'n01807496 partridge'}, {'probability': 0.0014449741, 'class': 'n01616318 vulture'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.5630742311477661;n01514859 hen;n01514668;[{'probability': 0.56307423, 'class': 'n01514859 hen'}, {'probability': 0.17955764, 'class': 'n01514668 cock'}, {'probability': 0.007842384, 'class': 'n01807496 partridge'}, {'probability': 0.001532974, 'class': 'n02105412 kelpie'}, {'probability': 0.001496056, 'class': 'n01795545 black_grouse'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.47182539105415344;n01530575 brambling;n01530575;[{'probability': 0.4718254, 'class': 'n01530575 brambling'}, {'probability': 0.12803283, 'class': 'n01531178 goldfinch'}, {'probability': 0.06791231, 'class': 'n01534433 junco'}, {'probability': 0.012614046, 'class': 'n01532829 house_finch'}, {'probability': 0.0047790892, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.8155489563941956;n01530575 brambling;n01530575;[{'probability': 0.81554896, 'class': 'n01530575 brambling'}, {'probability': 0.0015294875, 'class': 'n03272562 electric_locomotive'}, {'probability': 0.0011907583, 'class': 'n01558993 robin'}, {'probability': 0.001086379, 'class': 'n01531178 goldfinch'}, {'probability': 0.0008589398, 'class': 'n01980166 fiddler_crab'}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.8348081111907959;n01531178 goldfinch;n01531178;[{'probability': 0.8348081, 'class': 'n01531178 goldfinch'}, {'probability': 0.0013986405, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0011751541, 'class': 'n01530575 brambling'}, {'probability': 0.00095857226, 'class': 'n01532829 house_finch'}, {'probability': 0.0008368191, 'class': "n12057211 yellow_lady's_slipper"}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.8953306674957275;n01532829 house_finch;n01532829;[{'probability': 0.89533067, 'class': 'n01532829 house_finch'}, {'probability': 0.0044884174, 'class': 'n01530575 brambling'}, {'probability': 0.0013849791, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0013486991, 'class': 'n01531178 goldfinch'}, {'probability': 0.0008938431, 'class': 'n02843684 birdhouse'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.807343065738678;n01534433 junco;n01534433;[{'probability': 0.80734307, 'class': 'n01534433 junco'}, {'probability': 0.0022552498, 'class': 'n01530575 brambling'}, {'probability': 0.0019108304, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0011192205, 'class': 'n02277742 ringlet'}, {'probability': 0.0009146122, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.8098486065864563;n01534433 junco;n01534433;[{'probability': 0.8098486, 'class': 'n01534433 junco'}, {'probability': 0.00131311, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0011087446, 'class': 'n02277742 ringlet'}, {'probability': 0.0009291527, 'class': 'n02037110 oystercatcher'}, {'probability': 0.0007142088, 'class': 'n01530575 brambling'}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.7491068840026855;n01537544 indigo_bunting;n01537544;[{'probability': 0.7491069, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0031631032, 'class': 'n01828970 bee_eater'}, {'probability': 0.0014076864, 'class': 'n02017213 European_gallinule'}, {'probability': 0.0010393546, 'class': 'n02009229 little_blue_heron'}, {'probability': 0.001005559, 'class': 'n01580077 jay'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.8293782472610474;n01560419 bulbul;n01560419;[{'probability': 0.82937825, 'class': 'n01560419 bulbul'}, {'probability': 0.0011103319, 'class': 'n01828970 bee_eater'}, {'probability': 0.0009536252, 'class': 'n01824575 coucal'}, {'probability': 0.00092840876, 'class': 'n04542943 waffle_iron'}, {'probability': 0.00082529936, 'class': 'n01532829 house_finch'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000217.JPEG;0.7951856851577759;n01560419 bulbul;n01560419;[{'probability': 0.7951857, 'class': 'n01560419 bulbul'}, {'probability': 0.0020235342, 'class': 'n04542943 waffle_iron'}, {'probability': 0.00089257146, 'class': 'n02086079 Pekinese'}, {'probability': 0.000861786, 'class': 'n02105162 malinois'}, {'probability': 0.000723308, 'class': 'n01580077 jay'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000439.JPEG;0.8048825263977051;n01560419 bulbul;n01560419;[{'probability': 0.8048825, 'class': 'n01560419 bulbul'}, {'probability': 0.0016312618, 'class': 'n01534433 junco'}, {'probability': 0.0015181623, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0012665398, 'class': 'n04542943 waffle_iron'}, {'probability': 0.0010494334, 'class': 'n01558993 robin'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000638.JPEG;0.8149166107177734;n01560419 bulbul;n01560419;[{'probability': 0.8149166, 'class': 'n01560419 bulbul'}, {'probability': 0.00092258654, 'class': 'n04542943 waffle_iron'}, {'probability': 0.00080174167, 'class': 'n01828970 bee_eater'}, {'probability': 0.0007715769, 'class': 'n01843065 jacamar'}, {'probability': 0.00075511856, 'class': 'n01592084 chickadee'}]
../dataset/ALine/n01580077/ILSVRC2012_val_00000880.JPEG;0.8435314893722534;n01580077 jay;n01580077;[{'probability': 0.8435315, 'class': 'n01580077 jay'}, {'probability': 0.0016464692, 'class': 'n12144580 corn'}, {'probability': 0.0013849781, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.0009035723, 'class': 'n01582220 magpie'}, {'probability': 0.00080849335, 'class': 'n02276258 admiral'}]
../dataset/ALine/n01582220/ILSVRC2012_val_00000476.JPEG;0.8156436085700989;n01582220 magpie;n01582220;[{'probability': 0.8156436, 'class': 'n01582220 magpie'}, {'probability': 0.005311689, 'class': 'n02037110 oystercatcher'}, {'probability': 0.003778761, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0035803795, 'class': 'n02017213 European_gallinule'}, {'probability': 0.0024989427, 'class': 'n01795545 black_grouse'}]
../dataset/ALine/n01582220/ILSVRC2012_val_00000963.JPEG;0.8403092622756958;n01582220 magpie;n01582220;[{'probability': 0.84030926, 'class': 'n01582220 magpie'}, {'probability': 0.0016679716, 'class': 'n01580077 jay'}, {'probability': 0.0006282974, 'class': 'n03417042 garbage_truck'}, {'probability': 0.00062353135, 'class': 'n01824575 coucal'}, {'probability': 0.00061851204, 'class': 'n04604644 worm_fence'}]
../dataset/ALine/n01592084/ILSVRC2012_val_00000837.JPEG;0.7934382557868958;n01592084 chickadee;n01592084;[{'probability': 0.79343826, 'class': 'n01592084 chickadee'}, {'probability': 0.0009803224, 'class': 'n01580077 jay'}, {'probability': 0.0009780378, 'class': 'n01601694 water_ouzel'}, {'probability': 0.00081188, 'class': 'n01534433 junco'}, {'probability': 0.0007581455, 'class': 'n01560419 bulbul'}]
