image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.3107609152793884;n02640242 sturgeon;n01440764;[{'probability': 0.31076092, 'class': 'n02640242 sturgeon'}, {'probability': 0.15807454, 'class': 'n02536864 coho'}, {'probability': 0.1271665, 'class': 'n01440764 tench'}, {'probability': 0.12240609, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.1167104, 'class': 'n02526121 eel'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.4294224679470062;n01632777 axolotl;n01443537;[{'probability': 0.42942247, 'class': 'n01632777 axolotl'}, {'probability': 0.052705895, 'class': 'n01443537 goldfish'}, {'probability': 0.04720783, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.021350823, 'class': 'n01950731 sea_slug'}, {'probability': 0.0064741806, 'class': 'n02607072 anemone_fish'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9307376146316528;n01443537 goldfish;n01443537;[{'probability': 0.9307376, 'class': 'n01443537 goldfish'}, {'probability': 0.006669365, 'class': 'n02077923 sea_lion'}, {'probability': 0.00659988, 'class': 'n09256479 coral_reef'}, {'probability': 0.0059401267, 'class': 'n10565667 scuba_diver'}, {'probability': 0.002926959, 'class': 'n01664065 loggerhead'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9993636012077332;n01443537 goldfish;n01443537;[{'probability': 0.9993636, 'class': 'n01443537 goldfish'}, {'probability': 0.0003186583, 'class': 'n02701002 ambulance'}, {'probability': 2.7375509e-05, 'class': 'n01440764 tench'}, {'probability': 1.48436475e-05, 'class': 'n02422106 hartebeest'}, {'probability': 6.1858177e-06, 'class': 'n02927161 butcher_shop'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9603276252746582;n01443537 goldfish;n01443537;[{'probability': 0.9603276, 'class': 'n01443537 goldfish'}, {'probability': 0.0025022582, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0023625146, 'class': 'n02607072 anemone_fish'}, {'probability': 0.0014062979, 'class': 'n02701002 ambulance'}, {'probability': 0.000529887, 'class': 'n01440764 tench'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.7766085863113403;n01496331 electric_ray;n01496331;[{'probability': 0.7766086, 'class': 'n01496331 electric_ray'}, {'probability': 0.031070847, 'class': 'n09472597 volcano'}, {'probability': 0.019262277, 'class': 'n02321529 sea_cucumber'}, {'probability': 0.007937079, 'class': 'n01910747 jellyfish'}, {'probability': 0.0068632658, 'class': 'n01917289 brain_coral'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.34010425209999084;n01514859 hen;n01514668;[{'probability': 0.34010425, 'class': 'n01514859 hen'}, {'probability': 0.3366801, 'class': 'n01514668 cock'}, {'probability': 0.022918863, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.015688168, 'class': 'n01616318 vulture'}, {'probability': 0.013926324, 'class': 'n07754684 jackfruit'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.849724531173706;n01514859 hen;n01514668;[{'probability': 0.84972453, 'class': 'n01514859 hen'}, {'probability': 0.11054561, 'class': 'n01514668 cock'}, {'probability': 0.009109564, 'class': 'n03710193 mailbox'}, {'probability': 0.0010994396, 'class': 'n02017213 European_gallinule'}, {'probability': 0.00081449444, 'class': 'n01847000 drake'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.7020299434661865;n01530575 brambling;n01530575;[{'probability': 0.70202994, 'class': 'n01530575 brambling'}, {'probability': 0.07310385, 'class': 'n01534433 junco'}, {'probability': 0.03187158, 'class': 'n01531178 goldfinch'}, {'probability': 0.0027341386, 'class': 'n01601694 water_ouzel'}, {'probability': 0.0026489466, 'class': 'n01592084 chickadee'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9442505836486816;n01530575 brambling;n01530575;[{'probability': 0.9442506, 'class': 'n01530575 brambling'}, {'probability': 0.0006578225, 'class': 'n01558993 robin'}, {'probability': 0.0005759356, 'class': 'n03394916 French_horn'}, {'probability': 0.0004573024, 'class': 'n04116512 rubber_eraser'}, {'probability': 0.00039527775, 'class': 'n02120505 grey_fox'}]
