image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.3789547383785248;n01695060 Komodo_dragon;n01440764;[{'probability': 0.37895474, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.26719126, 'class': 'n01440764 tench'}, {'probability': 0.15046762, 'class': 'n02536864 coho'}, {'probability': 0.014460308, 'class': 'n01744401 rock_python'}, {'probability': 0.012954628, 'class': 'n01494475 hammerhead'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.5508803725242615;n01494475 hammerhead;n01443537;[{'probability': 0.5508804, 'class': 'n01494475 hammerhead'}, {'probability': 0.106746495, 'class': 'n01950731 sea_slug'}, {'probability': 0.073027164, 'class': 'n03729826 matchstick'}, {'probability': 0.039576367, 'class': 'n01819313 sulphur-crested_cockatoo'}, {'probability': 0.03268083, 'class': 'n01632777 axolotl'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9070781469345093;n01443537 goldfish;n01443537;[{'probability': 0.90707815, 'class': 'n01443537 goldfish'}, {'probability': 0.015138491, 'class': 'n10565667 scuba_diver'}, {'probability': 0.013688479, 'class': 'n01496331 electric_ray'}, {'probability': 0.007787887, 'class': 'n01498041 stingray'}, {'probability': 0.007645673, 'class': 'n03529860 home_theater'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999948740005493;n01443537 goldfish;n01443537;[{'probability': 0.9999949, 'class': 'n01443537 goldfish'}, {'probability': 2.671922e-06, 'class': 'n01440764 tench'}, {'probability': 1.1438162e-06, 'class': 'n01632777 axolotl'}, {'probability': 6.8763904e-07, 'class': 'n02607072 anemone_fish'}, {'probability': 2.6437877e-07, 'class': 'n02655020 puffer'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9998341798782349;n01443537 goldfish;n01443537;[{'probability': 0.9998342, 'class': 'n01443537 goldfish'}, {'probability': 8.1966136e-05, 'class': 'n01440764 tench'}, {'probability': 6.3980835e-05, 'class': 'n02606052 rock_beauty'}, {'probability': 1.2176906e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 3.6980512e-06, 'class': 'n02655020 puffer'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.7084486484527588;n01496331 electric_ray;n01496331;[{'probability': 0.70844865, 'class': 'n01496331 electric_ray'}, {'probability': 0.09857955, 'class': 'n02526121 eel'}, {'probability': 0.07713859, 'class': 'n01917289 brain_coral'}, {'probability': 0.011456457, 'class': 'n02319095 sea_urchin'}, {'probability': 0.011427964, 'class': 'n01914609 sea_anemone'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.5489444732666016;n01514668 cock;n01514668;[{'probability': 0.5489445, 'class': 'n01514668 cock'}, {'probability': 0.13753629, 'class': 'n01514859 hen'}, {'probability': 0.08798839, 'class': 'n01795545 black_grouse'}, {'probability': 0.077250555, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.037612524, 'class': 'n01616318 vulture'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.8556180000305176;n01514859 hen;n01514668;[{'probability': 0.855618, 'class': 'n01514859 hen'}, {'probability': 0.14267918, 'class': 'n01514668 cock'}, {'probability': 0.0005213269, 'class': 'n02017213 European_gallinule'}, {'probability': 0.00041778243, 'class': 'n01807496 partridge'}, {'probability': 0.00023475196, 'class': 'n01855672 goose'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.8563849925994873;n01530575 brambling;n01530575;[{'probability': 0.856385, 'class': 'n01530575 brambling'}, {'probability': 0.13163686, 'class': 'n01534433 junco'}, {'probability': 0.002346056, 'class': 'n01531178 goldfinch'}, {'probability': 0.0019125522, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.0018346462, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9974429607391357;n01530575 brambling;n01530575;[{'probability': 0.99744296, 'class': 'n01530575 brambling'}, {'probability': 0.0018263848, 'class': 'n01558993 robin'}, {'probability': 0.00068377703, 'class': 'n01531178 goldfinch'}, {'probability': 2.7694343e-05, 'class': 'n01534433 junco'}, {'probability': 3.864077e-06, 'class': 'n01601694 water_ouzel'}]
