image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.37663623690605164;n01695060 Komodo_dragon;n01440764;[{'probability': 0.37663624, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.34307122, 'class': 'n01440764 tench'}, {'probability': 0.19026965, 'class': 'n02526121 eel'}, {'probability': 0.06329038, 'class': 'n02536864 coho'}, {'probability': 0.012112957, 'class': 'n01873310 platypus'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.6817068457603455;n01950731 sea_slug;n01443537;[{'probability': 0.68170685, 'class': 'n01950731 sea_slug'}, {'probability': 0.06124657, 'class': 'n02607072 anemone_fish'}, {'probability': 0.061220296, 'class': 'n01943899 conch'}, {'probability': 0.047012925, 'class': 'n01990800 isopod'}, {'probability': 0.033608075, 'class': 'n01914609 sea_anemone'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.25483381748199463;n04296562 stage;n01443537;[{'probability': 0.25483382, 'class': 'n04296562 stage'}, {'probability': 0.22494496, 'class': 'n01443537 goldfish'}, {'probability': 0.14423013, 'class': 'n01910747 jellyfish'}, {'probability': 0.062235557, 'class': 'n10565667 scuba_diver'}, {'probability': 0.046448447, 'class': 'n03782006 monitor'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999990463256836;n01443537 goldfish;n01443537;[{'probability': 0.99999905, 'class': 'n01443537 goldfish'}, {'probability': 4.8840417e-07, 'class': 'n02607072 anemone_fish'}, {'probability': 2.823929e-07, 'class': 'n02606052 rock_beauty'}, {'probability': 7.941667e-08, 'class': 'n09256479 coral_reef'}, {'probability': 5.7418557e-08, 'class': 'n01440764 tench'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999514818191528;n01443537 goldfish;n01443537;[{'probability': 0.9999515, 'class': 'n01443537 goldfish'}, {'probability': 1.4903459e-05, 'class': 'n02606052 rock_beauty'}, {'probability': 1.070919e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 6.4051987e-06, 'class': 'n02007558 flamingo'}, {'probability': 4.1338785e-06, 'class': 'n02655020 puffer'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.26074299216270447;n01496331 electric_ray;n01496331;[{'probability': 0.260743, 'class': 'n01496331 electric_ray'}, {'probability': 0.15580638, 'class': 'n04606251 wreck'}, {'probability': 0.08760081, 'class': 'n09472597 volcano'}, {'probability': 0.05766244, 'class': 'n01910747 jellyfish'}, {'probability': 0.055412028, 'class': 'n02526121 eel'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.08294395357370377;n01514668 cock;n01514668;[{'probability': 0.08294395, 'class': 'n01514668 cock'}, {'probability': 0.08089551, 'class': 'n03124170 cowboy_hat'}, {'probability': 0.06845073, 'class': 'n04259630 sombrero'}, {'probability': 0.06786094, 'class': 'n07802026 hay'}, {'probability': 0.067361645, 'class': 'n03447721 gong'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.8112115263938904;n01514668 cock;n01514668;[{'probability': 0.8112115, 'class': 'n01514668 cock'}, {'probability': 0.18873027, 'class': 'n01514859 hen'}, {'probability': 3.178198e-05, 'class': 'n01807496 partridge'}, {'probability': 1.3432641e-05, 'class': 'n01806143 peacock'}, {'probability': 2.9041842e-06, 'class': 'n01797886 ruffed_grouse'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.43168267607688904;n01530575 brambling;n01530575;[{'probability': 0.43168268, 'class': 'n01530575 brambling'}, {'probability': 0.1828651, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.038130667, 'class': 'n01534433 junco'}, {'probability': 0.031595908, 'class': 'n02027492 red-backed_sandpiper'}, {'probability': 0.030884646, 'class': 'n01797886 ruffed_grouse'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9997938275337219;n01530575 brambling;n01530575;[{'probability': 0.9997938, 'class': 'n01530575 brambling'}, {'probability': 6.937241e-05, 'class': 'n01558993 robin'}, {'probability': 6.303143e-05, 'class': 'n01534433 junco'}, {'probability': 4.8367292e-05, 'class': 'n01531178 goldfinch'}, {'probability': 6.954194e-06, 'class': 'n01532829 house_finch'}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.9989489912986755;n01531178 goldfinch;n01531178;[{'probability': 0.998949, 'class': 'n01531178 goldfinch'}, {'probability': 0.00019760296, 'class': 'n02259212 leafhopper'}, {'probability': 0.00016951337, 'class': 'n02281406 sulphur_butterfly'}, {'probability': 0.00012047234, 'class': 'n02168699 long-horned_beetle'}, {'probability': 9.001276e-05, 'class': 'n01537544 indigo_bunting'}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.5938446521759033;n01532829 house_finch;n01532829;[{'probability': 0.59384465, 'class': 'n01532829 house_finch'}, {'probability': 0.12729208, 'class': 'n02843684 birdhouse'}, {'probability': 0.04765116, 'class': 'n01558993 robin'}, {'probability': 0.045298222, 'class': 'n01833805 hummingbird'}, {'probability': 0.04426822, 'class': 'n01797886 ruffed_grouse'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9989688396453857;n01534433 junco;n01534433;[{'probability': 0.99896884, 'class': 'n01534433 junco'}, {'probability': 0.00034285674, 'class': 'n01530575 brambling'}, {'probability': 0.0003333906, 'class': 'n01537544 indigo_bunting'}, {'probability': 0.00018278351, 'class': 'n01592084 chickadee'}, {'probability': 4.6160556e-05, 'class': 'n01531178 goldfinch'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.9999653100967407;n01534433 junco;n01534433;[{'probability': 0.9999653, 'class': 'n01534433 junco'}, {'probability': 1.5293455e-05, 'class': 'n02018207 American_coot'}, {'probability': 5.4591533e-06, 'class': 'n01580077 jay'}, {'probability': 5.3927333e-06, 'class': 'n01560419 bulbul'}, {'probability': 2.44178e-06, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.9999955892562866;n01537544 indigo_bunting;n01537544;[{'probability': 0.9999956, 'class': 'n01537544 indigo_bunting'}, {'probability': 3.5564021e-06, 'class': 'n02017213 European_gallinule'}, {'probability': 3.0139717e-07, 'class': 'n01580077 jay'}, {'probability': 2.0948053e-07, 'class': 'n01828970 bee_eater'}, {'probability': 9.716355e-08, 'class': 'n01532829 house_finch'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.9718748927116394;n01560419 bulbul;n01560419;[{'probability': 0.9718749, 'class': 'n01560419 bulbul'}, {'probability': 0.007844188, 'class': 'n01833805 hummingbird'}, {'probability': 0.0027621062, 'class': 'n01828970 bee_eater'}, {'probability': 0.002001114, 'class': 'n01531178 goldfinch'}, {'probability': 0.0019784041, 'class': 'n01824575 coucal'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000217.JPEG;0.996507465839386;n01560419 bulbul;n01560419;[{'probability': 0.99650747, 'class': 'n01560419 bulbul'}, {'probability': 0.00164216, 'class': 'n01833805 hummingbird'}, {'probability': 0.00066093745, 'class': 'n01608432 kite'}, {'probability': 0.00034589967, 'class': 'n01580077 jay'}, {'probability': 0.00025979552, 'class': 'n01558993 robin'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000439.JPEG;0.9913841485977173;n01560419 bulbul;n01560419;[{'probability': 0.99138415, 'class': 'n01560419 bulbul'}, {'probability': 0.0052695163, 'class': 'n01534433 junco'}, {'probability': 0.0014688256, 'class': 'n01558993 robin'}, {'probability': 0.0010126602, 'class': 'n01592084 chickadee'}, {'probability': 0.0005754572, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000638.JPEG;0.8090602159500122;n01560419 bulbul;n01560419;[{'probability': 0.8090602, 'class': 'n01560419 bulbul'}, {'probability': 0.17804588, 'class': 'n01833805 hummingbird'}, {'probability': 0.0055263476, 'class': 'n01843065 jacamar'}, {'probability': 0.002781301, 'class': 'n01534433 junco'}, {'probability': 0.0023713552, 'class': 'n01592084 chickadee'}]
