image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.8149381875991821;n02536864 coho;n01440764;[{'probability': 0.8149382, 'class': 'n02536864 coho'}, {'probability': 0.13916257, 'class': 'n01440764 tench'}, {'probability': 0.028580802, 'class': 'n02526121 eel'}, {'probability': 0.012285078, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.0012566609, 'class': 'n02398521 hippopotamus'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.9683517217636108;n01950731 sea_slug;n01443537;[{'probability': 0.9683517, 'class': 'n01950731 sea_slug'}, {'probability': 0.014823744, 'class': 'n01443537 goldfish'}, {'probability': 0.011791825, 'class': 'n01632777 axolotl'}, {'probability': 0.0024677957, 'class': 'n01924916 flatworm'}, {'probability': 0.0011685024, 'class': 'n01819313 sulphur-crested_cockatoo'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9954383969306946;n01443537 goldfish;n01443537;[{'probability': 0.9954384, 'class': 'n01443537 goldfish'}, {'probability': 0.0016237412, 'class': 'n01632777 axolotl'}, {'probability': 0.0010508135, 'class': 'n01943899 conch'}, {'probability': 0.00035914415, 'class': 'n02077923 sea_lion'}, {'probability': 0.00021559041, 'class': 'n02490219 marmoset'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999943971633911;n01443537 goldfish;n01443537;[{'probability': 0.9999944, 'class': 'n01443537 goldfish'}, {'probability': 1.7220494e-06, 'class': 'n01440764 tench'}, {'probability': 1.078721e-06, 'class': 'n02007558 flamingo'}, {'probability': 4.0328618e-07, 'class': 'n02606052 rock_beauty'}, {'probability': 2.1319937e-07, 'class': 'n01943899 conch'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9978840947151184;n01443537 goldfish;n01443537;[{'probability': 0.9978841, 'class': 'n01443537 goldfish'}, {'probability': 0.0009871189, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0001672211, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00012403195, 'class': 'n01440764 tench'}, {'probability': 7.496162e-05, 'class': 'n02655020 puffer'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.14409519731998444;n01667114 mud_turtle;n01496331;[{'probability': 0.1440952, 'class': 'n01667114 mud_turtle'}, {'probability': 0.1087138, 'class': 'n01664065 loggerhead'}, {'probability': 0.096765116, 'class': 'n01496331 electric_ray'}, {'probability': 0.08455036, 'class': 'n09472597 volcano'}, {'probability': 0.07984351, 'class': 'n01917289 brain_coral'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.9259388446807861;n07754684 jackfruit;n01514668;[{'probability': 0.92593884, 'class': 'n07754684 jackfruit'}, {'probability': 0.031211566, 'class': 'n01798484 prairie_chicken'}, {'probability': 0.015927237, 'class': 'n01514859 hen'}, {'probability': 0.00709414, 'class': 'n01514668 cock'}, {'probability': 0.002982337, 'class': 'n12768682 buckeye'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.5639892220497131;n01514859 hen;n01514668;[{'probability': 0.5639892, 'class': 'n01514859 hen'}, {'probability': 0.42863092, 'class': 'n01514668 cock'}, {'probability': 0.0065615154, 'class': 'n01807496 partridge'}, {'probability': 0.00036898302, 'class': 'n01877812 wallaby'}, {'probability': 0.00035228184, 'class': 'n01797886 ruffed_grouse'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.9931176900863647;n01530575 brambling;n01530575;[{'probability': 0.9931177, 'class': 'n01530575 brambling'}, {'probability': 0.0048803706, 'class': 'n01534433 junco'}, {'probability': 0.0012147252, 'class': 'n02027492 red-backed_sandpiper'}, {'probability': 0.00030307923, 'class': 'n01531178 goldfinch'}, {'probability': 0.00013224827, 'class': 'n01532829 house_finch'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9999822378158569;n01530575 brambling;n01530575;[{'probability': 0.99998224, 'class': 'n01530575 brambling'}, {'probability': 1.0716519e-05, 'class': 'n01531178 goldfinch'}, {'probability': 7.0341725e-06, 'class': 'n01558993 robin'}, {'probability': 1.0091213e-08, 'class': 'n01532829 house_finch'}, {'probability': 4.2265813e-09, 'class': 'n03673027 liner'}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.9999704360961914;n01531178 goldfinch;n01531178;[{'probability': 0.99997044, 'class': 'n01531178 goldfinch'}, {'probability': 5.0818676e-06, 'class': 'n01818515 macaw'}, {'probability': 3.7460409e-06, 'class': 'n01558993 robin'}, {'probability': 3.6717156e-06, 'class': 'n01829413 hornbill'}, {'probability': 3.2101718e-06, 'class': 'n01530575 brambling'}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.6105048060417175;n03220513 dome;n01532829;[{'probability': 0.6105048, 'class': 'n03220513 dome'}, {'probability': 0.049517173, 'class': 'n03063689 coffeepot'}, {'probability': 0.025169231, 'class': 'n02843684 birdhouse'}, {'probability': 0.016588714, 'class': 'n04192698 shield'}, {'probability': 0.01475791, 'class': 'n03146219 cuirass'}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9967067837715149;n01534433 junco;n01534433;[{'probability': 0.9967068, 'class': 'n01534433 junco'}, {'probability': 0.003184366, 'class': 'n01592084 chickadee'}, {'probability': 4.9005823e-05, 'class': 'n01601694 water_ouzel'}, {'probability': 2.136767e-05, 'class': 'n01530575 brambling'}, {'probability': 1.2173788e-06, 'class': 'n01824575 coucal'}]
