image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.8031034469604492;n01695060 Komodo_dragon;n01440764;[{'probability': 0.80310345, 'class': 'n01695060 Komodo_dragon'}, {'probability': 0.09509647, 'class': 'n01677366 common_iguana'}, {'probability': 0.012536601, 'class': 'n01694178 African_chameleon'}, {'probability': 0.011981999, 'class': 'n01955084 chiton'}, {'probability': 0.009681596, 'class': 'n01688243 frilled_lizard'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.7732946276664734;n01950731 sea_slug;n01443537;[{'probability': 0.7732946, 'class': 'n01950731 sea_slug'}, {'probability': 0.08677094, 'class': 'n01910747 jellyfish'}, {'probability': 0.03302036, 'class': 'n01943899 conch'}, {'probability': 0.029872032, 'class': 'n01914609 sea_anemone'}, {'probability': 0.025207702, 'class': 'n01924916 flatworm'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.7863783836364746;n01443537 goldfish;n01443537;[{'probability': 0.7863784, 'class': 'n01443537 goldfish'}, {'probability': 0.076290146, 'class': 'n01632777 axolotl'}, {'probability': 0.0154348, 'class': 'n10565667 scuba_diver'}, {'probability': 0.012757159, 'class': 'n09256479 coral_reef'}, {'probability': 0.01231826, 'class': 'n02526121 eel'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999860525131226;n01443537 goldfish;n01443537;[{'probability': 0.99998605, 'class': 'n01443537 goldfish'}, {'probability': 4.9151276e-06, 'class': 'n02606052 rock_beauty'}, {'probability': 3.949702e-06, 'class': 'n02607072 anemone_fish'}, {'probability': 3.8505914e-06, 'class': 'n01440764 tench'}, {'probability': 8.5830675e-07, 'class': 'n09256479 coral_reef'}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999963045120239;n01443537 goldfish;n01443537;[{'probability': 0.9999963, 'class': 'n01443537 goldfish'}, {'probability': 3.299926e-06, 'class': 'n02607072 anemone_fish'}, {'probability': 2.1365408e-07, 'class': 'n02606052 rock_beauty'}, {'probability': 1.00956534e-07, 'class': 'n01440764 tench'}, {'probability': 4.449671e-08, 'class': 'n01632777 axolotl'}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.16171801090240479;n01978455 rock_crab;n01496331;[{'probability': 0.16171801, 'class': 'n01978455 rock_crab'}, {'probability': 0.13388291, 'class': 'n01664065 loggerhead'}, {'probability': 0.12707879, 'class': 'n01955084 chiton'}, {'probability': 0.07002834, 'class': 'n02606052 rock_beauty'}, {'probability': 0.06883241, 'class': 'n02321529 sea_cucumber'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.7186849117279053;n01514668 cock;n01514668;[{'probability': 0.7186849, 'class': 'n01514668 cock'}, {'probability': 0.16289677, 'class': 'n01514859 hen'}, {'probability': 0.012138383, 'class': 'n02085620 Chihuahua'}, {'probability': 0.011765452, 'class': 'n02437616 llama'}, {'probability': 0.0046535176, 'class': 'n03223299 doormat'}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9190698862075806;n01514859 hen;n01514668;[{'probability': 0.9190699, 'class': 'n01514859 hen'}, {'probability': 0.08084657, 'class': 'n01514668 cock'}, {'probability': 6.473935e-05, 'class': 'n01860187 black_swan'}, {'probability': 7.800204e-06, 'class': 'n02097298 Scotch_terrier'}, {'probability': 1.5398407e-06, 'class': 'n01797886 ruffed_grouse'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.7319443225860596;n01530575 brambling;n01530575;[{'probability': 0.7319443, 'class': 'n01530575 brambling'}, {'probability': 0.21422926, 'class': 'n01534433 junco'}, {'probability': 0.0258302, 'class': 'n01531178 goldfinch'}, {'probability': 0.011084635, 'class': 'n02025239 ruddy_turnstone'}, {'probability': 0.004510939, 'class': 'n01601694 water_ouzel'}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9990304708480835;n01530575 brambling;n01530575;[{'probability': 0.9990305, 'class': 'n01530575 brambling'}, {'probability': 0.00094592833, 'class': 'n01558993 robin'}, {'probability': 2.1810498e-05, 'class': 'n01534433 junco'}, {'probability': 6.0748334e-07, 'class': 'n01601694 water_ouzel'}, {'probability': 3.312482e-07, 'class': 'n01531178 goldfinch'}]
