image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.39256107807159424;n02443484 black-footed_ferret;n02443484;[{'probability': 0.39256108, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.28240702, 'class': 'n02342885 hamster'}, {'probability': 0.123528115, 'class': 'n02441942 weasel'}, {'probability': 0.11542166, 'class': 'n02443114 polecat'}, {'probability': 0.048270985, 'class': 'n02442845 mink'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.8196533918380737;n07880968 burrito;n02443484;[{'probability': 0.8196534, 'class': 'n07880968 burrito'}, {'probability': 0.03680118, 'class': 'n02096177 cairn'}, {'probability': 0.014180761, 'class': 'n02085620 Chihuahua'}, {'probability': 0.010413874, 'class': 'n07615774 ice_lolly'}, {'probability': 0.007901239, 'class': 'n02113624 toy_poodle'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6230644583702087;n02094114 Norfolk_terrier;n02443484;[{'probability': 0.62306446, 'class': 'n02094114 Norfolk_terrier'}, {'probability': 0.20214288, 'class': 'n02808304 bath_towel'}, {'probability': 0.06879579, 'class': 'n04399382 teddy'}, {'probability': 0.020004362, 'class': 'n02097047 miniature_schnauzer'}, {'probability': 0.016629016, 'class': 'n02113624 toy_poodle'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.8012049198150635;n02443484 black-footed_ferret;n02443484;[{'probability': 0.8012049, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.18069547, 'class': 'n02443114 polecat'}, {'probability': 0.01403602, 'class': 'n02441942 weasel'}, {'probability': 0.001996842, 'class': 'n02444819 otter'}, {'probability': 0.001195116, 'class': 'n02447366 badger'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.4015534520149231;n02443114 polecat;n02443484;[{'probability': 0.40155345, 'class': 'n02443114 polecat'}, {'probability': 0.24329726, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.1404813, 'class': 'n02364673 guinea_pig'}, {'probability': 0.045684826, 'class': 'n02328150 Angora'}, {'probability': 0.045039304, 'class': 'n02441942 weasel'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.3799504339694977;n02233338 cockroach;n01440764;[{'probability': 0.37995043, 'class': 'n02233338 cockroach'}, {'probability': 0.18079884, 'class': 'n03876231 paintbrush'}, {'probability': 0.1139372, 'class': 'n01440764 tench'}, {'probability': 0.028978867, 'class': 'n02927161 butcher_shop'}, {'probability': 0.021166835, 'class': 'n01770393 scorpion'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.5647373199462891;n01440764 tench;n01440764;[{'probability': 0.5647373, 'class': 'n01440764 tench'}, {'probability': 0.34674996, 'class': 'n02536864 coho'}, {'probability': 0.07203581, 'class': 'n02640242 sturgeon'}, {'probability': 0.009487697, 'class': 'n02514041 barracouta'}, {'probability': 0.002087598, 'class': 'n01494475 hammerhead'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.5289180874824524;n01440764 tench;n01440764;[{'probability': 0.5289181, 'class': 'n01440764 tench'}, {'probability': 0.39476255, 'class': 'n02526121 eel'}, {'probability': 0.01636086, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.010721787, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0078001097, 'class': 'n01632777 axolotl'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.49322807788848877;n01443537 goldfish;n01443537;[{'probability': 0.49322808, 'class': 'n01443537 goldfish'}, {'probability': 0.20824666, 'class': 'n02655020 puffer'}, {'probability': 0.15620996, 'class': 'n01440764 tench'}, {'probability': 0.018493928, 'class': 'n02108915 French_bulldog'}, {'probability': 0.016542159, 'class': 'n02606052 rock_beauty'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.30391761660575867;n03630383 lab_coat;n01443537;[{'probability': 0.30391762, 'class': 'n03630383 lab_coat'}, {'probability': 0.083403535, 'class': 'n02077923 sea_lion'}, {'probability': 0.07053379, 'class': 'n04141076 sax'}, {'probability': 0.046945304, 'class': 'n02092339 Weimaraner'}, {'probability': 0.038482554, 'class': 'n02927161 butcher_shop'}]
