image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.9805363416671753;n02342885 hamster;n02443484;[{'probability': 0.98053634, 'class': 'n02342885 hamster'}, {'probability': 0.008265082, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.008153994, 'class': 'n02442845 mink'}, {'probability': 0.001280053, 'class': 'n02441942 weasel'}, {'probability': 0.001031469, 'class': 'n01883070 wombat'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.7565339207649231;n03825788 nipple;n02443484;[{'probability': 0.7565339, 'class': 'n03825788 nipple'}, {'probability': 0.15476526, 'class': 'n09229709 bubble'}, {'probability': 0.022234092, 'class': 'n03692522 loupe'}, {'probability': 0.01959203, 'class': 'n04557648 water_bottle'}, {'probability': 0.008316597, 'class': 'n03868863 oxygen_mask'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.9537973999977112;n02808304 bath_towel;n02443484;[{'probability': 0.9537974, 'class': 'n02808304 bath_towel'}, {'probability': 0.045252647, 'class': 'n04399382 teddy'}, {'probability': 0.0002258087, 'class': 'n02441942 weasel'}, {'probability': 0.00019608275, 'class': 'n02342885 hamster'}, {'probability': 0.00015592505, 'class': 'n02442845 mink'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.9233662486076355;n02443484 black-footed_ferret;n02443484;[{'probability': 0.92336625, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.063463755, 'class': 'n02443114 polecat'}, {'probability': 0.013113634, 'class': 'n02441942 weasel'}, {'probability': 5.392361e-05, 'class': 'n02442845 mink'}, {'probability': 2.2230774e-06, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5619921684265137;n02342885 hamster;n02443484;[{'probability': 0.56199217, 'class': 'n02342885 hamster'}, {'probability': 0.23884553, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.07087697, 'class': 'n02441942 weasel'}, {'probability': 0.05463249, 'class': 'n02443114 polecat'}, {'probability': 0.047498677, 'class': 'n02364673 guinea_pig'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9897080659866333;n01440764 tench;n01440764;[{'probability': 0.98970807, 'class': 'n01440764 tench'}, {'probability': 0.0027048802, 'class': 'n04111531 rotisserie'}, {'probability': 0.0007825879, 'class': 'n02536864 coho'}, {'probability': 0.00058943377, 'class': 'n04067472 reel'}, {'probability': 0.00045973138, 'class': 'n01873310 platypus'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.46745848655700684;n02536864 coho;n01440764;[{'probability': 0.4674585, 'class': 'n02536864 coho'}, {'probability': 0.3750411, 'class': 'n01440764 tench'}, {'probability': 0.09053329, 'class': 'n02641379 gar'}, {'probability': 0.024870005, 'class': 'n02514041 barracouta'}, {'probability': 0.01036014, 'class': 'n02640242 sturgeon'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9831271171569824;n01440764 tench;n01440764;[{'probability': 0.9831271, 'class': 'n01440764 tench'}, {'probability': 0.006778613, 'class': 'n02526121 eel'}, {'probability': 0.003974849, 'class': 'n01632777 axolotl'}, {'probability': 0.0018929073, 'class': 'n02442845 mink'}, {'probability': 0.0012864289, 'class': 'n02077923 sea_lion'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9468587636947632;n01443537 goldfish;n01443537;[{'probability': 0.94685876, 'class': 'n01443537 goldfish'}, {'probability': 0.04834345, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0035469667, 'class': 'n02655020 puffer'}, {'probability': 0.00077659026, 'class': 'n02607072 anemone_fish'}, {'probability': 0.0004262707, 'class': 'n01440764 tench'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.16519704461097717;n03958227 plastic_bag;n01443537;[{'probability': 0.16519704, 'class': 'n03958227 plastic_bag'}, {'probability': 0.15790053, 'class': 'n03868863 oxygen_mask'}, {'probability': 0.046939056, 'class': 'n04462240 toyshop'}, {'probability': 0.045753065, 'class': 'n04111531 rotisserie'}, {'probability': 0.045559693, 'class': 'n04554684 washer'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9994698166847229;n01443537 goldfish;n01443537;[{'probability': 0.9994698, 'class': 'n01443537 goldfish'}, {'probability': 0.00035622664, 'class': 'n02606052 rock_beauty'}, {'probability': 9.9944584e-05, 'class': 'n01440764 tench'}, {'probability': 5.641605e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 7.850484e-06, 'class': 'n09256479 coral_reef'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9539233446121216;n01484850 great_white_shark;n01484850;[{'probability': 0.95392334, 'class': 'n01484850 great_white_shark'}, {'probability': 0.021764418, 'class': 'n02071294 killer_whale'}, {'probability': 0.0037284757, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0023588762, 'class': 'n02134084 ice_bear'}, {'probability': 0.0018910661, 'class': 'n02066245 grey_whale'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.9999353885650635;n01484850 great_white_shark;n01484850;[{'probability': 0.9999354, 'class': 'n01484850 great_white_shark'}, {'probability': 6.452768e-05, 'class': 'n01491361 tiger_shark'}, {'probability': 1.6748638e-08, 'class': 'n02640242 sturgeon'}, {'probability': 1.1033957e-08, 'class': 'n02655020 puffer'}, {'probability': 3.857035e-09, 'class': 'n02441942 weasel'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.9991891980171204;n01484850 great_white_shark;n01484850;[{'probability': 0.9991892, 'class': 'n01484850 great_white_shark'}, {'probability': 0.00080992264, 'class': 'n01491361 tiger_shark'}, {'probability': 1.8912866e-07, 'class': 'n01796340 ptarmigan'}, {'probability': 8.34063e-08, 'class': 'n02640242 sturgeon'}, {'probability': 5.1932467e-08, 'class': 'n02447366 badger'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.979468047618866;n01484850 great_white_shark;n01484850;[{'probability': 0.97946805, 'class': 'n01484850 great_white_shark'}, {'probability': 0.020421168, 'class': 'n01491361 tiger_shark'}, {'probability': 6.633406e-05, 'class': 'n01494475 hammerhead'}, {'probability': 1.7198763e-05, 'class': 'n04111531 rotisserie'}, {'probability': 9.717608e-06, 'class': 'n04204347 shopping_cart'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.8475807905197144;n01484850 great_white_shark;n01484850;[{'probability': 0.8475808, 'class': 'n01484850 great_white_shark'}, {'probability': 0.14736374, 'class': 'n02066245 grey_whale'}, {'probability': 0.0014137552, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0006989178, 'class': 'n02398521 hippopotamus'}, {'probability': 0.0006162871, 'class': 'n02640242 sturgeon'}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.5343612432479858;n01491361 tiger_shark;n01491361;[{'probability': 0.53436124, 'class': 'n01491361 tiger_shark'}, {'probability': 0.42119303, 'class': 'n01484850 great_white_shark'}, {'probability': 0.033018023, 'class': 'n01494475 hammerhead'}, {'probability': 0.0074346797, 'class': 'n01498041 stingray'}, {'probability': 0.00030950512, 'class': 'n02692877 airship'}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.7442619204521179;n01494475 hammerhead;n01491361;[{'probability': 0.7442619, 'class': 'n01494475 hammerhead'}, {'probability': 0.12442776, 'class': 'n01491361 tiger_shark'}, {'probability': 0.06707217, 'class': 'n01484850 great_white_shark'}, {'probability': 0.026004199, 'class': 'n01498041 stingray'}, {'probability': 0.0037384885, 'class': 'n09256479 coral_reef'}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00026001.JPEG;0.9382222890853882;n01491361 tiger_shark;n01491361;[{'probability': 0.9382223, 'class': 'n01491361 tiger_shark'}, {'probability': 0.037526097, 'class': 'n01484850 great_white_shark'}, {'probability': 0.023727573, 'class': 'n01494475 hammerhead'}, {'probability': 4.0749284e-05, 'class': 'n02655020 puffer'}, {'probability': 2.8750876e-05, 'class': 'n01632777 axolotl'}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00012546.JPEG;0.9897270798683167;n04376876 syringe;n01494475;[{'probability': 0.9897271, 'class': 'n04376876 syringe'}, {'probability': 0.004043963, 'class': 'n04347754 submarine'}, {'probability': 0.0018283908, 'class': 'n02687172 aircraft_carrier'}, {'probability': 0.00043457837, 'class': 'n03868863 oxygen_mask'}, {'probability': 0.00037784522, 'class': 'n03424325 gasmask'}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00016259.JPEG;0.9978939890861511;n01494475 hammerhead;n01494475;[{'probability': 0.997894, 'class': 'n01494475 hammerhead'}, {'probability': 0.0012006591, 'class': 'n02692877 airship'}, {'probability': 0.0002537471, 'class': 'n02690373 airliner'}, {'probability': 0.00021478235, 'class': 'n01491361 tiger_shark'}, {'probability': 0.00014632726, 'class': 'n04552348 warplane'}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00027160.JPEG;0.9788984656333923;n01494475 hammerhead;n01494475;[{'probability': 0.97889847, 'class': 'n01494475 hammerhead'}, {'probability': 0.020900339, 'class': 'n01491361 tiger_shark'}, {'probability': 6.874246e-05, 'class': 'n01484850 great_white_shark'}, {'probability': 1.8219074e-05, 'class': 'n02640242 sturgeon'}, {'probability': 4.336643e-06, 'class': 'n03804744 nail'}]
../dataset/imagenet-mini/val/n01494475/ILSVRC2012_val_00034178.JPEG;0.2459038347005844;n04389033 tank;n01494475;[{'probability': 0.24590383, 'class': 'n04389033 tank'}, {'probability': 0.17486252, 'class': 'n04200800 shoe_shop'}, {'probability': 0.14904058, 'class': 'n04606251 wreck'}, {'probability': 0.07941193, 'class': 'n02233338 cockroach'}, {'probability': 0.060460903, 'class': 'n09835506 ballplayer'}]
