image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.9040060043334961;n02443484 black-footed_ferret;n02443484;[{'probability': 0.904006, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.066989206, 'class': 'n02441942 weasel'}, {'probability': 0.012697336, 'class': 'n02443114 polecat'}, {'probability': 0.0096760215, 'class': 'n02442845 mink'}, {'probability': 0.0001249326, 'class': 'n03207941 dishwasher'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.7547087669372559;n02441942 weasel;n02443484;[{'probability': 0.75470877, 'class': 'n02441942 weasel'}, {'probability': 0.21193811, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.016326819, 'class': 'n02443114 polecat'}, {'probability': 0.009175857, 'class': 'n02442845 mink'}, {'probability': 0.0005965144, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.5385590195655823;n02441942 weasel;n02443484;[{'probability': 0.538559, 'class': 'n02441942 weasel'}, {'probability': 0.28594363, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.049036287, 'class': 'n02443114 polecat'}, {'probability': 0.041250147, 'class': 'n02808304 bath_towel'}, {'probability': 0.0071715917, 'class': 'n02442845 mink'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5579601526260376;n02443484 black-footed_ferret;n02443484;[{'probability': 0.55796015, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.27641928, 'class': 'n02443114 polecat'}, {'probability': 0.107393794, 'class': 'n02441942 weasel'}, {'probability': 0.004924131, 'class': 'n02442845 mink'}, {'probability': 0.0005376594, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.3802132308483124;n02443484 black-footed_ferret;n02443484;[{'probability': 0.38021323, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.18847202, 'class': 'n02443114 polecat'}, {'probability': 0.09678489, 'class': 'n02441942 weasel'}, {'probability': 0.040847916, 'class': 'n02442845 mink'}, {'probability': 0.0253578, 'class': 'n02342885 hamster'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.8637744784355164;n01440764 tench;n01440764;[{'probability': 0.8637745, 'class': 'n01440764 tench'}, {'probability': 0.036259964, 'class': 'n02536864 coho'}, {'probability': 0.02674022, 'class': 'n04067472 reel'}, {'probability': 0.0069034966, 'class': 'n02514041 barracouta'}, {'probability': 0.0012855089, 'class': 'n02640242 sturgeon'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.7213953137397766;n02536864 coho;n01440764;[{'probability': 0.7213953, 'class': 'n02536864 coho'}, {'probability': 0.038393702, 'class': 'n02514041 barracouta'}, {'probability': 0.023081744, 'class': 'n02640242 sturgeon'}, {'probability': 0.020120468, 'class': 'n02641379 gar'}, {'probability': 0.012020331, 'class': 'n04067472 reel'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.6039107441902161;n01440764 tench;n01440764;[{'probability': 0.60391074, 'class': 'n01440764 tench'}, {'probability': 0.28521094, 'class': 'n02526121 eel'}, {'probability': 0.0040248176, 'class': 'n02074367 dugong'}, {'probability': 0.0020178186, 'class': 'n02514041 barracouta'}, {'probability': 0.0013669909, 'class': 'n01491361 tiger_shark'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.7244153022766113;n01443537 goldfish;n01443537;[{'probability': 0.7244153, 'class': 'n01443537 goldfish'}, {'probability': 0.030730255, 'class': 'n02655020 puffer'}, {'probability': 0.02822018, 'class': 'n02606052 rock_beauty'}, {'probability': 0.019788062, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00804854, 'class': 'n09256479 coral_reef'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.5456408262252808;n02815834 beaker;n01443537;[{'probability': 0.5456408, 'class': 'n02815834 beaker'}, {'probability': 0.03240107, 'class': 'n04209239 shower_curtain'}, {'probability': 0.028334793, 'class': 'n03876231 paintbrush'}, {'probability': 0.023334911, 'class': 'n03207941 dishwasher'}, {'probability': 0.016754525, 'class': 'n03443371 goblet'}]
