image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7967751622200012;n02442845 mink;n02443484;[{'probability': 0.79677516, 'class': 'n02442845 mink'}, {'probability': 0.079633795, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.04531749, 'class': 'n02342885 hamster'}, {'probability': 0.027495492, 'class': 'n02441942 weasel'}, {'probability': 0.015980465, 'class': 'n02443114 polecat'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.07707622647285461;n02095570 Lakeland_terrier;n02443484;[{'probability': 0.07707623, 'class': 'n02095570 Lakeland_terrier'}, {'probability': 0.034921166, 'class': 'n04404412 television'}, {'probability': 0.02797311, 'class': 'n02124075 Egyptian_cat'}, {'probability': 0.02766197, 'class': 'n02113624 toy_poodle'}, {'probability': 0.025935372, 'class': 'n02096051 Airedale'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.3090105950832367;n02356798 fox_squirrel;n02443484;[{'probability': 0.3090106, 'class': 'n02356798 fox_squirrel'}, {'probability': 0.28853983, 'class': 'n02342885 hamster'}, {'probability': 0.12539461, 'class': 'n02441942 weasel'}, {'probability': 0.06475392, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.049718585, 'class': 'n02361337 marmot'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.4289509654045105;n02443114 polecat;n02443484;[{'probability': 0.42895097, 'class': 'n02443114 polecat'}, {'probability': 0.3817564, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.14030565, 'class': 'n02441942 weasel'}, {'probability': 0.021928225, 'class': 'n02442845 mink'}, {'probability': 0.016425157, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.32425937056541443;n02442845 mink;n02443484;[{'probability': 0.32425937, 'class': 'n02442845 mink'}, {'probability': 0.30565816, 'class': 'n02441942 weasel'}, {'probability': 0.12845534, 'class': 'n02443114 polecat'}, {'probability': 0.058921114, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.04212408, 'class': 'n02342885 hamster'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.32854223251342773;n01484850 great_white_shark;n01440764;[{'probability': 0.32854223, 'class': 'n01484850 great_white_shark'}, {'probability': 0.111965604, 'class': 'n02536864 coho'}, {'probability': 0.043135084, 'class': 'n02641379 gar'}, {'probability': 0.042033996, 'class': 'n04111531 rotisserie'}, {'probability': 0.030575614, 'class': 'n04208210 shovel'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.5772396922111511;n02640242 sturgeon;n01440764;[{'probability': 0.5772397, 'class': 'n02640242 sturgeon'}, {'probability': 0.19956577, 'class': 'n02641379 gar'}, {'probability': 0.105807, 'class': 'n02514041 barracouta'}, {'probability': 0.041040443, 'class': 'n02536864 coho'}, {'probability': 0.010894741, 'class': 'n01494475 hammerhead'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.37058672308921814;n02526121 eel;n01440764;[{'probability': 0.37058672, 'class': 'n02526121 eel'}, {'probability': 0.15506154, 'class': 'n02395406 hog'}, {'probability': 0.1523646, 'class': 'n01632777 axolotl'}, {'probability': 0.06272131, 'class': 'n02443114 polecat'}, {'probability': 0.05510513, 'class': 'n01440764 tench'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.22688710689544678;n01632777 axolotl;n01443537;[{'probability': 0.2268871, 'class': 'n01632777 axolotl'}, {'probability': 0.09551407, 'class': 'n02655020 puffer'}, {'probability': 0.09550541, 'class': 'n01443537 goldfish'}, {'probability': 0.057301633, 'class': 'n02113978 Mexican_hairless'}, {'probability': 0.056011036, 'class': 'n02454379 armadillo'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.10157754272222519;n02815834 beaker;n01443537;[{'probability': 0.10157754, 'class': 'n02815834 beaker'}, {'probability': 0.08500244, 'class': 'n03788365 mosquito_net'}, {'probability': 0.05622676, 'class': 'n04296562 stage'}, {'probability': 0.05563175, 'class': 'n03958227 plastic_bag'}, {'probability': 0.051217828, 'class': 'n02791270 barbershop'}]
