image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.8215327262878418;n02443484 black-footed_ferret;n02443484;[{'probability': 0.8215327, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.11292817, 'class': 'n02342885 hamster'}, {'probability': 0.025514964, 'class': 'n02443114 polecat'}, {'probability': 0.019055849, 'class': 'n02442845 mink'}, {'probability': 0.010236706, 'class': 'n02441942 weasel'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.41110560297966003;n01742172 boa_constrictor;n02443484;[{'probability': 0.4111056, 'class': 'n01742172 boa_constrictor'}, {'probability': 0.17855169, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.10487577, 'class': 'n01817953 African_grey'}, {'probability': 0.057737455, 'class': 'n01748264 Indian_cobra'}, {'probability': 0.030866047, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.5301318168640137;n02443484 black-footed_ferret;n02443484;[{'probability': 0.5301318, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.36827633, 'class': 'n02441942 weasel'}, {'probability': 0.038184855, 'class': 'n02443114 polecat'}, {'probability': 0.027742345, 'class': 'n02808304 bath_towel'}, {'probability': 0.01642852, 'class': 'n02447366 badger'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5959789156913757;n02443484 black-footed_ferret;n02443484;[{'probability': 0.5959789, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.35600495, 'class': 'n02443114 polecat'}, {'probability': 0.042401582, 'class': 'n02441942 weasel'}, {'probability': 0.004601202, 'class': 'n02442845 mink'}, {'probability': 0.00032701498, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7709795236587524;n02443484 black-footed_ferret;n02443484;[{'probability': 0.7709795, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.13803786, 'class': 'n02443114 polecat'}, {'probability': 0.036802813, 'class': 'n02442845 mink'}, {'probability': 0.02323862, 'class': 'n02441942 weasel'}, {'probability': 0.011507242, 'class': 'n02395406 hog'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9747593998908997;n01440764 tench;n01440764;[{'probability': 0.9747594, 'class': 'n01440764 tench'}, {'probability': 0.0057252566, 'class': 'n02536864 coho'}, {'probability': 0.005655944, 'class': 'n04067472 reel'}, {'probability': 0.0053198286, 'class': 'n01945685 slug'}, {'probability': 0.0017483257, 'class': 'n02514041 barracouta'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.4858262836933136;n01440764 tench;n01440764;[{'probability': 0.48582628, 'class': 'n01440764 tench'}, {'probability': 0.21413317, 'class': 'n02640242 sturgeon'}, {'probability': 0.16323549, 'class': 'n02536864 coho'}, {'probability': 0.08507376, 'class': 'n02514041 barracouta'}, {'probability': 0.043325927, 'class': 'n02641379 gar'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9978310465812683;n01440764 tench;n01440764;[{'probability': 0.99783105, 'class': 'n01440764 tench'}, {'probability': 0.0020186875, 'class': 'n02526121 eel'}, {'probability': 0.00010581251, 'class': 'n01945685 slug'}, {'probability': 1.5024949e-05, 'class': 'n02443114 polecat'}, {'probability': 1.26661225e-05, 'class': 'n02443484 black-footed_ferret'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999514818191528;n01443537 goldfish;n01443537;[{'probability': 0.9999515, 'class': 'n01443537 goldfish'}, {'probability': 1.4903459e-05, 'class': 'n02606052 rock_beauty'}, {'probability': 1.070919e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 6.4051987e-06, 'class': 'n02007558 flamingo'}, {'probability': 4.1338785e-06, 'class': 'n02655020 puffer'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.8304088711738586;n01443537 goldfish;n01443537;[{'probability': 0.8304089, 'class': 'n01443537 goldfish'}, {'probability': 0.08387544, 'class': 'n04209239 shower_curtain'}, {'probability': 0.009315867, 'class': 'n04532106 vestment'}, {'probability': 0.006695502, 'class': 'n02927161 butcher_shop'}, {'probability': 0.0062638028, 'class': 'n03788365 mosquito_net'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9997307658195496;n01443537 goldfish;n01443537;[{'probability': 0.99973077, 'class': 'n01443537 goldfish'}, {'probability': 0.00010662933, 'class': 'n09256479 coral_reef'}, {'probability': 5.6704503e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 4.2162446e-05, 'class': 'n02606052 rock_beauty'}, {'probability': 9.857817e-06, 'class': 'n01914609 sea_anemone'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9789559841156006;n01484850 great_white_shark;n01484850;[{'probability': 0.978956, 'class': 'n01484850 great_white_shark'}, {'probability': 0.015853545, 'class': 'n01491361 tiger_shark'}, {'probability': 0.002807081, 'class': 'n01498041 stingray'}, {'probability': 0.00044060935, 'class': 'n02074367 dugong'}, {'probability': 0.00032734126, 'class': 'n01910747 jellyfish'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.9940057992935181;n01484850 great_white_shark;n01484850;[{'probability': 0.9940058, 'class': 'n01484850 great_white_shark'}, {'probability': 0.0037382122, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0005446081, 'class': 'n02134084 ice_bear'}, {'probability': 0.00045705642, 'class': 'n01496331 electric_ray'}, {'probability': 0.00044591344, 'class': 'n01494475 hammerhead'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00027514.JPEG;0.9956539869308472;n01484850 great_white_shark;n01484850;[{'probability': 0.995654, 'class': 'n01484850 great_white_shark'}, {'probability': 0.0042679394, 'class': 'n01491361 tiger_shark'}, {'probability': 2.7580207e-05, 'class': 'n02071294 killer_whale'}, {'probability': 1.928316e-05, 'class': 'n01496331 electric_ray'}, {'probability': 1.4375936e-05, 'class': 'n01494475 hammerhead'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00030127.JPEG;0.9910881519317627;n01484850 great_white_shark;n01484850;[{'probability': 0.99108815, 'class': 'n01484850 great_white_shark'}, {'probability': 0.0024280685, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0019674054, 'class': 'n02641379 gar'}, {'probability': 0.001778615, 'class': 'n02071294 killer_whale'}, {'probability': 0.0006801603, 'class': 'n02536864 coho'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00039445.JPEG;0.9890398979187012;n01484850 great_white_shark;n01484850;[{'probability': 0.9890399, 'class': 'n01484850 great_white_shark'}, {'probability': 0.0072446354, 'class': 'n02066245 grey_whale'}, {'probability': 0.002848986, 'class': 'n01491361 tiger_shark'}, {'probability': 0.00027775497, 'class': 'n02071294 killer_whale'}, {'probability': 0.00021388476, 'class': 'n02074367 dugong'}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00007875.JPEG;0.40433284640312195;n01484850 great_white_shark;n01491361;[{'probability': 0.40433285, 'class': 'n01484850 great_white_shark'}, {'probability': 0.1930082, 'class': 'n02655020 puffer'}, {'probability': 0.15254407, 'class': 'n01664065 loggerhead'}, {'probability': 0.042999633, 'class': 'n01491361 tiger_shark'}, {'probability': 0.041586507, 'class': 'n04251144 snorkel'}]
../dataset/imagenet-mini/val/n01491361/ILSVRC2012_val_00015631.JPEG;0.19037745893001556;n02077923 sea_lion;n01491361;[{'probability': 0.19037746, 'class': 'n02077923 sea_lion'}, {'probability': 0.1608246, 'class': 'n01494475 hammerhead'}, {'probability': 0.14014173, 'class': 'n10565667 scuba_diver'}, {'probability': 0.12951316, 'class': 'n01664065 loggerhead'}, {'probability': 0.077944174, 'class': 'n01498041 stingray'}]
