image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.8307332396507263;n02443484 black-footed_ferret;n02443484;[{'probability': 0.83073324, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.1309791, 'class': 'n02441942 weasel'}, {'probability': 0.013178368, 'class': 'n02443114 polecat'}, {'probability': 0.010491141, 'class': 'n02342885 hamster'}, {'probability': 0.0076717944, 'class': 'n02395406 hog'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.47144174575805664;n03840681 ocarina;n02443484;[{'probability': 0.47144175, 'class': 'n03840681 ocarina'}, {'probability': 0.25794348, 'class': 'n03825788 nipple'}, {'probability': 0.14403564, 'class': 'n07615774 ice_lolly'}, {'probability': 0.030067183, 'class': 'n02457408 three-toed_sloth'}, {'probability': 0.018104656, 'class': 'n07614500 ice_cream'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.4897547662258148;n01883070 wombat;n02443484;[{'probability': 0.48975477, 'class': 'n01883070 wombat'}, {'probability': 0.2912883, 'class': 'n02093647 Bedlington_terrier'}, {'probability': 0.04959578, 'class': 'n01882714 koala'}, {'probability': 0.0319807, 'class': 'n02361337 marmot'}, {'probability': 0.029346218, 'class': 'n02095570 Lakeland_terrier'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.8392127752304077;n02443484 black-footed_ferret;n02443484;[{'probability': 0.8392128, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.13756277, 'class': 'n02443114 polecat'}, {'probability': 0.022967702, 'class': 'n02441942 weasel'}, {'probability': 0.00024811967, 'class': 'n02442845 mink'}, {'probability': 4.19748e-06, 'class': 'n02444819 otter'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.8259560465812683;n02443484 black-footed_ferret;n02443484;[{'probability': 0.82595605, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.08618084, 'class': 'n02443114 polecat'}, {'probability': 0.059374474, 'class': 'n02441942 weasel'}, {'probability': 0.009862582, 'class': 'n02364673 guinea_pig'}, {'probability': 0.007866249, 'class': 'n02442845 mink'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9999116659164429;n01440764 tench;n01440764;[{'probability': 0.99991167, 'class': 'n01440764 tench'}, {'probability': 7.633851e-05, 'class': 'n02536864 coho'}, {'probability': 4.149628e-06, 'class': 'n02398521 hippopotamus'}, {'probability': 3.410394e-06, 'class': 'n04111531 rotisserie'}, {'probability': 8.6648174e-07, 'class': 'n01873310 platypus'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9989323019981384;n01440764 tench;n01440764;[{'probability': 0.9989323, 'class': 'n01440764 tench'}, {'probability': 0.0006975084, 'class': 'n02536864 coho'}, {'probability': 0.0002217452, 'class': 'n02514041 barracouta'}, {'probability': 0.00013818947, 'class': 'n02641379 gar'}, {'probability': 3.1115649e-06, 'class': 'n04067472 reel'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9855645298957825;n01440764 tench;n01440764;[{'probability': 0.98556453, 'class': 'n01440764 tench'}, {'probability': 0.01115456, 'class': 'n02526121 eel'}, {'probability': 0.0012088403, 'class': 'n01945685 slug'}, {'probability': 0.00081613375, 'class': 'n01943899 conch'}, {'probability': 0.00044527615, 'class': 'n01632777 axolotl'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9978840947151184;n01443537 goldfish;n01443537;[{'probability': 0.9978841, 'class': 'n01443537 goldfish'}, {'probability': 0.0009871189, 'class': 'n02606052 rock_beauty'}, {'probability': 0.0001672211, 'class': 'n02607072 anemone_fish'}, {'probability': 0.00012403195, 'class': 'n01440764 tench'}, {'probability': 7.496162e-05, 'class': 'n02655020 puffer'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.602487325668335;n02007558 flamingo;n01443537;[{'probability': 0.6024873, 'class': 'n02007558 flamingo'}, {'probability': 0.21092351, 'class': 'n01443537 goldfish'}, {'probability': 0.08817128, 'class': 'n01818515 macaw'}, {'probability': 0.029915059, 'class': 'n04111531 rotisserie'}, {'probability': 0.011860505, 'class': 'n01514668 cock'}]
