image;probability;guess_class;real_class;other_predictions
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.9821090698242188;n02342885 hamster;n02443484;[{'probability': 0.98210907, 'class': 'n02342885 hamster'}, {'probability': 0.00834942, 'class': 'n02441942 weasel'}, {'probability': 0.0052306764, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.0018226245, 'class': 'n02442845 mink'}, {'probability': 0.001691296, 'class': 'n02443114 polecat'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.5235944986343384;n07880968 burrito;n02443484;[{'probability': 0.5235945, 'class': 'n07880968 burrito'}, {'probability': 0.16024473, 'class': 'n02113624 toy_poodle'}, {'probability': 0.06448819, 'class': 'n02096177 cairn'}, {'probability': 0.039407045, 'class': 'n02095570 Lakeland_terrier'}, {'probability': 0.018920677, 'class': 'n02342885 hamster'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.3219623565673828;n02443484 black-footed_ferret;n02443484;[{'probability': 0.32196236, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.18688172, 'class': 'n02094114 Norfolk_terrier'}, {'probability': 0.10402239, 'class': 'n02097047 miniature_schnauzer'}, {'probability': 0.08601796, 'class': 'n02808304 bath_towel'}, {'probability': 0.0452394, 'class': 'n04399382 teddy'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.9083959460258484;n02443484 black-footed_ferret;n02443484;[{'probability': 0.90839595, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.08266635, 'class': 'n02443114 polecat'}, {'probability': 0.007692425, 'class': 'n02441942 weasel'}, {'probability': 0.00050122937, 'class': 'n02444819 otter'}, {'probability': 0.0003193558, 'class': 'n02447366 badger'}]
../dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7530890107154846;n02443484 black-footed_ferret;n02443484;[{'probability': 0.753089, 'class': 'n02443484 black-footed_ferret'}, {'probability': 0.16380653, 'class': 'n02443114 polecat'}, {'probability': 0.043568637, 'class': 'n02441942 weasel'}, {'probability': 0.01824377, 'class': 'n02364673 guinea_pig'}, {'probability': 0.005058542, 'class': 'n02120079 Arctic_fox'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.8863664865493774;n01440764 tench;n01440764;[{'probability': 0.8863665, 'class': 'n01440764 tench'}, {'probability': 0.03032956, 'class': 'n04111531 rotisserie'}, {'probability': 0.011244918, 'class': 'n03481172 hammer'}, {'probability': 0.009664363, 'class': 'n01945685 slug'}, {'probability': 0.0065904157, 'class': 'n01985128 crayfish'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.9938544034957886;n01440764 tench;n01440764;[{'probability': 0.9938544, 'class': 'n01440764 tench'}, {'probability': 0.005069832, 'class': 'n02536864 coho'}, {'probability': 0.00056665036, 'class': 'n02514041 barracouta'}, {'probability': 0.00026465932, 'class': 'n02640242 sturgeon'}, {'probability': 6.2749605e-05, 'class': 'n02526121 eel'}]
../dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9957549571990967;n01440764 tench;n01440764;[{'probability': 0.99575496, 'class': 'n01440764 tench'}, {'probability': 0.003132499, 'class': 'n02526121 eel'}, {'probability': 0.00037431208, 'class': 'n02514041 barracouta'}, {'probability': 0.0002182119, 'class': 'n02640242 sturgeon'}, {'probability': 0.00018637581, 'class': 'n02443484 black-footed_ferret'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9998341798782349;n01443537 goldfish;n01443537;[{'probability': 0.9998342, 'class': 'n01443537 goldfish'}, {'probability': 8.1966136e-05, 'class': 'n01440764 tench'}, {'probability': 6.3980835e-05, 'class': 'n02606052 rock_beauty'}, {'probability': 1.2176906e-05, 'class': 'n02607072 anemone_fish'}, {'probability': 3.6980512e-06, 'class': 'n02655020 puffer'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.6185963153839111;n01443537 goldfish;n01443537;[{'probability': 0.6185963, 'class': 'n01443537 goldfish'}, {'probability': 0.13937604, 'class': 'n02927161 butcher_shop'}, {'probability': 0.025536938, 'class': 'n04442312 toaster'}, {'probability': 0.020754913, 'class': 'n02007558 flamingo'}, {'probability': 0.013374869, 'class': 'n02011460 bittern'}]
../dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9999954700469971;n01443537 goldfish;n01443537;[{'probability': 0.99999547, 'class': 'n01443537 goldfish'}, {'probability': 2.634707e-06, 'class': 'n01440764 tench'}, {'probability': 1.2613813e-06, 'class': 'n02606052 rock_beauty'}, {'probability': 3.3462442e-07, 'class': 'n01632777 axolotl'}, {'probability': 1.3949008e-07, 'class': 'n02641379 gar'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9850720763206482;n01484850 great_white_shark;n01484850;[{'probability': 0.9850721, 'class': 'n01484850 great_white_shark'}, {'probability': 0.009576388, 'class': 'n01498041 stingray'}, {'probability': 0.0024961783, 'class': 'n01491361 tiger_shark'}, {'probability': 0.0009693602, 'class': 'n02074367 dugong'}, {'probability': 0.0005939356, 'class': 'n02071294 killer_whale'}]
../dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.6854482889175415;n01484850 great_white_shark;n01484850;[{'probability': 0.6854483, 'class': 'n01484850 great_white_shark'}, {'probability': 0.1924907, 'class': 'n01494475 hammerhead'}, {'probability': 0.036807347, 'class': 'n01491361 tiger_shark'}, {'probability': 0.026768902, 'class': 'n01498041 stingray'}, {'probability': 0.025364792, 'class': 'n02071294 killer_whale'}]
