image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;412.8669738769531;n02948072 candle, taper, wax light;n02443484;[{'probability': 412.8669738769531, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 371.8747863769531, 'class': 'n04456115 torch'}, {'probability': 318.0507507324219, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 312.9015808105469, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 305.24017333984375, 'class': 'n03729826 matchstick'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;330.3721008300781;n02948072 candle, taper, wax light;n02443484;[{'probability': 330.3721008300781, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 275.0980529785156, 'class': 'n04456115 torch'}, {'probability': 237.78074645996094, 'class': 'n03729826 matchstick'}, {'probability': 235.93887329101562, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 230.8502960205078, 'class': 'n03666591 lighter, light, igniter, ignitor'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;293.1528015136719;n02948072 candle, taper, wax light;n02443484;[{'probability': 293.1528015136719, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 231.49510192871094, 'class': 'n04456115 torch'}, {'probability': 221.25479125976562, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 192.9778594970703, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 182.06874084472656, 'class': 'n03729826 matchstick'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;201.40809631347656;n02948072 candle, taper, wax light;n02443484;[{'probability': 201.40809631347656, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 163.59512329101562, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 131.02845764160156, 'class': 'n04456115 torch'}, {'probability': 117.00601196289062, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 116.17434692382812, 'class': 'n03729826 matchstick'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;334.5867919921875;n02948072 candle, taper, wax light;n02443484;[{'probability': 334.5867919921875, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 253.69924926757812, 'class': 'n04456115 torch'}, {'probability': 252.46839904785156, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 220.95413208007812, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 215.38595581054688, 'class': 'n03729826 matchstick'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;323.45751953125;n02948072 candle, taper, wax light;n01440764;[{'probability': 323.45751953125, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 287.9272155761719, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 287.07940673828125, 'class': 'n04380533 table lamp'}, {'probability': 285.6003112792969, 'class': 'n02056570 king penguin, Aptenodytes patagonica'}, {'probability': 284.5731506347656, 'class': 'n09472597 volcano'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;247.67298889160156;n02948072 candle, taper, wax light;n01440764;[{'probability': 247.67298889160156, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 182.68455505371094, 'class': 'n04456115 torch'}, {'probability': 176.32859802246094, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 171.4888916015625, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 160.95501708984375, 'class': 'n03729826 matchstick'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;258.7286682128906;n02948072 candle, taper, wax light;n01440764;[{'probability': 258.7286682128906, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 179.29498291015625, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 174.07383728027344, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 169.41358947753906, 'class': 'n04456115 torch'}, {'probability': 162.84877014160156, 'class': 'n04330267 stove'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;242.42269897460938;n02948072 candle, taper, wax light;n01443537;[{'probability': 242.42269897460938, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 199.49362182617188, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 185.1724090576172, 'class': 'n04456115 torch'}, {'probability': 169.79400634765625, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 159.3828125, 'class': 'n09472597 volcano'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;118.09191131591797;n02948072 candle, taper, wax light;n01443537;[{'probability': 118.09191131591797, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 96.14458465576172, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 90.3829574584961, 'class': 'n04456115 torch'}, {'probability': 81.36335754394531, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 80.01131439208984, 'class': 'n04330267 stove'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;290.78961181640625;n02948072 candle, taper, wax light;n01443537;[{'probability': 290.78961181640625, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 274.9881286621094, 'class': 'n09472597 volcano'}, {'probability': 240.4456787109375, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 236.04443359375, 'class': 'n04380533 table lamp'}, {'probability': 226.89369201660156, 'class': 'n04613696 yurt'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;197.60549926757812;n02948072 candle, taper, wax light;n01484850;[{'probability': 197.60549926757812, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 177.19854736328125, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 173.82171630859375, 'class': 'n04456115 torch'}, {'probability': 139.31137084960938, 'class': 'n03666591 lighter, light, igniter, ignitor'}, {'probability': 131.7204132080078, 'class': 'n09472597 volcano'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;299.2716064453125;n02948072 candle, taper, wax light;n01484850;[{'probability': 299.2716064453125, 'class': 'n02948072 candle, taper, wax light'}, {'probability': 271.66436767578125, 'class': 'n04456115 torch'}, {'probability': 238.5108184814453, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 208.63636779785156, 'class': 'n03729826 matchstick'}, {'probability': 204.24253845214844, 'class': 'n03666591 lighter, light, igniter, ignitor'}]
