image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.38487866520881653;n02442845 mink;n02443484;[{'probability': 0.38487866520881653, 'class': 'n02442845 mink'}, {'probability': 0.34199902415275574, 'class': 'n02342885 hamster'}, {'probability': 0.2240043580532074, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.014654511585831642, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.014268971048295498, 'class': 'n02441942 weasel'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.16710500419139862;n01883070 wombat;n02443484;[{'probability': 0.16710500419139862, 'class': 'n01883070 wombat'}, {'probability': 0.09692348539829254, 'class': 'n02124075 Egyptian cat'}, {'probability': 0.09033537656068802, 'class': 'n02441942 weasel'}, {'probability': 0.09016246348619461, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.07191937416791916, 'class': 'n01677366 common iguana, iguana, Iguana iguana'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.34158095717430115;n02441942 weasel;n02443484;[{'probability': 0.34158095717430115, 'class': 'n02441942 weasel'}, {'probability': 0.3252711892127991, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.20990855991840363, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.10124266147613525, 'class': 'n02442845 mink'}, {'probability': 0.006658346392214298, 'class': 'n02093647 Bedlington terrier'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.49886080622673035;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.49886080622673035, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.3750975728034973, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.11339486390352249, 'class': 'n02441942 weasel'}, {'probability': 0.01174856349825859, 'class': 'n02442845 mink'}, {'probability': 0.0005324562080204487, 'class': 'n02447366 badger'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.34591296315193176;n02441942 weasel;n02443484;[{'probability': 0.34591296315193176, 'class': 'n02441942 weasel'}, {'probability': 0.3222234547138214, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.2474879026412964, 'class': 'n02442845 mink'}, {'probability': 0.08292542397975922, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.0006901290034875274, 'class': 'n02342885 hamster'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9993743300437927;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.9993743300437927, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.00028296609525568783, 'class': 'n01945685 slug'}, {'probability': 0.00014540087431669235, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.0001270908978767693, 'class': 'n01944390 snail'}, {'probability': 3.485473644104786e-05, 'class': 'n04067472 reel'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.6073313355445862;n02514041 barracouta, snoek;n01440764;[{'probability': 0.6073313355445862, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.1949893832206726, 'class': 'n02640242 sturgeon'}, {'probability': 0.10519670695066452, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}, {'probability': 0.04936375096440315, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.03844273462891579, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9939354062080383;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.9939354062080383, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.00538360932841897, 'class': 'n02526121 eel'}, {'probability': 0.0002035022189375013, 'class': 'n01632777 axolotl, mud puppy, Ambystoma mexicanum'}, {'probability': 0.00011999958223896101, 'class': 'n07716358 zucchini, courgette'}, {'probability': 0.00010997884965036064, 'class': 'n01945685 slug'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999998807907104;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.9999998807907104, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 1.0239097036901512e-07, 'class': 'n02607072 anemone fish'}, {'probability': 1.0696392216402728e-08, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 5.091818966462824e-09, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 9.977909609659719e-10, 'class': 'n01632777 axolotl, mud puppy, Ambystoma mexicanum'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.9242708086967468;n03788365 mosquito net;n01443537;[{'probability': 0.9242708086967468, 'class': 'n03788365 mosquito net'}, {'probability': 0.06634484231472015, 'class': 'n04209239 shower curtain'}, {'probability': 0.0024602047633379698, 'class': 'n02815834 beaker'}, {'probability': 0.0010319460416212678, 'class': 'n03958227 plastic bag'}, {'probability': 0.0007634285720996559, 'class': "n03877472 pajama, pyjama, pj's, jammies"}]
