image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.6181424260139465;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.6181424260139465, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.1561734676361084, 'class': 'n02441942 weasel'}, {'probability': 0.13197384774684906, 'class': 'n02442845 mink'}, {'probability': 0.07656847685575485, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.014000868424773216, 'class': 'n02342885 hamster'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.23978139460086823;n07880968 burrito;n02443484;[{'probability': 0.23978139460086823, 'class': 'n07880968 burrito'}, {'probability': 0.062241584062576294, 'class': 'n02102318 cocker spaniel, English cocker spaniel, cocker'}, {'probability': 0.05918653681874275, 'class': 'n02108422 bull mastiff'}, {'probability': 0.057324156165122986, 'class': 'n02093428 American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier'}, {'probability': 0.041906505823135376, 'class': 'n01742172 boa constrictor, Constrictor constrictor'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.3968275487422943;n02342885 hamster;n02443484;[{'probability': 0.3968275487422943, 'class': 'n02342885 hamster'}, {'probability': 0.13241109251976013, 'class': 'n02441942 weasel'}, {'probability': 0.09850744158029556, 'class': 'n02808304 bath towel'}, {'probability': 0.09236988425254822, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.06643623858690262, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.5267531871795654;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.5267531871795654, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.44447433948516846, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.01699020154774189, 'class': 'n02441942 weasel'}, {'probability': 0.0055608851835131645, 'class': 'n02442845 mink'}, {'probability': 0.004418139345943928, 'class': 'n02444819 otter'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.5977528095245361;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.5977528095245361, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.15151643753051758, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.09975895285606384, 'class': 'n02441942 weasel'}, {'probability': 0.050969868898391724, 'class': 'n02442845 mink'}, {'probability': 0.03681308403611183, 'class': 'n02364673 guinea pig, Cavia cobaya'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.3836800456047058;n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;n01440764;[{'probability': 0.3836800456047058, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.1840973198413849, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.12304127961397171, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.1209806278347969, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}, {'probability': 0.07045064121484756, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.4426315426826477;n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;n01440764;[{'probability': 0.4426315426826477, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.24295668303966522, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}, {'probability': 0.19062107801437378, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.07969902455806732, 'class': 'n02640242 sturgeon'}, {'probability': 0.028731541708111763, 'class': 'n01440764 tench, Tinca tinca'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.48419541120529175;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.48419541120529175, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.350480318069458, 'class': 'n02526121 eel'}, {'probability': 0.059212010353803635, 'class': 'n02441942 weasel'}, {'probability': 0.010799301788210869, 'class': 'n02640242 sturgeon'}, {'probability': 0.01054823026061058, 'class': 'n01930112 nematode, nematode worm, roundworm'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.991364598274231;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.991364598274231, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.004072997253388166, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.001774249947629869, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 0.0010152413742616773, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}, {'probability': 0.0005247459630481899, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.9388411641120911;n02815834 beaker;n01443537;[{'probability': 0.9388411641120911, 'class': 'n02815834 beaker'}, {'probability': 0.010336258448660374, 'class': 'n03630383 lab coat, laboratory coat'}, {'probability': 0.010188895277678967, 'class': 'n04209239 shower curtain'}, {'probability': 0.0037964023649692535, 'class': 'n02823750 beer glass'}, {'probability': 0.0036845470312982798, 'class': 'n03443371 goblet'}]
