image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.6583534479141235;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.6583534479141235, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.1431286334991455, 'class': 'n02442845 mink'}, {'probability': 0.10608386993408203, 'class': 'n02441942 weasel'}, {'probability': 0.07979295402765274, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.00442915316671133, 'class': 'n02342885 hamster'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.928193986415863;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.928193986415863, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.04160904511809349, 'class': 'n02441942 weasel'}, {'probability': 0.030179183930158615, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 8.85039844433777e-06, 'class': 'n02442845 mink'}, {'probability': 7.18968522051e-06, 'class': 'n02447366 badger'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.7634744644165039;n02808304 bath towel;n02443484;[{'probability': 0.7634744644165039, 'class': 'n02808304 bath towel'}, {'probability': 0.059543803334236145, 'class': 'n02441942 weasel'}, {'probability': 0.042070504277944565, 'class': 'n02356798 fox squirrel, eastern fox squirrel, Sciurus niger'}, {'probability': 0.02563317120075226, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.02252635359764099, 'class': 'n02342885 hamster'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.6053240895271301;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.6053240895271301, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.37041065096855164, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.023273013532161713, 'class': 'n02441942 weasel'}, {'probability': 0.0005121661815792322, 'class': 'n02442845 mink'}, {'probability': 0.00019771262304857373, 'class': 'n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.7175840139389038;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.7175840139389038, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.1650513857603073, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.08643411844968796, 'class': 'n02441942 weasel'}, {'probability': 0.007993867620825768, 'class': 'n02442845 mink'}, {'probability': 0.007235666271299124, 'class': 'n02447366 badger'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9987415671348572;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.9987415671348572, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.000678008422255516, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.00026262414758093655, 'class': 'n02514041 barracouta, snoek'}, {'probability': 8.835078187985346e-05, 'class': 'n04090263 rifle'}, {'probability': 6.622628279728815e-05, 'class': 'n04067472 reel'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.999771773815155;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.999771773815155, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 9.398777183378115e-05, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 7.475791790056974e-05, 'class': 'n02514041 barracouta, snoek'}, {'probability': 4.641426494345069e-05, 'class': 'n02640242 sturgeon'}, {'probability': 1.1032452675863169e-05, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.9067433476448059;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.9067433476448059, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.07965370267629623, 'class': 'n02526121 eel'}, {'probability': 0.000984563259407878, 'class': 'n01945685 slug'}, {'probability': 0.0009255442419089377, 'class': 'n01740131 night snake, Hypsiglena torquata'}, {'probability': 0.0008105147280730307, 'class': 'n01751748 sea snake'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.9876230955123901;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.9876230955123901, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.007280685473233461, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 0.002055229851976037, 'class': 'n02607072 anemone fish'}, {'probability': 0.000897613528650254, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}, {'probability': 0.0004003792710136622, 'class': 'n01440764 tench, Tinca tinca'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.1410040408372879;n01514668 cock;n01443537;[{'probability': 0.1410040408372879, 'class': 'n01514668 cock'}, {'probability': 0.05877474322915077, 'class': 'n03916031 perfume, essence'}, {'probability': 0.05711837485432625, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.048831503838300705, 'class': 'n01514859 hen'}, {'probability': 0.04510849341750145, 'class': 'n01985128 crayfish, crawfish, crawdad, crawdaddy'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9951392412185669;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.9951392412185669, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.002913366537541151, 'class': 'n02607072 anemone fish'}, {'probability': 0.000658602686598897, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 0.0005831436137668788, 'class': 'n09256479 coral reef'}, {'probability': 0.0002724678488448262, 'class': 'n01440764 tench, Tinca tinca'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.9663854241371155;n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias;n01484850;[{'probability': 0.9663854241371155, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.02471875585615635, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.005133055150508881, 'class': 'n02071294 killer whale, killer, orca, grampus, sea wolf, Orcinus orca'}, {'probability': 0.0006410921341739595, 'class': 'n02704792 amphibian, amphibious vehicle'}, {'probability': 0.00039704632945358753, 'class': 'n01498041 stingray'}]
