image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.5865731835365295;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.5865731835365295, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.1911575347185135, 'class': 'n02442845 mink'}, {'probability': 0.11338147521018982, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.10288030654191971, 'class': 'n02441942 weasel'}, {'probability': 0.002303863177075982, 'class': 'n03207941 dishwasher, dish washer, dishwashing machine'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.7360845804214478;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.7360845804214478, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.1900867074728012, 'class': 'n02441942 weasel'}, {'probability': 0.06839513033628464, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.0013855714350938797, 'class': 'n02457408 three-toed sloth, ai, Bradypus tridactylus'}, {'probability': 0.000983399455435574, 'class': 'n02442845 mink'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.6313152313232422;n02808304 bath towel;n02443484;[{'probability': 0.6313152313232422, 'class': 'n02808304 bath towel'}, {'probability': 0.13661549985408783, 'class': 'n02356798 fox squirrel, eastern fox squirrel, Sciurus niger'}, {'probability': 0.03739910572767258, 'class': 'n02342885 hamster'}, {'probability': 0.03442342206835747, 'class': 'n02441942 weasel'}, {'probability': 0.019090913236141205, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.8481603860855103;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.8481603860855103, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.13888844847679138, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.012014561332762241, 'class': 'n02441942 weasel'}, {'probability': 0.00048381893429905176, 'class': 'n02509815 lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens'}, {'probability': 0.00035664637107402086, 'class': 'n02442845 mink'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.6558209657669067;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.6558209657669067, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.18641284108161926, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.13585175573825836, 'class': 'n02441942 weasel'}, {'probability': 0.013026794418692589, 'class': 'n02442845 mink'}, {'probability': 0.0025585924740880728, 'class': 'n02342885 hamster'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.9720094799995422;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.9720094799995422, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.014607656747102737, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.0066682761535048485, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.0032105722930282354, 'class': 'n04067472 reel'}, {'probability': 0.0006506172358058393, 'class': 'n02640242 sturgeon'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.6184423565864563;n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;n01440764;[{'probability': 0.6184423565864563, 'class': 'n02536864 coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch'}, {'probability': 0.3295161724090576, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.02979564666748047, 'class': 'n02640242 sturgeon'}, {'probability': 0.017478061839938164, 'class': 'n02514041 barracouta, snoek'}, {'probability': 0.003101732349023223, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.7339598536491394;n01440764 tench, Tinca tinca;n01440764;[{'probability': 0.7339598536491394, 'class': 'n01440764 tench, Tinca tinca'}, {'probability': 0.0499456450343132, 'class': 'n02441942 weasel'}, {'probability': 0.04954741895198822, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.03445695713162422, 'class': 'n02526121 eel'}, {'probability': 0.021180136129260063, 'class': 'n02395406 hog, pig, grunter, squealer, Sus scrofa'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.5631628036499023;n02655020 puffer, pufferfish, blowfish, globefish;n01443537;[{'probability': 0.5631628036499023, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}, {'probability': 0.13154184818267822, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.049698539078235626, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 0.028114868327975273, 'class': 'n01873310 platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus'}, {'probability': 0.02558961696922779, 'class': 'n01632777 axolotl, mud puppy, Ambystoma mexicanum'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.33701053261756897;n02815834 beaker;n01443537;[{'probability': 0.33701053261756897, 'class': 'n02815834 beaker'}, {'probability': 0.09216800332069397, 'class': 'n04209239 shower curtain'}, {'probability': 0.05374358966946602, 'class': 'n04462240 toyshop'}, {'probability': 0.029172047972679138, 'class': 'n03630383 lab coat, laboratory coat'}, {'probability': 0.02744463086128235, 'class': 'n03733805 measuring cup'}]
