image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.22226396203041077;n02342885 hamster;n02443484;[{'probability': 0.22226396203041077, 'class': 'n02342885 hamster'}, {'probability': 0.20087842643260956, 'class': 'n03207941 dishwasher, dish washer, dishwashing machine'}, {'probability': 0.16006919741630554, 'class': 'n04070727 refrigerator, icebox'}, {'probability': 0.14870598912239075, 'class': 'n02442845 mink'}, {'probability': 0.049716345965862274, 'class': 'n03929660 pick, plectrum, plectron'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.13627107441425323;n04590129 window shade;n02443484;[{'probability': 0.13627107441425323, 'class': 'n04590129 window shade'}, {'probability': 0.07002749294042587, 'class': 'n04589890 window screen'}, {'probability': 0.04016534239053726, 'class': 'n07880968 burrito'}, {'probability': 0.035888317972421646, 'class': 'n07695742 pretzel'}, {'probability': 0.029819712042808533, 'class': 'n07615774 ice lolly, lolly, lollipop, popsicle'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.2774885296821594;n02441942 weasel;n02443484;[{'probability': 0.2774885296821594, 'class': 'n02441942 weasel'}, {'probability': 0.2124374806880951, 'class': 'n02356798 fox squirrel, eastern fox squirrel, Sciurus niger'}, {'probability': 0.10748501121997833, 'class': 'n02342885 hamster'}, {'probability': 0.09713657200336456, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.06956525146961212, 'class': 'n02808304 bath towel'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.41357526183128357;n02443114 polecat, fitch, foulmart, foumart, Mustela putorius;n02443484;[{'probability': 0.41357526183128357, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.3915472626686096, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.1643664687871933, 'class': 'n02441942 weasel'}, {'probability': 0.028301279991865158, 'class': 'n02442845 mink'}, {'probability': 0.0009503107867203653, 'class': 'n02444819 otter'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.4648892283439636;n02441942 weasel;n02443484;[{'probability': 0.4648892283439636, 'class': 'n02441942 weasel'}, {'probability': 0.19286614656448364, 'class': 'n02442845 mink'}, {'probability': 0.1598956137895584, 'class': 'n02342885 hamster'}, {'probability': 0.07984574884176254, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.03743794187903404, 'class': 'n02325366 wood rabbit, cottontail, cottontail rabbit'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.6366689205169678;n04376876 syringe;n01440764;[{'probability': 0.6366689205169678, 'class': 'n04376876 syringe'}, {'probability': 0.15303562581539154, 'class': 'n03958227 plastic bag'}, {'probability': 0.026874307543039322, 'class': 'n03250847 drumstick'}, {'probability': 0.024246055632829666, 'class': 'n04154565 screwdriver'}, {'probability': 0.01759255863726139, 'class': 'n03876231 paintbrush'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.49434158205986023;n04039381 racket, racquet;n01440764;[{'probability': 0.49434158205986023, 'class': 'n04039381 racket, racquet'}, {'probability': 0.12125203013420105, 'class': 'n02641379 gar, garfish, garpike, billfish, Lepisosteus osseus'}, {'probability': 0.0920996144413948, 'class': 'n09835506 ballplayer, baseball player'}, {'probability': 0.07717110961675644, 'class': 'n02640242 sturgeon'}, {'probability': 0.07507716864347458, 'class': 'n04409515 tennis ball'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.2315642386674881;n02441942 weasel;n01440764;[{'probability': 0.2315642386674881, 'class': 'n02441942 weasel'}, {'probability': 0.19120720028877258, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.17552199959754944, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.06769021600484848, 'class': 'n01910747 jellyfish'}, {'probability': 0.06596685945987701, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.5697227716445923;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.5697227716445923, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.044968679547309875, 'class': 'n02655020 puffer, pufferfish, blowfish, globefish'}, {'probability': 0.028327642008662224, 'class': 'n03188531 diaper, nappy, napkin'}, {'probability': 0.02767011523246765, 'class': 'n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita'}, {'probability': 0.021881379187107086, 'class': 'n09229709 bubble'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.41284430027008057;n03788365 mosquito net;n01443537;[{'probability': 0.41284430027008057, 'class': 'n03788365 mosquito net'}, {'probability': 0.26832258701324463, 'class': 'n03958227 plastic bag'}, {'probability': 0.0858834907412529, 'class': 'n03868863 oxygen mask'}, {'probability': 0.06875523179769516, 'class': 'n02815834 beaker'}, {'probability': 0.0351848229765892, 'class': 'n04209239 shower curtain'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00020822.JPEG;0.9454568028450012;n01443537 goldfish, Carassius auratus;n01443537;[{'probability': 0.9454568028450012, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 0.009059944190084934, 'class': 'n01914609 sea anemone, anemone'}, {'probability': 0.008706260472536087, 'class': 'n01910747 jellyfish'}, {'probability': 0.005316013935953379, 'class': 'n02643566 lionfish'}, {'probability': 0.004397138487547636, 'class': 'n03388043 fountain'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00014467.JPEG;0.5785245895385742;n01498041 stingray;n01484850;[{'probability': 0.5785245895385742, 'class': 'n01498041 stingray'}, {'probability': 0.1107788011431694, 'class': 'n02807133 bathing cap, swimming cap'}, {'probability': 0.0502048060297966, 'class': 'n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus'}, {'probability': 0.0209078099578619, 'class': 'n09428293 seashore, coast, seacoast, sea-coast'}, {'probability': 0.01974106766283512, 'class': 'n02074367 dugong, Dugong dugon'}]
dataset/imagenet-mini/val/n01484850/ILSVRC2012_val_00019409.JPEG;0.3043151795864105;n03958227 plastic bag;n01484850;[{'probability': 0.3043151795864105, 'class': 'n03958227 plastic bag'}, {'probability': 0.18029166758060455, 'class': 'n01494475 hammerhead, hammerhead shark'}, {'probability': 0.13850678503513336, 'class': 'n01484850 great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias'}, {'probability': 0.09910742193460464, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.023009207099676132, 'class': 'n01496331 electric ray, crampfish, numbfish, torpedo'}]
