image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;61.97267150878906;n02708093 analog clock;n02443484;[{'probability': 61.97267150878906, 'class': 'n02708093 analog clock'}, {'probability': 53.1942024230957, 'class': 'n04152593 screen, CRT screen'}, {'probability': 49.18667221069336, 'class': 'n03197337 digital watch'}, {'probability': 48.829376220703125, 'class': 'n04404412 television, television system'}, {'probability': 47.19191360473633, 'class': 'n03196217 digital clock'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;52.03780746459961;n02708093 analog clock;n02443484;[{'probability': 52.03780746459961, 'class': 'n02708093 analog clock'}, {'probability': 51.93634796142578, 'class': 'n04404412 television, television system'}, {'probability': 49.676605224609375, 'class': 'n04243546 slot, one-armed bandit'}, {'probability': 45.49122619628906, 'class': 'n04152593 screen, CRT screen'}, {'probability': 37.31851577758789, 'class': 'n03196217 digital clock'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;26.350353240966797;n04404412 television, television system;n02443484;[{'probability': 26.350353240966797, 'class': 'n04404412 television, television system'}, {'probability': 22.914859771728516, 'class': 'n04152593 screen, CRT screen'}, {'probability': 22.886568069458008, 'class': 'n03761084 microwave, microwave oven'}, {'probability': 21.895769119262695, 'class': 'n03196217 digital clock'}, {'probability': 21.864181518554688, 'class': 'n04019541 puck, hockey puck'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;40.61203384399414;n04404412 television, television system;n02443484;[{'probability': 40.61203384399414, 'class': 'n04404412 television, television system'}, {'probability': 34.97003936767578, 'class': 'n04152593 screen, CRT screen'}, {'probability': 33.594459533691406, 'class': 'n04228054 ski'}, {'probability': 32.78470230102539, 'class': 'n02783161 ballpoint, ballpoint pen, ballpen, Biro'}, {'probability': 32.371517181396484, 'class': 'n02708093 analog clock'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;30.72069549560547;n04152593 screen, CRT screen;n02443484;[{'probability': 30.72069549560547, 'class': 'n04152593 screen, CRT screen'}, {'probability': 29.25418472290039, 'class': 'n03857828 oscilloscope, scope, cathode-ray oscilloscope, CRO'}, {'probability': 28.780244827270508, 'class': 'n04404412 television, television system'}, {'probability': 28.112716674804688, 'class': 'n02708093 analog clock'}, {'probability': 26.08225440979004, 'class': 'n03196217 digital clock'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;56.009403228759766;n02708093 analog clock;n01440764;[{'probability': 56.009403228759766, 'class': 'n02708093 analog clock'}, {'probability': 54.478214263916016, 'class': 'n04152593 screen, CRT screen'}, {'probability': 51.9847412109375, 'class': 'n04404412 television, television system'}, {'probability': 40.53449630737305, 'class': 'n03857828 oscilloscope, scope, cathode-ray oscilloscope, CRO'}, {'probability': 39.51699447631836, 'class': 'n03196217 digital clock'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;42.11013412475586;n02708093 analog clock;n01440764;[{'probability': 42.11013412475586, 'class': 'n02708093 analog clock'}, {'probability': 34.94586944580078, 'class': 'n04404412 television, television system'}, {'probability': 32.136863708496094, 'class': 'n04152593 screen, CRT screen'}, {'probability': 32.13197326660156, 'class': 'n03196217 digital clock'}, {'probability': 30.29097557067871, 'class': 'n03197337 digital watch'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;51.01982116699219;n04152593 screen, CRT screen;n01440764;[{'probability': 51.01982116699219, 'class': 'n04152593 screen, CRT screen'}, {'probability': 49.982566833496094, 'class': 'n04404412 television, television system'}, {'probability': 45.744510650634766, 'class': 'n02708093 analog clock'}, {'probability': 39.134220123291016, 'class': 'n03782006 monitor'}, {'probability': 36.982948303222656, 'class': 'n04228054 ski'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;34.85105514526367;n04023962 punching bag, punch bag, punching ball, punchball;n01443537;[{'probability': 34.85105514526367, 'class': 'n04023962 punching bag, punch bag, punching ball, punchball'}, {'probability': 27.694311141967773, 'class': 'n04579432 whistle'}, {'probability': 22.681137084960938, 'class': 'n02606052 rock beauty, Holocanthus tricolor'}, {'probability': 22.446557998657227, 'class': 'n04404412 television, television system'}, {'probability': 22.433456420898438, 'class': 'n02708093 analog clock'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;17.16236686706543;n02701002 ambulance;n01443537;[{'probability': 17.16236686706543, 'class': 'n02701002 ambulance'}, {'probability': 16.703208923339844, 'class': 'n01443537 goldfish, Carassius auratus'}, {'probability': 14.287773132324219, 'class': 'n04228054 ski'}, {'probability': 14.257808685302734, 'class': 'n04023962 punching bag, punch bag, punching ball, punchball'}, {'probability': 14.07075023651123, 'class': 'n07932039 eggnog'}]
