image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;23.89940643310547;n02708093 analog clock;n02443484;[{'probability': 23.89940643310547, 'class': 'n02708093 analog clock'}, {'probability': 22.647544860839844, 'class': 'n04328186 stopwatch, stop watch'}, {'probability': 19.928016662597656, 'class': 'n03196217 digital clock'}, {'probability': 16.538585662841797, 'class': 'n06359193 web site, website, internet site, site'}, {'probability': 15.877922058105469, 'class': 'n03197337 digital watch'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;13.723612785339355;n02708093 analog clock;n02443484;[{'probability': 13.723612785339355, 'class': 'n02708093 analog clock'}, {'probability': 11.754880905151367, 'class': 'n04328186 stopwatch, stop watch'}, {'probability': 11.550884246826172, 'class': 'n06596364 comic book'}, {'probability': 11.182108879089355, 'class': 'n03291819 envelope'}, {'probability': 10.969219207763672, 'class': 'n03028079 church, church building'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;16.282751083374023;n06596364 comic book;n02443484;[{'probability': 16.282751083374023, 'class': 'n06596364 comic book'}, {'probability': 13.870901107788086, 'class': 'n04435653 tile roof'}, {'probability': 13.317241668701172, 'class': 'n02786058 Band Aid'}, {'probability': 12.375113487243652, 'class': 'n04209239 shower curtain'}, {'probability': 12.266351699829102, 'class': 'n04590129 window shade'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;14.612418174743652;n04507155 umbrella;n02443484;[{'probability': 14.612418174743652, 'class': 'n04507155 umbrella'}, {'probability': 13.6998929977417, 'class': 'n03291819 envelope'}, {'probability': 11.84416675567627, 'class': 'n02791270 barbershop'}, {'probability': 11.58897590637207, 'class': 'n03930313 picket fence, paling'}, {'probability': 11.556557655334473, 'class': 'n03355925 flagpole, flagstaff'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;14.65047550201416;n06359193 web site, website, internet site, site;n02443484;[{'probability': 14.65047550201416, 'class': 'n06359193 web site, website, internet site, site'}, {'probability': 13.053938865661621, 'class': 'n04590129 window shade'}, {'probability': 12.88918399810791, 'class': 'n04435653 tile roof'}, {'probability': 12.220263481140137, 'class': 'n02708093 analog clock'}, {'probability': 11.181265830993652, 'class': 'n04418357 theater curtain, theatre curtain'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;23.180927276611328;n03065424 coil, spiral, volute, whorl, helix;n01440764;[{'probability': 23.180927276611328, 'class': 'n03065424 coil, spiral, volute, whorl, helix'}, {'probability': 22.596054077148438, 'class': 'n04435653 tile roof'}, {'probability': 21.323671340942383, 'class': 'n03000134 chainlink fence'}, {'probability': 21.22579574584961, 'class': 'n03355925 flagpole, flagstaff'}, {'probability': 21.09197235107422, 'class': 'n02788148 bannister, banister, balustrade, balusters, handrail'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;21.687776565551758;n03942813 ping-pong ball;n01440764;[{'probability': 21.687776565551758, 'class': 'n03942813 ping-pong ball'}, {'probability': 18.089096069335938, 'class': 'n04590129 window shade'}, {'probability': 17.427900314331055, 'class': 'n03291819 envelope'}, {'probability': 16.919509887695312, 'class': 'n07930864 cup'}, {'probability': 16.30779266357422, 'class': 'n03065424 coil, spiral, volute, whorl, helix'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;25.50946807861328;n03291819 envelope;n01440764;[{'probability': 25.50946807861328, 'class': 'n03291819 envelope'}, {'probability': 21.59086799621582, 'class': 'n04507155 umbrella'}, {'probability': 21.538379669189453, 'class': 'n02834397 bib'}, {'probability': 21.156076431274414, 'class': 'n03220513 dome'}, {'probability': 20.307119369506836, 'class': 'n03938244 pillow'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;39.9638557434082;n03908714 pencil sharpener;n01443537;[{'probability': 39.9638557434082, 'class': 'n03908714 pencil sharpener'}, {'probability': 29.35523796081543, 'class': 'n06596364 comic book'}, {'probability': 29.024402618408203, 'class': 'n02786058 Band Aid'}, {'probability': 27.303056716918945, 'class': 'n03794056 mousetrap'}, {'probability': 24.02666664123535, 'class': 'n07717556 butternut squash'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;22.334014892578125;n07717556 butternut squash;n01443537;[{'probability': 22.334014892578125, 'class': 'n07717556 butternut squash'}, {'probability': 20.717899322509766, 'class': 'n03530642 honeycomb'}, {'probability': 18.907915115356445, 'class': 'n03637318 lampshade, lamp shade'}, {'probability': 18.116506576538086, 'class': 'n03347037 fire screen, fireguard'}, {'probability': 17.29314422607422, 'class': 'n06596364 comic book'}]
