image;probability;guess_class;real_class;other_predictions
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00001791.JPEG;0.7175459265708923;n04070727 refrigerator, icebox;n02443484;[{'probability': 0.7175459265708923, 'class': 'n04070727 refrigerator, icebox'}, {'probability': 0.08426981419324875, 'class': 'n03207941 dishwasher, dish washer, dishwashing machine'}, {'probability': 0.062053874135017395, 'class': 'n02870880 bookcase'}, {'probability': 0.04142282158136368, 'class': 'n04590129 window shade'}, {'probability': 0.017438620328903198, 'class': 'n02808440 bathtub, bathing tub, bath, tub'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00013240.JPEG;0.6701620817184448;n07615774 ice lolly, lolly, lollipop, popsicle;n02443484;[{'probability': 0.6701620817184448, 'class': 'n07615774 ice lolly, lolly, lollipop, popsicle'}, {'probability': 0.07145696133375168, 'class': 'n02883205 bow tie, bow-tie, bowtie'}, {'probability': 0.03102213330566883, 'class': 'n03325584 feather boa, boa'}, {'probability': 0.02104819379746914, 'class': 'n04209133 shower cap'}, {'probability': 0.019098952412605286, 'class': 'n02992529 cellular telephone, cellular phone, cellphone, cell, mobile phone'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00023680.JPEG;0.41534876823425293;n02808304 bath towel;n02443484;[{'probability': 0.41534876823425293, 'class': 'n02808304 bath towel'}, {'probability': 0.33789005875587463, 'class': 'n03887697 paper towel'}, {'probability': 0.06360571831464767, 'class': 'n15075141 toilet tissue, toilet paper, bathroom tissue'}, {'probability': 0.038987886160612106, 'class': 'n02869837 bonnet, poke bonnet'}, {'probability': 0.033400874584913254, 'class': 'n02093647 Bedlington terrier'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00025162.JPEG;0.30691686272621155;n02443484 black-footed ferret, ferret, Mustela nigripes;n02443484;[{'probability': 0.30691686272621155, 'class': 'n02443484 black-footed ferret, ferret, Mustela nigripes'}, {'probability': 0.18528589606285095, 'class': 'n02441942 weasel'}, {'probability': 0.17927929759025574, 'class': 'n02443114 polecat, fitch, foulmart, foumart, Mustela putorius'}, {'probability': 0.17886021733283997, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}, {'probability': 0.03510558232665062, 'class': 'n02138441 meerkat, mierkat'}]
dataset/imagenet-mini/val/n02443484/ILSVRC2012_val_00034590.JPEG;0.4697369337081909;n02120079 Arctic fox, white fox, Alopex lagopus;n02443484;[{'probability': 0.4697369337081909, 'class': 'n02120079 Arctic fox, white fox, Alopex lagopus'}, {'probability': 0.17278216779232025, 'class': 'n02104029 kuvasz'}, {'probability': 0.13498446345329285, 'class': 'n02111500 Great Pyrenees'}, {'probability': 0.0921715795993805, 'class': 'n02111889 Samoyed, Samoyede'}, {'probability': 0.08607475459575653, 'class': 'n02114548 white wolf, Arctic wolf, Canis lupus tundrarum'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00009111.JPEG;0.6738216876983643;n03958227 plastic bag;n01440764;[{'probability': 0.6738216876983643, 'class': 'n03958227 plastic bag'}, {'probability': 0.045376840978860855, 'class': 'n04209133 shower cap'}, {'probability': 0.04508782550692558, 'class': 'n10148035 groom, bridegroom'}, {'probability': 0.0224226713180542, 'class': 'n03938244 pillow'}, {'probability': 0.0180954709649086, 'class': 'n03788365 mosquito net'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00030740.JPEG;0.2670491635799408;n02883205 bow tie, bow-tie, bowtie;n01440764;[{'probability': 0.2670491635799408, 'class': 'n02883205 bow tie, bow-tie, bowtie'}, {'probability': 0.194871187210083, 'class': 'n03124170 cowboy hat, ten-gallon hat'}, {'probability': 0.06803641468286514, 'class': 'n15075141 toilet tissue, toilet paper, bathroom tissue'}, {'probability': 0.04229080677032471, 'class': 'n03814639 neck brace'}, {'probability': 0.036615073680877686, 'class': 'n02869837 bonnet, poke bonnet'}]
dataset/imagenet-mini/val/n01440764/ILSVRC2012_val_00046252.JPEG;0.7279476523399353;n02526121 eel;n01440764;[{'probability': 0.7279476523399353, 'class': 'n02526121 eel'}, {'probability': 0.1068144291639328, 'class': 'n01491361 tiger shark, Galeocerdo cuvieri'}, {'probability': 0.05542252957820892, 'class': 'n02074367 dugong, Dugong dugon'}, {'probability': 0.026171309873461723, 'class': 'n01728572 thunder snake, worm snake, Carphophis amoenus'}, {'probability': 0.015227146446704865, 'class': 'n02321529 sea cucumber, holothurian'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00000994.JPEG;0.45508691668510437;n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita;n01443537;[{'probability': 0.45508691668510437, 'class': 'n01819313 sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita'}, {'probability': 0.16944098472595215, 'class': 'n02009912 American egret, great white heron, Egretta albus'}, {'probability': 0.13990198075771332, 'class': 'n02134084 ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus'}, {'probability': 0.05072696879506111, 'class': 'n02328150 Angora, Angora rabbit'}, {'probability': 0.0461636483669281, 'class': 'n02058221 albatross, mollymawk'}]
dataset/imagenet-mini/val/n01443537/ILSVRC2012_val_00002241.JPEG;0.4831089377403259;n03788365 mosquito net;n01443537;[{'probability': 0.4831089377403259, 'class': 'n03788365 mosquito net'}, {'probability': 0.20415854454040527, 'class': 'n04209239 shower curtain'}, {'probability': 0.19344206154346466, 'class': 'n03958227 plastic bag'}, {'probability': 0.030254319310188293, 'class': 'n04523525 vault'}, {'probability': 0.01149558275938034, 'class': 'n02085936 Maltese dog, Maltese terrier, Maltese'}]
