image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.2096290969848633;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.2096290969848633}, {'class': 'n03485794 handkerchief', 'probability': 0.07977653980255127}, {'class': 'n01491361 tiger_shark', 'probability': 0.05100113868713379}, {'class': 'n01494475 hammerhead', 'probability': 0.04675227165222168}, {'class': 'n04589890 window_screen', 'probability': 0.04554566860198975}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.20630752563476562;n01943899 conch;n01443537;[{'class': 'n01943899 conch', 'probability': 0.20630752563476562}, {'class': 'n03729826 matchstick', 'probability': 0.10099650382995605}, {'class': 'n01914609 sea_anemone', 'probability': 0.09924179077148437}, {'class': 'n03958227 plastic_bag', 'probability': 0.09375142097473145}, {'class': 'n01494475 hammerhead', 'probability': 0.06764644622802735}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.045614609718322756;n04493381 tub;n01443537;[{'class': 'n04493381 tub', 'probability': 0.045614609718322756}, {'class': 'n02965783 car_mirror', 'probability': 0.043220438957214356}, {'class': 'n10565667 scuba_diver', 'probability': 0.04027779579162598}, {'class': 'n02747177 ashcan', 'probability': 0.027082200050354003}, {'class': 'n02808440 bathtub', 'probability': 0.02492743730545044}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.11280354499816894;n01817953 African_grey;n01443537;[{'class': 'n01817953 African_grey', 'probability': 0.11280354499816894}, {'class': 'n01632777 axolotl', 'probability': 0.11239554405212403}, {'class': 'n01491361 tiger_shark', 'probability': 0.04741664409637451}, {'class': 'n01943899 conch', 'probability': 0.04698718547821045}, {'class': 'n07734744 mushroom', 'probability': 0.043791189193725585}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.1583895969390869;n02791270 barbershop;n01443537;[{'class': 'n02791270 barbershop', 'probability': 0.1583895969390869}, {'class': 'n03825788 nipple', 'probability': 0.0831494140625}, {'class': 'n01494475 hammerhead', 'probability': 0.07070382595062256}, {'class': 'n03494278 harmonica', 'probability': 0.031027905941009522}, {'class': 'n02786058 Band_Aid', 'probability': 0.029302399158477783}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.16185211181640624;n01665541 leatherback_turtle;n01496331;[{'class': 'n01665541 leatherback_turtle', 'probability': 0.16185211181640624}, {'class': 'n01496331 electric_ray', 'probability': 0.10885087013244629}, {'class': 'n01873310 platypus', 'probability': 0.06683084964752198}, {'class': 'n02526121 eel', 'probability': 0.06161137580871582}, {'class': 'n04596742 wok', 'probability': 0.043532853126525876}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.14337393760681152;n02457408 three-toed_sloth;n01514668;[{'class': 'n02457408 three-toed_sloth', 'probability': 0.14337393760681152}, {'class': 'n02396427 wild_boar', 'probability': 0.09498397827148437}, {'class': 'n07802026 hay', 'probability': 0.07048788547515869}, {'class': 'n02395406 hog', 'probability': 0.04888743400573731}, {'class': 'n01883070 wombat', 'probability': 0.038525674343109134}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.0923586654663086;n01855672 goose;n01514668;[{'class': 'n01855672 goose', 'probability': 0.0923586654663086}, {'class': 'n01877812 wallaby', 'probability': 0.09008341789245605}, {'class': 'n02097130 giant_schnauzer', 'probability': 0.08030743598937988}, {'class': 'n02106382 Bouvier_des_Flandres', 'probability': 0.07779018402099609}, {'class': 'n02097298 Scotch_terrier', 'probability': 0.06039960861206055}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.6067823791503906;n01534433 junco;n01530575;[{'class': 'n01534433 junco', 'probability': 0.6067823791503906}, {'class': 'n01580077 jay', 'probability': 0.08934818267822266}, {'class': 'n01833805 hummingbird', 'probability': 0.05364304542541504}, {'class': 'n01530575 brambling', 'probability': 0.044426369667053225}, {'class': 'n01601694 water_ouzel', 'probability': 0.02973154067993164}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.4227289581298828;n01534433 junco;n01530575;[{'class': 'n01534433 junco', 'probability': 0.4227289581298828}, {'class': 'n03000134 chainlink_fence', 'probability': 0.09318520545959473}, {'class': 'n01580077 jay', 'probability': 0.0916293716430664}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.020085117816925048}, {'class': 'n01592084 chickadee', 'probability': 0.017658461332321167}]
