image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.7836324310302735;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.7836324310302735}, {'class': 'n01440764 tench', 'probability': 0.047334089279174804}, {'class': 'n02640242 sturgeon', 'probability': 0.024598841667175294}, {'class': 'n02641379 gar', 'probability': 0.02320606231689453}, {'class': 'n03788365 mosquito_net', 'probability': 0.022505691051483156}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.4319180679321289;n01632777 axolotl;n01443537;[{'class': 'n01632777 axolotl', 'probability': 0.4319180679321289}, {'class': 'n01950731 sea_slug', 'probability': 0.10676254272460937}, {'class': 'n02007558 flamingo', 'probability': 0.10131776809692383}, {'class': 'n02607072 anemone_fish', 'probability': 0.0566421365737915}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.03056161880493164}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.1845811653137207;n01632777 axolotl;n01443537;[{'class': 'n01632777 axolotl', 'probability': 0.1845811653137207}, {'class': 'n01443537 goldfish', 'probability': 0.14866860389709471}, {'class': 'n02077923 sea_lion', 'probability': 0.07406564712524415}, {'class': 'n04404412 television', 'probability': 0.05161503791809082}, {'class': 'n02640242 sturgeon', 'probability': 0.041539359092712405}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9943483734130859;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9943483734130859}, {'class': 'n02606052 rock_beauty', 'probability': 0.0014605876803398133}, {'class': 'n02641379 gar', 'probability': 0.0014060850441455842}, {'class': 'n01632777 axolotl', 'probability': 0.0010229875147342682}, {'class': 'n01440764 tench', 'probability': 0.0008063047379255295}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9555218505859375;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.9555218505859375}, {'class': 'n01443537 goldfish', 'probability': 0.02583336114883423}, {'class': 'n02606052 rock_beauty', 'probability': 0.010855293273925782}, {'class': 'n02655020 puffer', 'probability': 0.004232708811759949}, {'class': 'n02514041 barracouta', 'probability': 0.0011745314300060272}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.1499191951751709;n07860988 dough;n01496331;[{'class': 'n07860988 dough', 'probability': 0.1499191951751709}, {'class': 'n01496331 electric_ray', 'probability': 0.1279303741455078}, {'class': 'n01873310 platypus', 'probability': 0.08999421119689942}, {'class': 'n07871810 meat_loaf', 'probability': 0.06678916454315185}, {'class': 'n07875152 potpie', 'probability': 0.04605642795562744}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.32815597534179686;n01798484 prairie_chicken;n01514668;[{'class': 'n01798484 prairie_chicken', 'probability': 0.32815597534179686}, {'class': 'n01514668 cock', 'probability': 0.1296248722076416}, {'class': 'n01514859 hen', 'probability': 0.08145780563354492}, {'class': 'n01622779 great_grey_owl', 'probability': 0.062226848602294924}, {'class': 'n01806143 peacock', 'probability': 0.03582675457000732}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9293321990966796;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9293321990966796}, {'class': 'n01514668 cock', 'probability': 0.05877751350402832}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0022644731402397156}, {'class': 'n01806567 quail', 'probability': 0.0017470228672027588}, {'class': 'n01807496 partridge', 'probability': 0.001482165902853012}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.7636092376708984;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.7636092376708984}, {'class': 'n01534433 junco', 'probability': 0.1212418270111084}, {'class': 'n01531178 goldfinch', 'probability': 0.04787582397460938}, {'class': 'n01532829 house_finch', 'probability': 0.021468584537506104}, {'class': 'n03794056 mousetrap', 'probability': 0.012530291080474853}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.727230224609375;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.727230224609375}, {'class': 'n01534433 junco', 'probability': 0.14977404594421387}, {'class': 'n01560419 bulbul', 'probability': 0.030474531650543212}, {'class': 'n01580077 jay', 'probability': 0.028380718231201172}, {'class': 'n01558993 robin', 'probability': 0.01533089280128479}]
