image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.23571933746337892;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.23571933746337892}, {'class': 'n02640242 sturgeon', 'probability': 0.2336421775817871}, {'class': 'n01990800 isopod', 'probability': 0.05322458267211914}, {'class': 'n01491361 tiger_shark', 'probability': 0.047381443977355955}, {'class': 'n01440764 tench', 'probability': 0.03739634990692139}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.5550857925415039;n01632777 axolotl;n01443537;[{'class': 'n01632777 axolotl', 'probability': 0.5550857925415039}, {'class': 'n01491361 tiger_shark', 'probability': 0.022162365913391113}, {'class': 'n01443537 goldfish', 'probability': 0.011880608797073365}, {'class': 'n01496331 electric_ray', 'probability': 0.01099446415901184}, {'class': 'n01990800 isopod', 'probability': 0.01007853627204895}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.33451892852783205;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.33451892852783205}, {'class': 'n01484850 great_white_shark', 'probability': 0.328815803527832}, {'class': 'n01491361 tiger_shark', 'probability': 0.05789924144744873}, {'class': 'n01494475 hammerhead', 'probability': 0.043809757232666016}, {'class': 'n03141823 crutch', 'probability': 0.02716426134109497}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9935813903808594;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9935813903808594}, {'class': 'n02701002 ambulance', 'probability': 0.0005988574028015137}, {'class': 'n02641379 gar', 'probability': 0.0005904758721590042}, {'class': 'n02454379 armadillo', 'probability': 0.0002477243170142174}, {'class': 'n02927161 butcher_shop', 'probability': 0.00020623974502086639}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.36257835388183596;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.36257835388183596}, {'class': 'n02655020 puffer', 'probability': 0.0735332202911377}, {'class': 'n01440764 tench', 'probability': 0.038534271717071536}, {'class': 'n02526121 eel', 'probability': 0.02147513151168823}, {'class': 'n02514041 barracouta', 'probability': 0.016986055374145506}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.14417255401611329;n01667778 terrapin;n01496331;[{'class': 'n01667778 terrapin', 'probability': 0.14417255401611329}, {'class': 'n01664065 loggerhead', 'probability': 0.11595510482788086}, {'class': 'n01496331 electric_ray', 'probability': 0.09203871726989746}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.09202866554260254}, {'class': 'n01667114 mud_turtle', 'probability': 0.09014084815979004}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.1502723503112793;n01817953 African_grey;n01514668;[{'class': 'n01817953 African_grey', 'probability': 0.1502723503112793}, {'class': 'n01514668 cock', 'probability': 0.10112977981567382}, {'class': 'n01514859 hen', 'probability': 0.08222984313964844}, {'class': 'n01622779 great_grey_owl', 'probability': 0.07711004257202149}, {'class': 'n01616318 vulture', 'probability': 0.05862964630126953}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.5981576919555665;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.5981576919555665}, {'class': 'n01514668 cock', 'probability': 0.22289396286010743}, {'class': 'n01860187 black_swan', 'probability': 0.01860418200492859}, {'class': 'n01518878 ostrich', 'probability': 0.0022099627554416656}, {'class': 'n04493381 tub', 'probability': 0.002082551419734955}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.27080646514892576;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.27080646514892576}, {'class': 'n01531178 goldfinch', 'probability': 0.1901270866394043}, {'class': 'n01580077 jay', 'probability': 0.10094733238220215}, {'class': 'n01534433 junco', 'probability': 0.04805002212524414}, {'class': 'n01592084 chickadee', 'probability': 0.04168740749359131}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.7443386077880859;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.7443386077880859}, {'class': 'n01534433 junco', 'probability': 0.06691500663757324}, {'class': 'n01558993 robin', 'probability': 0.04103790760040283}, {'class': 'n01580077 jay', 'probability': 0.008693228363990784}, {'class': 'n01601694 water_ouzel', 'probability': 0.008387748003005981}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.3545412063598633;n12144580 corn;n01531178;[{'class': 'n12144580 corn', 'probability': 0.3545412063598633}, {'class': 'n13133613 ear', 'probability': 0.10366990089416504}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.0901607608795166}, {'class': 'n02011460 bittern', 'probability': 0.020367588996887207}, {'class': 'n01829413 hornbill', 'probability': 0.019060475826263426}]
