image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.4712192535400391;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.4712192535400391}, {'class': 'n03788365 mosquito_net', 'probability': 0.17314105987548828}, {'class': 'n02536864 coho', 'probability': 0.16662328720092773}, {'class': 'n02804414 bassinet', 'probability': 0.025182156562805175}, {'class': 'n01698640 American_alligator', 'probability': 0.02211505651473999}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.37522163391113283;n01494475 hammerhead;n01443537;[{'class': 'n01494475 hammerhead', 'probability': 0.37522163391113283}, {'class': 'n01950731 sea_slug', 'probability': 0.1253042411804199}, {'class': 'n01943899 conch', 'probability': 0.11362693786621093}, {'class': 'n01491361 tiger_shark', 'probability': 0.08787806510925293}, {'class': 'n02607072 anemone_fish', 'probability': 0.08212513923645019}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.07784055709838868;n01943899 conch;n01443537;[{'class': 'n01943899 conch', 'probability': 0.07784055709838868}, {'class': 'n02412080 ram', 'probability': 0.06056614875793457}, {'class': 'n02395406 hog', 'probability': 0.026285436153411865}, {'class': 'n04404412 television', 'probability': 0.02097064018249512}, {'class': 'n02808440 bathtub', 'probability': 0.019574171304702757}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9378903198242188;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9378903198242188}, {'class': 'n02641379 gar', 'probability': 0.02013817310333252}, {'class': 'n01491361 tiger_shark', 'probability': 0.01582201600074768}, {'class': 'n01632777 axolotl', 'probability': 0.012401552200317382}, {'class': 'n02640242 sturgeon', 'probability': 0.004950443208217621}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.4326891708374023;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.4326891708374023}, {'class': 'n01440764 tench', 'probability': 0.41795013427734373}, {'class': 'n01632777 axolotl', 'probability': 0.023825607299804687}, {'class': 'n01873310 platypus', 'probability': 0.018284164667129517}, {'class': 'n02051845 pelican', 'probability': 0.014009824991226195}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.4054597854614258;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.4054597854614258}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.11187071800231933}, {'class': 'n01664065 loggerhead', 'probability': 0.10504552841186524}, {'class': 'n01667114 mud_turtle', 'probability': 0.04707618236541748}, {'class': 'n07860988 dough', 'probability': 0.040460939407348635}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.14553592681884767;n01688243 frilled_lizard;n01514668;[{'class': 'n01688243 frilled_lizard', 'probability': 0.14553592681884767}, {'class': 'n02325366 wood_rabbit', 'probability': 0.05884918212890625}, {'class': 'n01514668 cock', 'probability': 0.054437236785888674}, {'class': 'n01622779 great_grey_owl', 'probability': 0.052735848426818846}, {'class': 'n01753488 horned_viper', 'probability': 0.04831835269927978}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9094721221923828;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9094721221923828}, {'class': 'n01514668 cock', 'probability': 0.08905108451843262}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0003161894157528877}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.00028331521898508074}, {'class': 'n01795545 black_grouse', 'probability': 0.00019505014643073082}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.9729555511474609;n01534433 junco;n01530575;[{'class': 'n01534433 junco', 'probability': 0.9729555511474609}, {'class': 'n01530575 brambling', 'probability': 0.016209654808044434}, {'class': 'n01532829 house_finch', 'probability': 0.0035366114974021913}, {'class': 'n01592084 chickadee', 'probability': 0.0033700332045555116}, {'class': 'n01601694 water_ouzel', 'probability': 0.0021557724475860596}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.4973419189453125;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.4973419189453125}, {'class': 'n01534433 junco', 'probability': 0.4606280517578125}, {'class': 'n01532829 house_finch', 'probability': 0.020212023258209227}, {'class': 'n01582220 magpie', 'probability': 0.004961116313934326}, {'class': 'n01560419 bulbul', 'probability': 0.004194665551185608}]
