image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.8201022338867188;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.8201022338867188}, {'class': 'n01440764 tench', 'probability': 0.07000387668609619}, {'class': 'n02514041 barracouta', 'probability': 0.0376011061668396}, {'class': 'n01491361 tiger_shark', 'probability': 0.012769606113433838}, {'class': 'n01990800 isopod', 'probability': 0.007429134845733642}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.5933653259277344;n01914609 sea_anemone;n01443537;[{'class': 'n01914609 sea_anemone', 'probability': 0.5933653259277344}, {'class': 'n01950731 sea_slug', 'probability': 0.10770172119140625}, {'class': 'n02607072 anemone_fish', 'probability': 0.0585382080078125}, {'class': 'n01968897 chambered_nautilus', 'probability': 0.0460992431640625}, {'class': 'n01910747 jellyfish', 'probability': 0.028386352062225343}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.3584931564331055;n09229709 bubble;n01443537;[{'class': 'n09229709 bubble', 'probability': 0.3584931564331055}, {'class': 'n01632777 axolotl', 'probability': 0.04885079860687256}, {'class': 'n04493381 tub', 'probability': 0.03594605922698975}, {'class': 'n01491361 tiger_shark', 'probability': 0.021723768711090087}, {'class': 'n02317335 starfish', 'probability': 0.02031815528869629}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9714924621582032;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9714924621582032}, {'class': 'n02655020 puffer', 'probability': 0.014788562059402465}, {'class': 'n01632777 axolotl', 'probability': 0.005381693840026855}, {'class': 'n02641379 gar', 'probability': 0.0029335704445838926}, {'class': 'n02640242 sturgeon', 'probability': 0.00250442236661911}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.5334656906127929;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.5334656906127929}, {'class': 'n01443537 goldfish', 'probability': 0.19237098693847657}, {'class': 'n02655020 puffer', 'probability': 0.16886306762695313}, {'class': 'n02606052 rock_beauty', 'probability': 0.03867033481597901}, {'class': 'n02514041 barracouta', 'probability': 0.014698280096054077}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.20607280731201172;n03259280 Dutch_oven;n01496331;[{'class': 'n03259280 Dutch_oven', 'probability': 0.20607280731201172}, {'class': 'n02526121 eel', 'probability': 0.06204019069671631}, {'class': 'n04208210 shovel', 'probability': 0.051938161849975586}, {'class': 'n02909870 bucket', 'probability': 0.03937398672103882}, {'class': 'n03717622 manhole_cover', 'probability': 0.03210229396820068}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.5505383682250976;n01622779 great_grey_owl;n01514668;[{'class': 'n01622779 great_grey_owl', 'probability': 0.5505383682250976}, {'class': 'n01514859 hen', 'probability': 0.11244190216064454}, {'class': 'n01514668 cock', 'probability': 0.09225138664245605}, {'class': 'n03404251 fur_coat', 'probability': 0.013373942375183105}, {'class': 'n02108915 French_bulldog', 'probability': 0.011475731134414673}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9343002319335938;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9343002319335938}, {'class': 'n01514668 cock', 'probability': 0.06438056945800781}, {'class': 'n01860187 black_swan', 'probability': 0.0003000008314847946}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0002254614606499672}, {'class': 'n01807496 partridge', 'probability': 0.0001948205381631851}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.5069480514526368;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.5069480514526368}, {'class': 'n01534433 junco', 'probability': 0.4321035385131836}, {'class': 'n01531178 goldfinch', 'probability': 0.0394734525680542}, {'class': 'n01532829 house_finch', 'probability': 0.010557354688644409}, {'class': 'n01592084 chickadee', 'probability': 0.004482781887054444}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9646683502197265;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9646683502197265}, {'class': 'n01534433 junco', 'probability': 0.029113657474517822}, {'class': 'n01531178 goldfinch', 'probability': 0.0014830337464809419}, {'class': 'n01558993 robin', 'probability': 0.00102073036134243}, {'class': 'n01532829 house_finch', 'probability': 0.0009320323914289475}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.4599625778198242;n07753275 pineapple;n01531178;[{'class': 'n07753275 pineapple', 'probability': 0.4599625778198242}, {'class': 'n12144580 corn', 'probability': 0.27840890884399416}, {'class': 'n13133613 ear', 'probability': 0.09519549369812012}, {'class': 'n02454379 armadillo', 'probability': 0.043941006660461426}, {'class': 'n01943899 conch', 'probability': 0.02191900968551636}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.507586669921875;n01532829 house_finch;n01532829;[{'class': 'n01532829 house_finch', 'probability': 0.507586669921875}, {'class': 'n01580077 jay', 'probability': 0.10462902069091796}, {'class': 'n01833805 hummingbird', 'probability': 0.10340314865112304}, {'class': 'n02843684 birdhouse', 'probability': 0.08702886581420899}, {'class': 'n04380533 table_lamp', 'probability': 0.04145613193511963}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9924674987792969;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9924674987792969}, {'class': 'n01592084 chickadee', 'probability': 0.006541847586631775}, {'class': 'n01530575 brambling', 'probability': 0.0003277384117245674}, {'class': 'n01601694 water_ouzel', 'probability': 0.000218715351074934}, {'class': 'n01537544 indigo_bunting', 'probability': 0.00011734005063772201}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.998726806640625;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.998726806640625}, {'class': 'n01601694 water_ouzel', 'probability': 0.0005722500011324883}, {'class': 'n02018207 American_coot', 'probability': 0.00018803970888257027}, {'class': 'n01530575 brambling', 'probability': 0.00013483486138284205}, {'class': 'n01532829 house_finch', 'probability': 6.797777954488993e-05}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.6006637191772461;n01608432 kite;n01537544;[{'class': 'n01608432 kite', 'probability': 0.6006637191772461}, {'class': 'n01833805 hummingbird', 'probability': 0.09384552001953125}, {'class': 'n01560419 bulbul', 'probability': 0.02591329574584961}, {'class': 'n01817953 African_grey', 'probability': 0.024750704765319823}, {'class': 'n01828970 bee_eater', 'probability': 0.011862088441848755}]
