image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.16233587265014648;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.16233587265014648}, {'class': 'n01491361 tiger_shark', 'probability': 0.1083718204498291}, {'class': 'n01484850 great_white_shark', 'probability': 0.055576658248901366}, {'class': 'n02640242 sturgeon', 'probability': 0.04616047382354736}, {'class': 'n01494475 hammerhead', 'probability': 0.040519733428955075}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.21206464767456054;n01914609 sea_anemone;n01443537;[{'class': 'n01914609 sea_anemone', 'probability': 0.21206464767456054}, {'class': 'n01950731 sea_slug', 'probability': 0.20275432586669923}, {'class': 'n02607072 anemone_fish', 'probability': 0.09713276863098144}, {'class': 'n12985857 coral_fungus', 'probability': 0.08170495986938477}, {'class': 'n01494475 hammerhead', 'probability': 0.04816144943237305}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.05828005313873291;n04493381 tub;n01443537;[{'class': 'n04493381 tub', 'probability': 0.05828005313873291}, {'class': 'n04404412 television', 'probability': 0.03970217227935791}, {'class': 'n03459775 grille', 'probability': 0.02970027208328247}, {'class': 'n02808440 bathtub', 'probability': 0.02950350284576416}, {'class': 'n03529860 home_theater', 'probability': 0.0279624605178833}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.7023571014404297;n01632777 axolotl;n01443537;[{'class': 'n01632777 axolotl', 'probability': 0.7023571014404297}, {'class': 'n02454379 armadillo', 'probability': 0.024191062450408935}, {'class': 'n01817953 African_grey', 'probability': 0.022235939502716063}, {'class': 'n02074367 dugong', 'probability': 0.01951250433921814}, {'class': 'n01491361 tiger_shark', 'probability': 0.019070972204208374}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.448846321105957;n02051845 pelican;n01443537;[{'class': 'n02051845 pelican', 'probability': 0.448846321105957}, {'class': 'n01440764 tench', 'probability': 0.07036399841308594}, {'class': 'n02058221 albatross', 'probability': 0.053696179389953615}, {'class': 'n02074367 dugong', 'probability': 0.05245570659637451}, {'class': 'n02092339 Weimaraner', 'probability': 0.04285771369934082}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.07834009170532226;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.07834009170532226}, {'class': 'n02321529 sea_cucumber', 'probability': 0.07593887329101562}, {'class': 'n01751748 sea_snake', 'probability': 0.05998054027557373}, {'class': 'n01978455 rock_crab', 'probability': 0.05631867408752442}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.034662864208221435}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.8051312255859375;n02457408 three-toed_sloth;n01514668;[{'class': 'n02457408 three-toed_sloth', 'probability': 0.8051312255859375}, {'class': 'n01622779 great_grey_owl', 'probability': 0.019294669628143312}, {'class': 'n03627232 knot', 'probability': 0.017955647706985475}, {'class': 'n02437616 llama', 'probability': 0.015299948453903199}, {'class': 'n02326432 hare', 'probability': 0.011646894216537475}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.3465298080444336;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.3465298080444336}, {'class': 'n01514668 cock', 'probability': 0.23123920440673829}, {'class': 'n01806143 peacock', 'probability': 0.09279594421386719}, {'class': 'n01860187 black_swan', 'probability': 0.03299093723297119}, {'class': 'n02056570 king_penguin', 'probability': 0.02985250234603882}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.36587100982666015;n01580077 jay;n01530575;[{'class': 'n01580077 jay', 'probability': 0.36587100982666015}, {'class': 'n01530575 brambling', 'probability': 0.35343132019042967}, {'class': 'n01560419 bulbul', 'probability': 0.07375767707824707}, {'class': 'n01534433 junco', 'probability': 0.052509031295776366}, {'class': 'n01601694 water_ouzel', 'probability': 0.048605546951293946}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.49703590393066405;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.49703590393066405}, {'class': 'n01534433 junco', 'probability': 0.19508209228515624}, {'class': 'n01580077 jay', 'probability': 0.14954754829406738}, {'class': 'n01558993 robin', 'probability': 0.049496760368347166}, {'class': 'n01532829 house_finch', 'probability': 0.024545471668243408}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.4579135513305664;n03763968 military_uniform;n01531178;[{'class': 'n03763968 military_uniform', 'probability': 0.4579135513305664}, {'class': 'n04200800 shoe_shop', 'probability': 0.09556365013122559}, {'class': 'n04376876 syringe', 'probability': 0.06376100540161132}, {'class': 'n01943899 conch', 'probability': 0.04351238250732422}, {'class': 'n01914609 sea_anemone', 'probability': 0.015339038372039794}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.20439165115356445;n03763968 military_uniform;n01532829;[{'class': 'n03763968 military_uniform', 'probability': 0.20439165115356445}, {'class': 'n04192698 shield', 'probability': 0.1316634750366211}, {'class': 'n09835506 ballplayer', 'probability': 0.08677644729614258}, {'class': 'n03637318 lampshade', 'probability': 0.0422695255279541}, {'class': 'n04380533 table_lamp', 'probability': 0.04129736423492432}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.755013198852539;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.755013198852539}, {'class': 'n01592084 chickadee', 'probability': 0.24132684707641602}, {'class': 'n01580077 jay', 'probability': 0.0012839145958423615}, {'class': 'n01560419 bulbul', 'probability': 0.0011830660700798035}, {'class': 'n01530575 brambling', 'probability': 0.0005847961828112602}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.9246385192871094;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9246385192871094}, {'class': 'n01580077 jay', 'probability': 0.032022297382354736}, {'class': 'n01601694 water_ouzel', 'probability': 0.01184885025024414}, {'class': 'n01592084 chickadee', 'probability': 0.010010405778884887}, {'class': 'n01530575 brambling', 'probability': 0.004128772318363189}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.16233158111572266;n01560419 bulbul;n01537544;[{'class': 'n01560419 bulbul', 'probability': 0.16233158111572266}, {'class': 'n03838899 oboe', 'probability': 0.10698299407958985}, {'class': 'n01580077 jay', 'probability': 0.08219976425170898}, {'class': 'n02488291 langur', 'probability': 0.06774528980255128}, {'class': 'n02009229 little_blue_heron', 'probability': 0.037274036407470706}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.33070308685302735;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.33070308685302735}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.17080507278442383}, {'class': 'n02006656 spoonbill', 'probability': 0.07210992336273193}, {'class': 'n01582220 magpie', 'probability': 0.051809015274047854}, {'class': 'n01608432 kite', 'probability': 0.05072163581848144}]
