image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.3342155075073242;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.3342155075073242}, {'class': 'n02641379 gar', 'probability': 0.3328912353515625}, {'class': 'n02640242 sturgeon', 'probability': 0.10560538291931153}, {'class': 'n02514041 barracouta', 'probability': 0.03698336362838745}, {'class': 'n01491361 tiger_shark', 'probability': 0.02465341329574585}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.5258295440673828;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.5258295440673828}, {'class': 'n01494475 hammerhead', 'probability': 0.17584602355957032}, {'class': 'n02009912 American_egret', 'probability': 0.046122961044311524}, {'class': 'n11939491 daisy', 'probability': 0.029668471813201903}, {'class': 'n01943899 conch', 'probability': 0.0265187406539917}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.11135974884033203;n02447366 badger;n01443537;[{'class': 'n02447366 badger', 'probability': 0.11135974884033203}, {'class': 'n02441942 weasel', 'probability': 0.09412531852722168}, {'class': 'n02098286 West_Highland_white_terrier', 'probability': 0.04194072723388672}, {'class': 'n01632777 axolotl', 'probability': 0.036293435096740725}, {'class': 'n02134084 ice_bear', 'probability': 0.033221695423126224}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.6148445510864258;n02655020 puffer;n01443537;[{'class': 'n02655020 puffer', 'probability': 0.6148445510864258}, {'class': 'n01632777 axolotl', 'probability': 0.1318189811706543}, {'class': 'n01817953 African_grey', 'probability': 0.06166916847229004}, {'class': 'n01443537 goldfish', 'probability': 0.024875261783599854}, {'class': 'n02074367 dugong', 'probability': 0.024373621940612794}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.2523682975769043;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.2523682975769043}, {'class': 'n02074367 dugong', 'probability': 0.22813888549804687}, {'class': 'n02655020 puffer', 'probability': 0.11344925880432129}, {'class': 'n02606052 rock_beauty', 'probability': 0.09204168319702148}, {'class': 'n02526121 eel', 'probability': 0.0884555435180664}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.21911510467529297;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.21911510467529297}, {'class': 'n09472597 volcano', 'probability': 0.1685536003112793}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.050306844711303714}, {'class': 'n01498041 stingray', 'probability': 0.033436675071716306}, {'class': 'n02526121 eel', 'probability': 0.024934825897216798}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.676044921875;n01622779 great_grey_owl;n01514668;[{'class': 'n01622779 great_grey_owl', 'probability': 0.676044921875}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.11599732398986816}, {'class': 'n01798484 prairie_chicken', 'probability': 0.07844520568847656}, {'class': 'n01514859 hen', 'probability': 0.03520006418228149}, {'class': 'n01807496 partridge', 'probability': 0.018106347322463988}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.8789970397949218;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.8789970397949218}, {'class': 'n01514668 cock', 'probability': 0.08123870849609376}, {'class': 'n01855672 goose', 'probability': 0.01729672074317932}, {'class': 'n01860187 black_swan', 'probability': 0.013400572538375854}, {'class': 'n01806143 peacock', 'probability': 0.005985201597213745}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.9876383209228515;n01534433 junco;n01530575;[{'class': 'n01534433 junco', 'probability': 0.9876383209228515}, {'class': 'n02027492 red-backed_sandpiper', 'probability': 0.005851156115531921}, {'class': 'n01530575 brambling', 'probability': 0.0026401108503341674}, {'class': 'n01592084 chickadee', 'probability': 0.0009767870604991914}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.0008981513977050781}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.8748601531982422;n01534433 junco;n01530575;[{'class': 'n01534433 junco', 'probability': 0.8748601531982422}, {'class': 'n01530575 brambling', 'probability': 0.11586472511291504}, {'class': 'n01592084 chickadee', 'probability': 0.001879212260246277}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0014676663279533386}, {'class': 'n01601694 water_ouzel', 'probability': 0.0012998364865779877}]
