image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.658028335571289;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.658028335571289}, {'class': 'n02641379 gar', 'probability': 0.13066235542297364}, {'class': 'n02514041 barracouta', 'probability': 0.1068213176727295}, {'class': 'n02640242 sturgeon', 'probability': 0.04196329116821289}, {'class': 'n01440764 tench', 'probability': 0.035475070476531985}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.8886976623535157;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.8886976623535157}, {'class': 'n01914609 sea_anemone', 'probability': 0.01871632218360901}, {'class': 'n01632777 axolotl', 'probability': 0.014800211191177368}, {'class': 'n01943899 conch', 'probability': 0.012289315462112427}, {'class': 'n01910747 jellyfish', 'probability': 0.011674915552139281}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.15117337226867675;n01494475 hammerhead;n01443537;[{'class': 'n01494475 hammerhead', 'probability': 0.15117337226867675}, {'class': 'n01950731 sea_slug', 'probability': 0.09710951805114747}, {'class': 'n02317335 starfish', 'probability': 0.0846677303314209}, {'class': 'n01484850 great_white_shark', 'probability': 0.07555807590484619}, {'class': 'n02655020 puffer', 'probability': 0.058807687759399416}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.8310694885253906;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8310694885253906}, {'class': 'n02655020 puffer', 'probability': 0.06258585929870605}, {'class': 'n02641379 gar', 'probability': 0.05193455696105957}, {'class': 'n01632777 axolotl', 'probability': 0.03892866134643555}, {'class': 'n01440764 tench', 'probability': 0.003864912688732147}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.8310015106201172;n01440764 tench;n01443537;[{'class': 'n01440764 tench', 'probability': 0.8310015106201172}, {'class': 'n02655020 puffer', 'probability': 0.09033775329589844}, {'class': 'n01443537 goldfish', 'probability': 0.03919468402862549}, {'class': 'n02640242 sturgeon', 'probability': 0.011317452192306518}, {'class': 'n02514041 barracouta', 'probability': 0.010561889410018921}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.09884652137756347;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.09884652137756347}, {'class': 'n01955084 chiton', 'probability': 0.07124212265014648}, {'class': 'n02526121 eel', 'probability': 0.045913381576538084}, {'class': 'n03743016 megalith', 'probability': 0.043927974700927734}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.0255139422416687}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.4144226837158203;n01514668 cock;n01514668;[{'class': 'n01514668 cock', 'probability': 0.4144226837158203}, {'class': 'n01514859 hen', 'probability': 0.16441497802734376}, {'class': 'n04204238 shopping_basket', 'probability': 0.11153962135314942}, {'class': 'n01798484 prairie_chicken', 'probability': 0.0666192865371704}, {'class': 'n04259630 sombrero', 'probability': 0.04828944206237793}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.9693405151367187;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9693405151367187}, {'class': 'n01514668 cock', 'probability': 0.027777140140533448}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0007640787214040756}, {'class': 'n01807496 partridge', 'probability': 0.0005962813273072242}, {'class': 'n01806567 quail', 'probability': 0.0005705590173602104}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.9097640228271484;n01534433 junco;n01530575;[{'class': 'n01534433 junco', 'probability': 0.9097640228271484}, {'class': 'n01530575 brambling', 'probability': 0.05852866649627685}, {'class': 'n01580077 jay', 'probability': 0.009449038505554199}, {'class': 'n01592084 chickadee', 'probability': 0.0077937662601470946}, {'class': 'n01531178 goldfinch', 'probability': 0.004218281805515289}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9808856964111328;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9808856964111328}, {'class': 'n01558993 robin', 'probability': 0.009901044964790344}, {'class': 'n01534433 junco', 'probability': 0.004830982983112336}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0010699737817049027}, {'class': 'n01601694 water_ouzel', 'probability': 0.0009283751994371414}]
