image;probability;guess_class;real_class;other_predictions
../dataset/Alina_1308/n01440764/ILSVRC2012_val_00000293.JPEG;0.20698204040527343;n02514041 barracouta;n01440764;[{'class': 'n02514041 barracouta', 'probability': 0.20698204040527343}, {'class': 'n02640242 sturgeon', 'probability': 0.09521527290344238}, {'class': 'n02641379 gar', 'probability': 0.06805238246917725}, {'class': 'n01440764 tench', 'probability': 0.050504693984985354}, {'class': 'n02264363 lacewing', 'probability': 0.05027913093566894}]
../dataset/Alina_1308/n01443537/ILSVRC2012_val_00000236.JPEG;0.8279098510742188;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.8279098510742188}, {'class': 'n01632777 axolotl', 'probability': 0.07659364700317382}, {'class': 'n04033901 quill', 'probability': 0.02118689298629761}, {'class': 'n01990800 isopod', 'probability': 0.016402499675750734}, {'class': 'n01924916 flatworm', 'probability': 0.013010833263397217}]
../dataset/Alina_1308/n01443537/ILSVRC2012_val_00000262.JPEG;0.9529174041748046;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9529174041748046}, {'class': 'n01632777 axolotl', 'probability': 0.009425994753837586}, {'class': 'n09256479 coral_reef', 'probability': 0.008645449876785278}, {'class': 'n02317335 starfish', 'probability': 0.002682291865348816}, {'class': 'n01914609 sea_anemone', 'probability': 0.001910054087638855}]
../dataset/Alina_1308/n01443537/ILSVRC2012_val_00000307.JPEG;0.783490982055664;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.783490982055664}, {'class': 'n01632777 axolotl', 'probability': 0.20754705429077147}, {'class': 'n01440764 tench', 'probability': 0.004799667298793792}, {'class': 'n02655020 puffer', 'probability': 0.0022844655811786654}, {'class': 'n02641379 gar', 'probability': 0.001366998851299286}]
../dataset/Alina_1308/n01443537/ILSVRC2012_val_00000994.JPEG;0.9968276977539062;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9968276977539062}, {'class': 'n01440764 tench', 'probability': 0.0015246881544589996}, {'class': 'n02607072 anemone_fish', 'probability': 0.0013646453619003296}, {'class': 'n02606052 rock_beauty', 'probability': 0.00012264136224985123}, {'class': 'n02655020 puffer', 'probability': 4.734557587653399e-05}]
../dataset/Alina_1308/n01496331/ILSVRC2012_val_00000921.JPEG;0.2519384384155273;n01955084 chiton;n01496331;[{'class': 'n01955084 chiton', 'probability': 0.2519384384155273}, {'class': 'n01496331 electric_ray', 'probability': 0.10253034591674805}, {'class': 'n02321529 sea_cucumber', 'probability': 0.08752823829650878}, {'class': 'n02526121 eel', 'probability': 0.08004635810852051}, {'class': 'n01664065 loggerhead', 'probability': 0.07255826950073242}]
../dataset/Alina_1308/n01514668/ILSVRC2012_val_00000329.JPEG;0.5956413650512695;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.5956413650512695}, {'class': 'n01514668 cock', 'probability': 0.34655529022216797}, {'class': 'n04204238 shopping_basket', 'probability': 0.015960875749588013}, {'class': 'n03482405 hamper', 'probability': 0.01488367199897766}, {'class': 'n01798484 prairie_chicken', 'probability': 0.011584718227386475}]
../dataset/Alina_1308/n01514668/ILSVRC2012_val_00000911.JPEG;0.9492887878417968;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9492887878417968}, {'class': 'n01514668 cock', 'probability': 0.04073309421539307}, {'class': 'n01807496 partridge', 'probability': 0.007608242034912109}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0018056052923202514}, {'class': 'n01798484 prairie_chicken', 'probability': 0.0002053847350180149}]
../dataset/Alina_1308/n01530575/ILSVRC2012_val_00000651.JPEG;0.4014263916015625;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.4014263916015625}, {'class': 'n02027492 red-backed_sandpiper', 'probability': 0.15824651718139648}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.10621403694152833}, {'class': 'n01534433 junco', 'probability': 0.06524103164672851}, {'class': 'n01608432 kite', 'probability': 0.04192795753479004}]
../dataset/Alina_1308/n01530575/ILSVRC2012_val_00000747.JPEG;0.9997180938720703;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9997180938720703}, {'class': 'n01534433 junco', 'probability': 0.00019567817449569702}, {'class': 'n01558993 robin', 'probability': 5.651289597153664e-05}, {'class': 'n01807496 partridge', 'probability': 9.691876475699247e-06}, {'class': 'n01532829 house_finch', 'probability': 5.13930688612163e-06}]
../dataset/Alina_1308/n01531178/ILSVRC2012_val_00000570.JPEG;0.9807792663574219;n01531178 goldfinch;n01531178;[{'class': 'n01531178 goldfinch', 'probability': 0.9807792663574219}, {'class': 'n01560419 bulbul', 'probability': 0.004164210855960846}, {'class': 'n01530575 brambling', 'probability': 0.00253021776676178}, {'class': 'n01828970 bee_eater', 'probability': 0.002515644431114197}, {'class': 'n01829413 hornbill', 'probability': 0.0008761034905910492}]
../dataset/Alina_1308/n01532829/ILSVRC2012_val_00000873.JPEG;0.6074481201171875;n04380533 table_lamp;n01532829;[{'class': 'n04380533 table_lamp', 'probability': 0.6074481201171875}, {'class': 'n02843684 birdhouse', 'probability': 0.07261516094207764}, {'class': 'n03637318 lampshade', 'probability': 0.05975273609161377}, {'class': 'n01532829 house_finch', 'probability': 0.05298537254333496}, {'class': 'n01806567 quail', 'probability': 0.043935422897338865}]
../dataset/Alina_1308/n01534433/ILSVRC2012_val_00000247.JPEG;0.9999997711181641;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9999997711181641}, {'class': 'n01592084 chickadee', 'probability': 1.8468748749000952e-07}, {'class': 'n01530575 brambling', 'probability': 5.263522325549275e-08}, {'class': 'n01601694 water_ouzel', 'probability': 2.19906340248599e-09}, {'class': 'n01537544 indigo_bunting', 'probability': 1.2504338542385086e-09}]
../dataset/Alina_1308/n01534433/ILSVRC2012_val_00000713.JPEG;0.9998658752441406;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9998658752441406}, {'class': 'n01601694 water_ouzel', 'probability': 7.871302776038647e-05}, {'class': 'n01560419 bulbul', 'probability': 2.295193029567599e-05}, {'class': 'n01530575 brambling', 'probability': 2.2665588185191156e-05}, {'class': 'n01532829 house_finch', 'probability': 1.7209138604812324e-06}]
../dataset/Alina_1308/n01537544/ILSVRC2012_val_00000414.JPEG;0.897835693359375;n01537544 indigo_bunting;n01537544;[{'class': 'n01537544 indigo_bunting', 'probability': 0.897835693359375}, {'class': 'n01530575 brambling', 'probability': 0.04019075870513916}, {'class': 'n01532829 house_finch', 'probability': 0.01289391279220581}, {'class': 'n01534433 junco', 'probability': 0.01130699872970581}, {'class': 'n01531178 goldfinch', 'probability': 0.007179705500602722}]
../dataset/Alina_1308/n01560419/ILSVRC2012_val_00000198.JPEG;0.9848303985595703;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9848303985595703}, {'class': 'n01608432 kite', 'probability': 0.003717889189720154}, {'class': 'n01833805 hummingbird', 'probability': 0.0029600271582603454}, {'class': 'n01582220 magpie', 'probability': 0.0022813647985458372}, {'class': 'n01843383 toucan', 'probability': 0.0008392327278852463}]
../dataset/Alina_1308/n01560419/ILSVRC2012_val_00000217.JPEG;0.9997500610351563;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9997500610351563}, {'class': 'n01582220 magpie', 'probability': 9.338444098830223e-05}, {'class': 'n01580077 jay', 'probability': 7.950423285365105e-05}, {'class': 'n01833805 hummingbird', 'probability': 3.909842111170292e-05}, {'class': 'n01558993 robin', 'probability': 2.0359712652862073e-05}]
../dataset/Alina_1308/n01560419/ILSVRC2012_val_00000439.JPEG;0.6537757873535156;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.6537757873535156}, {'class': 'n01592084 chickadee', 'probability': 0.31539905548095704}, {'class': 'n01534433 junco', 'probability': 0.012335141897201538}, {'class': 'n01582220 magpie', 'probability': 0.011534451246261597}, {'class': 'n01530575 brambling', 'probability': 0.00498534083366394}]
../dataset/Alina_1308/n01560419/ILSVRC2012_val_00000638.JPEG;0.9998019409179687;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9998019409179687}, {'class': 'n01580077 jay', 'probability': 0.0001126015093177557}, {'class': 'n01582220 magpie', 'probability': 6.0971234925091265e-05}, {'class': 'n01592084 chickadee', 'probability': 9.455723338760435e-06}, {'class': 'n01843065 jacamar', 'probability': 7.36179412342608e-06}]
../dataset/Alina_1308/n01580077/ILSVRC2012_val_00000880.JPEG;0.734378662109375;n01580077 jay;n01580077;[{'class': 'n01580077 jay', 'probability': 0.734378662109375}, {'class': 'n01687978 agama', 'probability': 0.0907066249847412}, {'class': 'n02500267 indri', 'probability': 0.04800368785858154}, {'class': 'n01751748 sea_snake', 'probability': 0.025840933322906493}, {'class': 'n02497673 Madagascar_cat', 'probability': 0.023828158378601073}]
../dataset/Alina_1308/n01582220/ILSVRC2012_val_00000476.JPEG;0.93951171875;n02018207 American_coot;n01582220;[{'class': 'n02018207 American_coot', 'probability': 0.93951171875}, {'class': 'n01847000 drake', 'probability': 0.019964927434921266}, {'class': 'n01855672 goose', 'probability': 0.014251251220703125}, {'class': 'n01534433 junco', 'probability': 0.006080086827278137}, {'class': 'n02033041 dowitcher', 'probability': 0.003339816927909851}]
../dataset/Alina_1308/n01582220/ILSVRC2012_val_00000963.JPEG;0.9996794128417968;n01582220 magpie;n01582220;[{'class': 'n01582220 magpie', 'probability': 0.9996794128417968}, {'class': 'n01580077 jay', 'probability': 0.00011570445261895657}, {'class': 'n01795545 black_grouse', 'probability': 0.00011423612013459206}, {'class': 'n01806143 peacock', 'probability': 1.540163764730096e-05}, {'class': 'n01855672 goose', 'probability': 1.3518767664209008e-05}]
../dataset/Alina_1308/n01592084/ILSVRC2012_val_00000837.JPEG;0.9991844177246094;n01592084 chickadee;n01592084;[{'class': 'n01592084 chickadee', 'probability': 0.9991844177246094}, {'class': 'n01580077 jay', 'probability': 0.0003798830509185791}, {'class': 'n01582220 magpie', 'probability': 0.0002603145875036716}, {'class': 'n01534433 junco', 'probability': 6.040244828909636e-05}, {'class': 'n01601694 water_ouzel', 'probability': 3.4549098927527666e-05}]
../dataset/Alina_1308/n01601694/ILSVRC2012_val_00000962.JPEG;0.9742787170410157;n01601694 water_ouzel;n01601694;[{'class': 'n01601694 water_ouzel', 'probability': 0.9742787170410157}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.011294126510620117}, {'class': 'n02037110 oystercatcher', 'probability': 0.006480199098587036}, {'class': 'n02058221 albatross', 'probability': 0.002988439202308655}, {'class': 'n02027492 red-backed_sandpiper', 'probability': 0.0021931883692741395}]
../dataset/Alina_1308/n01608432/ILSVRC2012_val_00000073.JPEG;0.7288393402099609;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.7288393402099609}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.24952180862426757}, {'class': 'n01616318 vulture', 'probability': 0.0029767966270446778}, {'class': 'n02099601 golden_retriever', 'probability': 0.0023980580270290376}, {'class': 'n02002556 white_stork', 'probability': 0.002128329575061798}]
../dataset/Alina_1308/n01608432/ILSVRC2012_val_00000328.JPEG;0.9589801788330078;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.9589801788330078}, {'class': 'n01614925 bald_eagle', 'probability': 0.03792698621749878}, {'class': 'n01622779 great_grey_owl', 'probability': 0.0021850590407848356}, {'class': 'n02013706 limpkin', 'probability': 0.0002055065333843231}, {'class': 'n02011460 bittern', 'probability': 0.0001842169836163521}]
../dataset/Alina_1308/n01608432/ILSVRC2012_val_00000739.JPEG;0.9906233215332031;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.9906233215332031}, {'class': 'n01614925 bald_eagle', 'probability': 0.009019253849983215}, {'class': 'n01622779 great_grey_owl', 'probability': 8.818249218165874e-05}, {'class': 'n01795545 black_grouse', 'probability': 5.793157033622265e-05}, {'class': 'n01797886 ruffed_grouse', 'probability': 5.3653516806662084e-05}]
../dataset/Alina_1308/n01608432/ILSVRC2012_val_00000888.JPEG;0.6716666412353516;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.6716666412353516}, {'class': 'n01616318 vulture', 'probability': 0.16069101333618163}, {'class': 'n01614925 bald_eagle', 'probability': 0.09213709831237793}, {'class': 'n01795545 black_grouse', 'probability': 0.03295510292053223}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.01526792287826538}]
../dataset/Alina_1308/n01614925/ILSVRC2012_val_00000128.JPEG;0.8530636596679687;n01608432 kite;n01614925;[{'class': 'n01608432 kite', 'probability': 0.8530636596679687}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.08256683349609376}, {'class': 'n01795545 black_grouse', 'probability': 0.013468552827835083}, {'class': 'n01796340 ptarmigan', 'probability': 0.012484680414199829}, {'class': 'n01614925 bald_eagle', 'probability': 0.006225156188011169}]
../dataset/Alina_1308/n01616318/ILSVRC2012_val_00000018.JPEG;0.43098342895507813;n01608432 kite;n01616318;[{'class': 'n01608432 kite', 'probability': 0.43098342895507813}, {'class': 'n02100877 Irish_setter', 'probability': 0.07865080833435059}, {'class': 'n02441942 weasel', 'probability': 0.04788551330566406}, {'class': 'n01824575 coucal', 'probability': 0.03931929588317871}, {'class': 'n01616318 vulture', 'probability': 0.03603696346282959}]
