image;probability;guess_class;real_class;other_predictions
../dataset/Alina_23/n01440764/ILSVRC2012_val_00000293.JPEG;0.5085501098632812;n02280649 cabbage_butterfly;n01440764;[{'class': 'n02280649 cabbage_butterfly', 'probability': 0.5085501098632812}, {'class': 'n03485794 handkerchief', 'probability': 0.06545895576477051}, {'class': 'n01440764 tench', 'probability': 0.05383131504058838}, {'class': 'n01943899 conch', 'probability': 0.043435792922973636}, {'class': 'n02317335 starfish', 'probability': 0.039459168910980225}]
../dataset/Alina_23/n01443537/ILSVRC2012_val_00000236.JPEG;0.4564830780029297;n01943899 conch;n01443537;[{'class': 'n01943899 conch', 'probability': 0.4564830780029297}, {'class': 'n01914609 sea_anemone', 'probability': 0.30977663040161135}, {'class': 'n01950731 sea_slug', 'probability': 0.1587071704864502}, {'class': 'n02607072 anemone_fish', 'probability': 0.025134432315826415}, {'class': 'n12985857 coral_fungus', 'probability': 0.01288077473640442}]
../dataset/Alina_23/n01443537/ILSVRC2012_val_00000262.JPEG;0.42022109985351563;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.42022109985351563}, {'class': 'n01632777 axolotl', 'probability': 0.13516895294189454}, {'class': 'n01664065 loggerhead', 'probability': 0.06754508018493652}, {'class': 'n02074367 dugong', 'probability': 0.03573166847229004}, {'class': 'n02640242 sturgeon', 'probability': 0.02978729724884033}]
../dataset/Alina_23/n01443537/ILSVRC2012_val_00000307.JPEG;0.8290229797363281;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8290229797363281}, {'class': 'n01632777 axolotl', 'probability': 0.13622919082641602}, {'class': 'n01440764 tench', 'probability': 0.025397534370422362}, {'class': 'n02607072 anemone_fish', 'probability': 0.0019754236936569214}, {'class': 'n01910747 jellyfish', 'probability': 0.001668199598789215}]
../dataset/Alina_23/n01443537/ILSVRC2012_val_00000994.JPEG;0.9805538940429688;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9805538940429688}, {'class': 'n02007558 flamingo', 'probability': 0.009418623447418213}, {'class': 'n02607072 anemone_fish', 'probability': 0.008742835521697998}, {'class': 'n01631663 eft', 'probability': 0.00019357319921255113}, {'class': 'n01440764 tench', 'probability': 0.00018679434433579444}]
../dataset/Alina_23/n01496331/ILSVRC2012_val_00000921.JPEG;0.5033671951293945;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.5033671951293945}, {'class': 'n01978455 rock_crab', 'probability': 0.09521711349487305}, {'class': 'n02321529 sea_cucumber', 'probability': 0.06847304821014405}, {'class': 'n01664065 loggerhead', 'probability': 0.041796698570251464}, {'class': 'n01950731 sea_slug', 'probability': 0.02653979301452637}]
../dataset/Alina_23/n01514668/ILSVRC2012_val_00000329.JPEG;0.16845869064331054;n02437312 Arabian_camel;n01514668;[{'class': 'n02437312 Arabian_camel', 'probability': 0.16845869064331054}, {'class': 'n07754684 jackfruit', 'probability': 0.1314528751373291}, {'class': 'n01496331 electric_ray', 'probability': 0.06183537483215332}, {'class': 'n02457408 three-toed_sloth', 'probability': 0.05402378559112549}, {'class': 'n04204238 shopping_basket', 'probability': 0.05347712516784668}]
../dataset/Alina_23/n01514668/ILSVRC2012_val_00000911.JPEG;0.2496958541870117;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.2496958541870117}, {'class': 'n01514668 cock', 'probability': 0.2299985694885254}, {'class': 'n01877812 wallaby', 'probability': 0.19314865112304688}, {'class': 'n01616318 vulture', 'probability': 0.14276618957519532}, {'class': 'n02105412 kelpie', 'probability': 0.06652465343475342}]
../dataset/Alina_23/n01530575/ILSVRC2012_val_00000651.JPEG;0.25631258010864255;n02259212 leafhopper;n01530575;[{'class': 'n02259212 leafhopper', 'probability': 0.25631258010864255}, {'class': 'n02229544 cricket', 'probability': 0.08772780418395996}, {'class': 'n03476684 hair_slide', 'probability': 0.05224292755126953}, {'class': 'n03658185 letter_opener', 'probability': 0.046155786514282225}, {'class': 'n02226429 grasshopper', 'probability': 0.041270999908447265}]
../dataset/Alina_23/n01530575/ILSVRC2012_val_00000747.JPEG;0.9270332336425782;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9270332336425782}, {'class': 'n01592084 chickadee', 'probability': 0.01382357358932495}, {'class': 'n01531178 goldfinch', 'probability': 0.013797204494476318}, {'class': 'n01534433 junco', 'probability': 0.01333661675453186}, {'class': 'n01828970 bee_eater', 'probability': 0.012449411153793334}]
