image;probability;guess_class;real_class;other_predictions
../dataset/Alina_666/n01440764/ILSVRC2012_val_00000293.JPEG;0.6373565292358399;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.6373565292358399}, {'class': 'n03788365 mosquito_net', 'probability': 0.09203434944152832}, {'class': 'n02536864 coho', 'probability': 0.07089097023010255}, {'class': 'n02804414 bassinet', 'probability': 0.0635983943939209}, {'class': 'n02514041 barracouta', 'probability': 0.03638527870178223}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000236.JPEG;0.6948793792724609;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.6948793792724609}, {'class': 'n02607072 anemone_fish', 'probability': 0.08666701316833496}, {'class': 'n02948072 candle', 'probability': 0.06690360069274902}, {'class': 'n01914609 sea_anemone', 'probability': 0.06561375617980957}, {'class': 'n03729826 matchstick', 'probability': 0.0233632230758667}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000262.JPEG;0.25749059677124025;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.25749059677124025}, {'class': 'n01664065 loggerhead', 'probability': 0.14660462379455566}, {'class': 'n01667778 terrapin', 'probability': 0.07279165267944336}, {'class': 'n01496331 electric_ray', 'probability': 0.07046686172485352}, {'class': 'n02641379 gar', 'probability': 0.06709223747253418}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000307.JPEG;0.9989467620849609;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9989467620849609}, {'class': 'n01440764 tench', 'probability': 0.000771639421582222}, {'class': 'n01632777 axolotl', 'probability': 0.00020040424540638925}, {'class': 'n02641379 gar', 'probability': 7.680445443838835e-05}, {'class': 'n02655020 puffer', 'probability': 1.0501778160687536e-06}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000994.JPEG;0.9994171905517578;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9994171905517578}, {'class': 'n01440764 tench', 'probability': 0.0003704170137643814}, {'class': 'n02606052 rock_beauty', 'probability': 6.580529734492301e-05}, {'class': 'n02655020 puffer', 'probability': 5.8655617758631704e-05}, {'class': 'n01632777 axolotl', 'probability': 3.188637085258961e-05}]
../dataset/Alina_666/n01496331/ILSVRC2012_val_00000921.JPEG;0.10371938705444336;n01664065 loggerhead;n01496331;[{'class': 'n01664065 loggerhead', 'probability': 0.10371938705444336}, {'class': 'n01955084 chiton', 'probability': 0.09919831275939942}, {'class': 'n01496331 electric_ray', 'probability': 0.08940615653991699}, {'class': 'n03447721 gong', 'probability': 0.0698729133605957}, {'class': 'n01978455 rock_crab', 'probability': 0.053969016075134275}]
../dataset/Alina_666/n01514668/ILSVRC2012_val_00000329.JPEG;0.3926837158203125;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.3926837158203125}, {'class': 'n01514668 cock', 'probability': 0.31800830841064454}, {'class': 'n02011460 bittern', 'probability': 0.06589740753173828}, {'class': 'n03482405 hamper', 'probability': 0.021244025230407713}, {'class': 'n01798484 prairie_chicken', 'probability': 0.019427438974380495}]
../dataset/Alina_666/n01514668/ILSVRC2012_val_00000911.JPEG;0.9606333923339844;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9606333923339844}, {'class': 'n01514668 cock', 'probability': 0.031098055839538574}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0022279900312423707}, {'class': 'n01807496 partridge', 'probability': 0.0014192859828472137}, {'class': 'n01806567 quail', 'probability': 0.0010661637783050536}]
../dataset/Alina_666/n01530575/ILSVRC2012_val_00000651.JPEG;0.3679187774658203;n01532829 house_finch;n01530575;[{'class': 'n01532829 house_finch', 'probability': 0.3679187774658203}, {'class': 'n01530575 brambling', 'probability': 0.22338077545166016}, {'class': 'n01534433 junco', 'probability': 0.09217155456542969}, {'class': 'n02027492 red-backed_sandpiper', 'probability': 0.08505919456481933}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.05161266326904297}]
../dataset/Alina_666/n01530575/ILSVRC2012_val_00000747.JPEG;0.9859944915771485;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9859944915771485}, {'class': 'n01534433 junco', 'probability': 0.010595966577529908}, {'class': 'n01558993 robin', 'probability': 0.0024105797708034514}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.00025662602856755254}, {'class': 'n01532829 house_finch', 'probability': 0.00015415038913488388}]
../dataset/Alina_666/n01531178/ILSVRC2012_val_00000570.JPEG;0.5206840515136719;n01531178 goldfinch;n01531178;[{'class': 'n01531178 goldfinch', 'probability': 0.5206840515136719}, {'class': 'n07742313 Granny_Smith', 'probability': 0.042812924385070804}, {'class': 'n07749582 lemon', 'probability': 0.038406674861907956}, {'class': 'n07753275 pineapple', 'probability': 0.026555402278900145}, {'class': 'n07716906 spaghetti_squash', 'probability': 0.016539912223815918}]
../dataset/Alina_666/n01532829/ILSVRC2012_val_00000873.JPEG;0.2402273178100586;n02843684 birdhouse;n01532829;[{'class': 'n02843684 birdhouse', 'probability': 0.2402273178100586}, {'class': 'n04380533 table_lamp', 'probability': 0.2353343391418457}, {'class': 'n03637318 lampshade', 'probability': 0.12400490760803223}, {'class': 'n01532829 house_finch', 'probability': 0.04141125679016113}, {'class': 'n03482405 hamper', 'probability': 0.03447516918182373}]
../dataset/Alina_666/n01534433/ILSVRC2012_val_00000247.JPEG;0.9975575256347656;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9975575256347656}, {'class': 'n01592084 chickadee', 'probability': 0.00233157142996788}, {'class': 'n01530575 brambling', 'probability': 9.280326776206493e-05}, {'class': 'n01601694 water_ouzel', 'probability': 9.955998975783587e-06}, {'class': 'n01560419 bulbul', 'probability': 2.253817510791123e-06}]
../dataset/Alina_666/n01534433/ILSVRC2012_val_00000713.JPEG;0.9950639343261719;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9950639343261719}, {'class': 'n01601694 water_ouzel', 'probability': 0.00350586473941803}, {'class': 'n01560419 bulbul', 'probability': 0.0007299324125051498}, {'class': 'n02018207 American_coot', 'probability': 0.00014445599168539047}, {'class': 'n01580077 jay', 'probability': 0.00012706600129604338}]
../dataset/Alina_666/n01537544/ILSVRC2012_val_00000414.JPEG;0.9046672058105468;n01537544 indigo_bunting;n01537544;[{'class': 'n01537544 indigo_bunting', 'probability': 0.9046672058105468}, {'class': 'n01580077 jay', 'probability': 0.014598922729492187}, {'class': 'n04522168 vase', 'probability': 0.01151121497154236}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.008284684419631958}, {'class': 'n01843065 jacamar', 'probability': 0.005758632421493531}]
../dataset/Alina_666/n01560419/ILSVRC2012_val_00000198.JPEG;0.703392562866211;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.703392562866211}, {'class': 'n01592084 chickadee', 'probability': 0.052148537635803224}, {'class': 'n01582220 magpie', 'probability': 0.0376847505569458}, {'class': 'n01833805 hummingbird', 'probability': 0.03163487434387207}, {'class': 'n01534433 junco', 'probability': 0.02544769048690796}]
../dataset/Alina_666/n01560419/ILSVRC2012_val_00000217.JPEG;0.9997042846679688;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9997042846679688}, {'class': 'n01833805 hummingbird', 'probability': 0.0001862737536430359}, {'class': 'n01534433 junco', 'probability': 4.0280953980982305e-05}, {'class': 'n01532829 house_finch', 'probability': 2.64406343922019e-05}, {'class': 'n01558993 robin', 'probability': 1.5258307103067637e-05}]
../dataset/Alina_666/n01560419/ILSVRC2012_val_00000439.JPEG;0.731951675415039;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.731951675415039}, {'class': 'n01592084 chickadee', 'probability': 0.13187267303466796}, {'class': 'n01582220 magpie', 'probability': 0.08268671989440918}, {'class': 'n01534433 junco', 'probability': 0.01730672478675842}, {'class': 'n01558993 robin', 'probability': 0.011953027248382568}]
../dataset/Alina_666/n01560419/ILSVRC2012_val_00000638.JPEG;0.986934814453125;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.986934814453125}, {'class': 'n01534433 junco', 'probability': 0.008704304695129395}, {'class': 'n01592084 chickadee', 'probability': 0.003608158826828003}, {'class': 'n01582220 magpie', 'probability': 0.00020322708413004876}, {'class': 'n01580077 jay', 'probability': 0.00010112317278981208}]
