image;probability;guess_class;real_class;other_predictions
../dataset/Alina_666/n01440764/ILSVRC2012_val_00000293.JPEG;0.07603690624237061;n03788365 mosquito_net;n01440764;[{'class': 'n03788365 mosquito_net', 'probability': 0.07603690624237061}, {'class': 'n01440764 tench', 'probability': 0.057518630027770995}, {'class': 'n02640242 sturgeon', 'probability': 0.055568971633911134}, {'class': 'n02641379 gar', 'probability': 0.05457384586334228}, {'class': 'n03485794 handkerchief', 'probability': 0.03563492774963379}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000236.JPEG;0.3980204391479492;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.3980204391479492}, {'class': 'n02607072 anemone_fish', 'probability': 0.1744243621826172}, {'class': 'n01914609 sea_anemone', 'probability': 0.16082307815551758}, {'class': 'n12985857 coral_fungus', 'probability': 0.043518056869506834}, {'class': 'n07734744 mushroom', 'probability': 0.04132193088531494}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000262.JPEG;0.6769429779052735;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.6769429779052735}, {'class': 'n01496331 electric_ray', 'probability': 0.06321085929870605}, {'class': 'n01632777 axolotl', 'probability': 0.03199062824249268}, {'class': 'n09256479 coral_reef', 'probability': 0.027102959156036378}, {'class': 'n01943899 conch', 'probability': 0.02340464115142822}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000307.JPEG;0.5724795913696289;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.5724795913696289}, {'class': 'n01632777 axolotl', 'probability': 0.37068172454833986}, {'class': 'n01440764 tench', 'probability': 0.043994593620300296}, {'class': 'n02655020 puffer', 'probability': 0.0009798212349414826}, {'class': 'n07749582 lemon', 'probability': 0.0009102842956781387}]
../dataset/Alina_666/n01443537/ILSVRC2012_val_00000994.JPEG;0.9988619995117187;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9988619995117187}, {'class': 'n02007558 flamingo', 'probability': 0.0004954328015446663}, {'class': 'n02607072 anemone_fish', 'probability': 0.00020718051120638848}, {'class': 'n01855672 goose', 'probability': 0.00010957281105220318}, {'class': 'n01632777 axolotl', 'probability': 8.889722637832165e-05}]
../dataset/Alina_666/n01496331/ILSVRC2012_val_00000921.JPEG;0.1289793872833252;n02321529 sea_cucumber;n01496331;[{'class': 'n02321529 sea_cucumber', 'probability': 0.1289793872833252}, {'class': 'n01955084 chiton', 'probability': 0.07079116344451904}, {'class': 'n13054560 bolete', 'probability': 0.061957206726074215}, {'class': 'n01496331 electric_ray', 'probability': 0.05230801105499268}, {'class': 'n04596742 wok', 'probability': 0.04864797592163086}]
../dataset/Alina_666/n01514668/ILSVRC2012_val_00000329.JPEG;0.2003047561645508;n01514668 cock;n01514668;[{'class': 'n01514668 cock', 'probability': 0.2003047561645508}, {'class': 'n01514859 hen', 'probability': 0.1017871379852295}, {'class': 'n07754684 jackfruit', 'probability': 0.08472155570983887}, {'class': 'n04399382 teddy', 'probability': 0.044247617721557615}, {'class': 'n02437616 llama', 'probability': 0.037435684204101566}]
../dataset/Alina_666/n01514668/ILSVRC2012_val_00000911.JPEG;0.7049241638183594;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.7049241638183594}, {'class': 'n01514668 cock', 'probability': 0.09457928657531739}, {'class': 'n02398521 hippopotamus', 'probability': 0.03859408617019653}, {'class': 'n01860187 black_swan', 'probability': 0.023721637725830077}, {'class': 'n02395406 hog', 'probability': 0.01468752384185791}]
../dataset/Alina_666/n01530575/ILSVRC2012_val_00000651.JPEG;0.19491039276123046;n02259212 leafhopper;n01530575;[{'class': 'n02259212 leafhopper', 'probability': 0.19491039276123046}, {'class': 'n01773549 barn_spider', 'probability': 0.10622247695922851}, {'class': 'n01608432 kite', 'probability': 0.10293246269226074}, {'class': 'n02264363 lacewing', 'probability': 0.10187656402587891}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.031757586002349854}]
../dataset/Alina_666/n01530575/ILSVRC2012_val_00000747.JPEG;0.8912560272216797;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.8912560272216797}, {'class': 'n01558993 robin', 'probability': 0.039215338230133054}, {'class': 'n01534433 junco', 'probability': 0.025246028900146485}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.019289062023162842}, {'class': 'n01796340 ptarmigan', 'probability': 0.005080340504646301}]
