image;probability;guess_class;real_class;other_predictions
../dataset/Alina_69/n01440764/ILSVRC2012_val_00000293.JPEG;0.8280884552001954;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.8280884552001954}, {'class': 'n02640242 sturgeon', 'probability': 0.05830239772796631}, {'class': 'n01873310 platypus', 'probability': 0.023252203464508056}, {'class': 'n01695060 Komodo_dragon', 'probability': 0.022010021209716797}, {'class': 'n02641379 gar', 'probability': 0.01890447497367859}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000236.JPEG;0.2203016471862793;n01632777 axolotl;n01443537;[{'class': 'n01632777 axolotl', 'probability': 0.2203016471862793}, {'class': 'n01443537 goldfish', 'probability': 0.19821088790893554}, {'class': 'n01950731 sea_slug', 'probability': 0.05826925277709961}, {'class': 'n02607072 anemone_fish', 'probability': 0.010697211027145387}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.008972681760787964}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000262.JPEG;0.9855157470703125;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9855157470703125}, {'class': 'n01632777 axolotl', 'probability': 0.0012606097757816314}, {'class': 'n09256479 coral_reef', 'probability': 0.0008384858816862106}, {'class': 'n02701002 ambulance', 'probability': 0.0003593902289867401}, {'class': 'n01664065 loggerhead', 'probability': 0.00019734697416424752}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000307.JPEG;0.9997370910644531;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9997370910644531}, {'class': 'n02701002 ambulance', 'probability': 0.00019501978531479835}, {'class': 'n01440764 tench', 'probability': 6.8789883516728875e-06}, {'class': 'n02422106 hartebeest', 'probability': 3.6033784272149205e-06}, {'class': 'n02977058 cash_machine', 'probability': 2.7014658553525806e-06}]
../dataset/Alina_69/n01443537/ILSVRC2012_val_00000994.JPEG;0.891238784790039;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.891238784790039}, {'class': 'n02607072 anemone_fish', 'probability': 0.004559857249259949}, {'class': 'n02606052 rock_beauty', 'probability': 0.00421343594789505}, {'class': 'n02701002 ambulance', 'probability': 0.00289063423871994}, {'class': 'n02655020 puffer', 'probability': 0.0014266443252563476}]
../dataset/Alina_69/n01496331/ILSVRC2012_val_00000921.JPEG;0.28311824798583984;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.28311824798583984}, {'class': 'n01955084 chiton', 'probability': 0.0965117359161377}, {'class': 'n01917289 brain_coral', 'probability': 0.08036564826965333}, {'class': 'n01978455 rock_crab', 'probability': 0.059551630020141605}, {'class': 'n09256479 coral_reef', 'probability': 0.058323545455932616}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000329.JPEG;0.38206336975097654;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.38206336975097654}, {'class': 'n01514668 cock', 'probability': 0.2275729751586914}, {'class': 'n01798484 prairie_chicken', 'probability': 0.041003451347351075}, {'class': 'n01806143 peacock', 'probability': 0.029296984672546388}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.024899587631225586}]
../dataset/Alina_69/n01514668/ILSVRC2012_val_00000911.JPEG;0.6801129150390625;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.6801129150390625}, {'class': 'n01514668 cock', 'probability': 0.2798758506774902}, {'class': 'n03710193 mailbox', 'probability': 0.002396731674671173}, {'class': 'n01807496 partridge', 'probability': 0.0010061039030551911}, {'class': 'n02017213 European_gallinule', 'probability': 0.0008993355184793473}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000651.JPEG;0.9186444091796875;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9186444091796875}, {'class': 'n01531178 goldfinch', 'probability': 0.032619826793670655}, {'class': 'n01532829 house_finch', 'probability': 0.0029129892587661742}, {'class': 'n01534433 junco', 'probability': 0.0011946462094783784}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.00048310250043869017}]
../dataset/Alina_69/n01530575/ILSVRC2012_val_00000747.JPEG;0.9184127044677735;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9184127044677735}, {'class': 'n01558993 robin', 'probability': 0.0019434183835983277}, {'class': 'n03394916 French_horn', 'probability': 0.0008041317760944367}, {'class': 'n04116512 rubber_eraser', 'probability': 0.00064279206097126}, {'class': 'n07932039 eggnog', 'probability': 0.0005800747126340866}]
