image;probability;guess_class;real_class;other_predictions
../dataset/Alina_777/n01440764/ILSVRC2012_val_00000293.JPEG;0.4801491928100586;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.4801491928100586}, {'class': 'n02536864 coho', 'probability': 0.1485136604309082}, {'class': 'n02640242 sturgeon', 'probability': 0.07981564998626708}, {'class': 'n01990800 isopod', 'probability': 0.05937241554260254}, {'class': 'n02514041 barracouta', 'probability': 0.03369116306304932}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000236.JPEG;0.83080810546875;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.83080810546875}, {'class': 'n01632777 axolotl', 'probability': 0.054357504844665526}, {'class': 'n02607072 anemone_fish', 'probability': 0.013337717056274415}, {'class': 'n01914609 sea_anemone', 'probability': 0.012952014207839965}, {'class': 'n02009912 American_egret', 'probability': 0.009018787145614625}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000262.JPEG;0.9761628723144531;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9761628723144531}, {'class': 'n09256479 coral_reef', 'probability': 0.006789435744285584}, {'class': 'n01632777 axolotl', 'probability': 0.006220160126686096}, {'class': 'n10565667 scuba_diver', 'probability': 0.00303995817899704}, {'class': 'n01496331 electric_ray', 'probability': 0.0010958345234394074}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000307.JPEG;0.9992958068847656;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9992958068847656}, {'class': 'n01440764 tench', 'probability': 0.00047537438571453093}, {'class': 'n02606052 rock_beauty', 'probability': 0.00015595066361129284}, {'class': 'n01632777 axolotl', 'probability': 4.498091526329517e-05}, {'class': 'n02655020 puffer', 'probability': 7.944178069010377e-06}]
../dataset/Alina_777/n01443537/ILSVRC2012_val_00000994.JPEG;0.9697389221191406;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9697389221191406}, {'class': 'n01440764 tench', 'probability': 0.01878989815711975}, {'class': 'n02606052 rock_beauty', 'probability': 0.007875518798828125}, {'class': 'n01632777 axolotl', 'probability': 0.000664387047290802}, {'class': 'n02655020 puffer', 'probability': 0.00021846462041139603}]
../dataset/Alina_777/n01496331/ILSVRC2012_val_00000921.JPEG;0.9603469085693359;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.9603469085693359}, {'class': 'n01917289 brain_coral', 'probability': 0.01312881350517273}, {'class': 'n09256479 coral_reef', 'probability': 0.004153987467288971}, {'class': 'n01664065 loggerhead', 'probability': 0.003502073585987091}, {'class': 'n01910747 jellyfish', 'probability': 0.0020254284143447878}]
../dataset/Alina_777/n01514668/ILSVRC2012_val_00000329.JPEG;0.4708506393432617;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.4708506393432617}, {'class': 'n01514668 cock', 'probability': 0.1602216339111328}, {'class': 'n01798484 prairie_chicken', 'probability': 0.10683051109313965}, {'class': 'n03482405 hamper', 'probability': 0.08072392463684082}, {'class': 'n04204238 shopping_basket', 'probability': 0.020719985961914062}]
../dataset/Alina_777/n01514668/ILSVRC2012_val_00000911.JPEG;0.8775273895263672;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.8775273895263672}, {'class': 'n01514668 cock', 'probability': 0.12219257354736328}, {'class': 'n01807496 partridge', 'probability': 6.983777508139611e-05}, {'class': 'n01806567 quail', 'probability': 3.980614710599184e-05}, {'class': 'n01797886 ruffed_grouse', 'probability': 3.714124904945493e-05}]
../dataset/Alina_777/n01530575/ILSVRC2012_val_00000651.JPEG;0.8798600006103515;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.8798600006103515}, {'class': 'n01532829 house_finch', 'probability': 0.0417806339263916}, {'class': 'n03794056 mousetrap', 'probability': 0.03173239231109619}, {'class': 'n01531178 goldfinch', 'probability': 0.016160030364990235}, {'class': 'n01534433 junco', 'probability': 0.014644354581832886}]
../dataset/Alina_777/n01530575/ILSVRC2012_val_00000747.JPEG;0.9963737487792969;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9963737487792969}, {'class': 'n01558993 robin', 'probability': 0.0020377346873283386}, {'class': 'n01531178 goldfinch', 'probability': 0.001329067051410675}, {'class': 'n01534433 junco', 'probability': 9.683790616691113e-05}, {'class': 'n01532829 house_finch', 'probability': 4.6370024792850015e-05}]
../dataset/Alina_777/n01531178/ILSVRC2012_val_00000570.JPEG;0.7414434814453125;n01531178 goldfinch;n01531178;[{'class': 'n01531178 goldfinch', 'probability': 0.7414434814453125}, {'class': 'n01530575 brambling', 'probability': 0.05587218284606934}, {'class': 'n01829413 hornbill', 'probability': 0.03945013999938965}, {'class': 'n01828970 bee_eater', 'probability': 0.03408139228820801}, {'class': 'n01532829 house_finch', 'probability': 0.016018261909484865}]
../dataset/Alina_777/n01532829/ILSVRC2012_val_00000873.JPEG;0.4610145568847656;n04380533 table_lamp;n01532829;[{'class': 'n04380533 table_lamp', 'probability': 0.4610145568847656}, {'class': 'n03637318 lampshade', 'probability': 0.3435995101928711}, {'class': 'n02843684 birdhouse', 'probability': 0.16055892944335937}, {'class': 'n01532829 house_finch', 'probability': 0.010026448965072631}, {'class': 'n03903868 pedestal', 'probability': 0.004741193354129791}]
../dataset/Alina_777/n01534433/ILSVRC2012_val_00000247.JPEG;0.991014633178711;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.991014633178711}, {'class': 'n01592084 chickadee', 'probability': 0.0038348618149757385}, {'class': 'n01530575 brambling', 'probability': 0.002240978181362152}, {'class': 'n01601694 water_ouzel', 'probability': 0.001178031787276268}, {'class': 'n01537544 indigo_bunting', 'probability': 0.00041330371052026747}]
../dataset/Alina_777/n01534433/ILSVRC2012_val_00000713.JPEG;0.9930845642089844;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9930845642089844}, {'class': 'n01601694 water_ouzel', 'probability': 0.003655807077884674}, {'class': 'n01530575 brambling', 'probability': 0.0011472447961568832}, {'class': 'n01560419 bulbul', 'probability': 0.0006120454147458077}, {'class': 'n01531178 goldfinch', 'probability': 0.00015114695765078068}]
../dataset/Alina_777/n01537544/ILSVRC2012_val_00000414.JPEG;0.9952422332763672;n01537544 indigo_bunting;n01537544;[{'class': 'n01537544 indigo_bunting', 'probability': 0.9952422332763672}, {'class': 'n01532829 house_finch', 'probability': 0.0014175228774547578}, {'class': 'n01534433 junco', 'probability': 0.0011975997686386108}, {'class': 'n01530575 brambling', 'probability': 0.00044301606714725495}, {'class': 'n01580077 jay', 'probability': 0.00034196428954601287}]
../dataset/Alina_777/n01560419/ILSVRC2012_val_00000198.JPEG;0.9619212341308594;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9619212341308594}, {'class': 'n01608432 kite', 'probability': 0.005180401206016541}, {'class': 'n01824575 coucal', 'probability': 0.004075592756271363}, {'class': 'n02486261 patas', 'probability': 0.002351250797510147}, {'class': 'n02018795 bustard', 'probability': 0.0021908344328403473}]
../dataset/Alina_777/n01560419/ILSVRC2012_val_00000217.JPEG;0.9997523498535156;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9997523498535156}, {'class': 'n01582220 magpie', 'probability': 5.885816644877195e-05}, {'class': 'n01580077 jay', 'probability': 4.992789123207331e-05}, {'class': 'n01558993 robin', 'probability': 3.4877262078225615e-05}, {'class': 'n01833805 hummingbird', 'probability': 1.9626489374786616e-05}]
../dataset/Alina_777/n01560419/ILSVRC2012_val_00000439.JPEG;0.9763389587402344;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9763389587402344}, {'class': 'n01601694 water_ouzel', 'probability': 0.014045504331588745}, {'class': 'n01558993 robin', 'probability': 0.00203948974609375}, {'class': 'n01534433 junco', 'probability': 0.0019444975256919861}, {'class': 'n01592084 chickadee', 'probability': 0.0009567583352327346}]
../dataset/Alina_777/n01560419/ILSVRC2012_val_00000638.JPEG;0.9998711395263672;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9998711395263672}, {'class': 'n01843065 jacamar', 'probability': 5.545015446841717e-05}, {'class': 'n01592084 chickadee', 'probability': 1.0254684602841736e-05}, {'class': 'n01601694 water_ouzel', 'probability': 1.0092745069414378e-05}, {'class': 'n01833805 hummingbird', 'probability': 9.40628000535071e-06}]
../dataset/Alina_777/n01580077/ILSVRC2012_val_00000880.JPEG;0.9904513549804688;n01580077 jay;n01580077;[{'class': 'n01580077 jay', 'probability': 0.9904513549804688}, {'class': 'n02500267 indri', 'probability': 0.004405571222305298}, {'class': 'n01582220 magpie', 'probability': 0.0011672008782625197}, {'class': 'n01829413 hornbill', 'probability': 0.0008019798249006272}, {'class': 'n01806143 peacock', 'probability': 0.0005734700337052345}]
../dataset/Alina_777/n01582220/ILSVRC2012_val_00000476.JPEG;0.7484092712402344;n02096585 Boston_bull;n01582220;[{'class': 'n02096585 Boston_bull', 'probability': 0.7484092712402344}, {'class': 'n01855672 goose', 'probability': 0.07124442577362061}, {'class': 'n02018207 American_coot', 'probability': 0.02352191925048828}, {'class': 'n02002724 black_stork', 'probability': 0.021743600368499757}, {'class': 'n02105412 kelpie', 'probability': 0.01417409896850586}]
../dataset/Alina_777/n01582220/ILSVRC2012_val_00000963.JPEG;0.9972772979736328;n01582220 magpie;n01582220;[{'class': 'n01582220 magpie', 'probability': 0.9972772979736328}, {'class': 'n02500267 indri', 'probability': 0.0004202363267540932}, {'class': 'n01829413 hornbill', 'probability': 0.0002928218804299831}, {'class': 'n01824575 coucal', 'probability': 0.00018212873488664626}, {'class': 'n02056570 king_penguin', 'probability': 0.00017424749210476876}]
../dataset/Alina_777/n01592084/ILSVRC2012_val_00000837.JPEG;0.9932391357421875;n01592084 chickadee;n01592084;[{'class': 'n01592084 chickadee', 'probability': 0.9932391357421875}, {'class': 'n01601694 water_ouzel', 'probability': 0.001024710237979889}, {'class': 'n01843065 jacamar', 'probability': 0.00039256345480680465}, {'class': 'n01534433 junco', 'probability': 0.0003238951414823532}, {'class': 'n01530575 brambling', 'probability': 0.0002480994537472725}]
../dataset/Alina_777/n01601694/ILSVRC2012_val_00000962.JPEG;0.736417465209961;n01601694 water_ouzel;n01601694;[{'class': 'n01601694 water_ouzel', 'probability': 0.736417465209961}, {'class': 'n01860187 black_swan', 'probability': 0.04558102130889893}, {'class': 'n01855032 red-breasted_merganser', 'probability': 0.026595418453216554}, {'class': 'n01847000 drake', 'probability': 0.01836509823799133}, {'class': 'n02099429 curly-coated_retriever', 'probability': 0.017121205329895018}]
../dataset/Alina_777/n01608432/ILSVRC2012_val_00000073.JPEG;0.5725184631347656;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.5725184631347656}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.24662586212158202}, {'class': 'n02006656 spoonbill', 'probability': 0.096806640625}, {'class': 'n02009912 American_egret', 'probability': 0.051916036605834964}, {'class': 'n01614925 bald_eagle', 'probability': 0.0035938385128974916}]
../dataset/Alina_777/n01608432/ILSVRC2012_val_00000328.JPEG;0.9769815826416015;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.9769815826416015}, {'class': 'n01616318 vulture', 'probability': 0.008640458583831787}, {'class': 'n01614925 bald_eagle', 'probability': 0.004838725030422211}, {'class': 'n02013706 limpkin', 'probability': 0.003135368227958679}, {'class': 'n01824575 coucal', 'probability': 0.0014304226636886596}]
../dataset/Alina_777/n01608432/ILSVRC2012_val_00000739.JPEG;0.9439385223388672;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.9439385223388672}, {'class': 'n01795545 black_grouse', 'probability': 0.016927831172943116}, {'class': 'n01796340 ptarmigan', 'probability': 0.013951677083969116}, {'class': 'n01798484 prairie_chicken', 'probability': 0.012000149488449097}, {'class': 'n01614925 bald_eagle', 'probability': 0.0028993335366249086}]
../dataset/Alina_777/n01608432/ILSVRC2012_val_00000888.JPEG;0.9641139221191406;n01608432 kite;n01608432;[{'class': 'n01608432 kite', 'probability': 0.9641139221191406}, {'class': 'n01616318 vulture', 'probability': 0.008132043480873107}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.004290065169334412}, {'class': 'n01833805 hummingbird', 'probability': 0.0033054423332214357}, {'class': 'n02011460 bittern', 'probability': 0.0025771158933639527}]
../dataset/Alina_777/n01614925/ILSVRC2012_val_00000128.JPEG;0.9796318054199219;n01608432 kite;n01614925;[{'class': 'n01608432 kite', 'probability': 0.9796318054199219}, {'class': 'n01616318 vulture', 'probability': 0.006489331126213074}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0035239544510841368}, {'class': 'n01622779 great_grey_owl', 'probability': 0.0033241599798202516}, {'class': 'n01796340 ptarmigan', 'probability': 0.0017614655196666717}]
../dataset/Alina_777/n01616318/ILSVRC2012_val_00000018.JPEG;0.4450469207763672;n01608432 kite;n01616318;[{'class': 'n01608432 kite', 'probability': 0.4450469207763672}, {'class': 'n01616318 vulture', 'probability': 0.37823341369628904}, {'class': 'n02002724 black_stork', 'probability': 0.0877564525604248}, {'class': 'n02012849 crane', 'probability': 0.024594273567199707}, {'class': 'n01855672 goose', 'probability': 0.009835621118545532}]
../dataset/Alina_777/n01616318/ILSVRC2012_val_00000025.JPEG;0.9673753356933594;n01616318 vulture;n01616318;[{'class': 'n01616318 vulture', 'probability': 0.9673753356933594}, {'class': 'n01795545 black_grouse', 'probability': 0.011798239946365356}, {'class': 'n01514859 hen', 'probability': 0.008090457916259765}, {'class': 'n01608432 kite', 'probability': 0.003220025300979614}, {'class': 'n01798484 prairie_chicken', 'probability': 0.0017260390520095826}]
../dataset/Alina_777/n01616318/ILSVRC2012_val_00000916.JPEG;0.9988038635253906;n01616318 vulture;n01616318;[{'class': 'n01616318 vulture', 'probability': 0.9988038635253906}, {'class': 'n01608432 kite', 'probability': 0.0004166364297270775}, {'class': 'n02002724 black_stork', 'probability': 0.0003946831822395325}, {'class': 'n01829413 hornbill', 'probability': 0.00014600214548408984}, {'class': 'n02013706 limpkin', 'probability': 8.769663050770759e-05}]
