image;probability;guess_class;real_class;other_predictions
../dataset/Alina_911/n01440764/ILSVRC2012_val_00000293.JPEG;0.30180953979492187;n01440764 tench;n01440764;[{'class': 'n01440764 tench', 'probability': 0.30180953979492187}, {'class': 'n02264363 lacewing', 'probability': 0.16083465576171874}, {'class': 'n03788365 mosquito_net', 'probability': 0.07673818588256837}, {'class': 'n02074367 dugong', 'probability': 0.06302119255065917}, {'class': 'n04033901 quill', 'probability': 0.03690232992172241}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000236.JPEG;0.7162601470947265;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.7162601470947265}, {'class': 'n01914609 sea_anemone', 'probability': 0.16940057754516602}, {'class': 'n01990800 isopod', 'probability': 0.03022979259490967}, {'class': 'n01924916 flatworm', 'probability': 0.01963178873062134}, {'class': 'n02607072 anemone_fish', 'probability': 0.014335254430770874}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000262.JPEG;0.19746261596679687;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.19746261596679687}, {'class': 'n01632777 axolotl', 'probability': 0.1521285057067871}, {'class': 'n02077923 sea_lion', 'probability': 0.07990344524383546}, {'class': 'n01496331 electric_ray', 'probability': 0.06715614318847657}, {'class': 'n02488291 langur', 'probability': 0.05673943519592285}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000307.JPEG;0.9988883972167969;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9988883972167969}, {'class': 'n01440764 tench', 'probability': 0.0009001018106937408}, {'class': 'n02655020 puffer', 'probability': 9.160109795629978e-05}, {'class': 'n01632777 axolotl', 'probability': 4.759558942168951e-05}, {'class': 'n02514041 barracouta', 'probability': 2.5227637961506845e-05}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000994.JPEG;0.9985965728759766;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9985965728759766}, {'class': 'n01440764 tench', 'probability': 0.0005611122399568558}, {'class': 'n02606052 rock_beauty', 'probability': 0.000260777473449707}, {'class': 'n01632777 axolotl', 'probability': 0.00019312586635351182}, {'class': 'n02607072 anemone_fish', 'probability': 0.00015653850510716439}]
../dataset/Alina_911/n01496331/ILSVRC2012_val_00000921.JPEG;0.13723008155822755;n01978455 rock_crab;n01496331;[{'class': 'n01978455 rock_crab', 'probability': 0.13723008155822755}, {'class': 'n03259280 Dutch_oven', 'probability': 0.08518437385559081}, {'class': 'n01955084 chiton', 'probability': 0.0709832525253296}, {'class': 'n02526121 eel', 'probability': 0.06393811225891113}, {'class': 'n01873310 platypus', 'probability': 0.04636571407318115}]
../dataset/Alina_911/n01514668/ILSVRC2012_val_00000329.JPEG;0.4129495620727539;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.4129495620727539}, {'class': 'n01798484 prairie_chicken', 'probability': 0.15889408111572265}, {'class': 'n01514668 cock', 'probability': 0.05114685535430908}, {'class': 'n02011460 bittern', 'probability': 0.04911034107208252}, {'class': 'n01807496 partridge', 'probability': 0.03651694536209107}]
../dataset/Alina_911/n01514668/ILSVRC2012_val_00000911.JPEG;0.9288970184326172;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.9288970184326172}, {'class': 'n01514668 cock', 'probability': 0.0698395013809204}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.00033400304615497587}, {'class': 'n01807496 partridge', 'probability': 0.0002206025831401348}, {'class': 'n01795545 black_grouse', 'probability': 0.00015916159376502036}]
../dataset/Alina_911/n01530575/ILSVRC2012_val_00000651.JPEG;0.4177279281616211;n01532829 house_finch;n01530575;[{'class': 'n01532829 house_finch', 'probability': 0.4177279281616211}, {'class': 'n01530575 brambling', 'probability': 0.35405448913574217}, {'class': 'n01534433 junco', 'probability': 0.08812868118286132}, {'class': 'n02027492 red-backed_sandpiper', 'probability': 0.03734024286270141}, {'class': 'n01531178 goldfinch', 'probability': 0.027545599937438964}]
../dataset/Alina_911/n01530575/ILSVRC2012_val_00000747.JPEG;0.9962416076660157;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9962416076660157}, {'class': 'n01534433 junco', 'probability': 0.0015012034773826599}, {'class': 'n01558993 robin', 'probability': 0.0008032368123531341}, {'class': 'n01531178 goldfinch', 'probability': 0.00041133444756269455}, {'class': 'n01532829 house_finch', 'probability': 0.00018491031602025032}]
