image;probability;guess_class;real_class;other_predictions
../dataset/Alina_911/n01440764/ILSVRC2012_val_00000293.JPEG;0.14652925491333008;n01664065 loggerhead;n01440764;[{'class': 'n01664065 loggerhead', 'probability': 0.14652925491333008}, {'class': 'n03788365 mosquito_net', 'probability': 0.12613795280456544}, {'class': 'n02640242 sturgeon', 'probability': 0.04443228244781494}, {'class': 'n01665541 leatherback_turtle', 'probability': 0.040108351707458495}, {'class': 'n02641379 gar', 'probability': 0.038061749935150144}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000236.JPEG;0.9725953674316407;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.9725953674316407}, {'class': 'n01914609 sea_anemone', 'probability': 0.008207009434700012}, {'class': 'n01943899 conch', 'probability': 0.0035862454771995542}, {'class': 'n01990800 isopod', 'probability': 0.002993432879447937}, {'class': 'n01632777 axolotl', 'probability': 0.0025933262705802916}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000262.JPEG;0.4117816162109375;n01632777 axolotl;n01443537;[{'class': 'n01632777 axolotl', 'probability': 0.4117816162109375}, {'class': 'n01873310 platypus', 'probability': 0.14545358657836915}, {'class': 'n01443537 goldfish', 'probability': 0.07186486721038818}, {'class': 'n01496331 electric_ray', 'probability': 0.03833264589309692}, {'class': 'n02326432 hare', 'probability': 0.024021527767181396}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000307.JPEG;0.9776534271240235;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9776534271240235}, {'class': 'n01440764 tench', 'probability': 0.010096777677536011}, {'class': 'n02655020 puffer', 'probability': 0.0035156339406967165}, {'class': 'n02607072 anemone_fish', 'probability': 0.0032756125926971438}, {'class': 'n02606052 rock_beauty', 'probability': 0.002126020640134811}]
../dataset/Alina_911/n01443537/ILSVRC2012_val_00000994.JPEG;0.9989710998535156;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9989710998535156}, {'class': 'n02607072 anemone_fish', 'probability': 0.0006962587684392929}, {'class': 'n02606052 rock_beauty', 'probability': 0.00011824422515928746}, {'class': 'n01440764 tench', 'probability': 0.00010299820452928543}, {'class': 'n02655020 puffer', 'probability': 3.438039449974895e-05}]
../dataset/Alina_911/n01496331/ILSVRC2012_val_00000921.JPEG;0.22146202087402345;n01978455 rock_crab;n01496331;[{'class': 'n01978455 rock_crab', 'probability': 0.22146202087402345}, {'class': 'n02321529 sea_cucumber', 'probability': 0.1298261547088623}, {'class': 'n01955084 chiton', 'probability': 0.10739590644836426}, {'class': 'n01978287 Dungeness_crab', 'probability': 0.08231409072875977}, {'class': 'n01496331 electric_ray', 'probability': 0.07869707584381104}]
../dataset/Alina_911/n01514668/ILSVRC2012_val_00000329.JPEG;0.5372360229492188;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.5372360229492188}, {'class': 'n01807496 partridge', 'probability': 0.1292198944091797}, {'class': 'n01798484 prairie_chicken', 'probability': 0.12781641960144044}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.06584290504455566}, {'class': 'n01514668 cock', 'probability': 0.045068273544311525}]
../dataset/Alina_911/n01514668/ILSVRC2012_val_00000911.JPEG;0.8831816864013672;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.8831816864013672}, {'class': 'n01514668 cock', 'probability': 0.1120892333984375}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0014857923984527587}, {'class': 'n01806143 peacock', 'probability': 0.0006114817410707474}, {'class': 'n01806567 quail', 'probability': 0.0005561045929789543}]
../dataset/Alina_911/n01530575/ILSVRC2012_val_00000651.JPEG;0.40071956634521483;n02027492 red-backed_sandpiper;n01530575;[{'class': 'n02027492 red-backed_sandpiper', 'probability': 0.40071956634521483}, {'class': 'n01530575 brambling', 'probability': 0.31493780136108396}, {'class': 'n01532829 house_finch', 'probability': 0.19188522338867187}, {'class': 'n01534433 junco', 'probability': 0.06383076190948486}, {'class': 'n01601694 water_ouzel', 'probability': 0.005016528367996216}]
../dataset/Alina_911/n01530575/ILSVRC2012_val_00000747.JPEG;0.9999732971191406;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9999732971191406}, {'class': 'n01534433 junco', 'probability': 2.6109900791198015e-05}, {'class': 'n01558993 robin', 'probability': 6.102386032580398e-07}, {'class': 'n01592084 chickadee', 'probability': 1.9132976376567968e-08}, {'class': 'n01531178 goldfinch', 'probability': 8.914800559978175e-09}]
