image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.40667621612548827;n02641379 gar;n01440764;[{'class': 'n02641379 gar', 'probability': 0.40667621612548827}, {'class': 'n01440764 tench', 'probability': 0.2636392974853516}, {'class': 'n01695060 Komodo_dragon', 'probability': 0.10654349327087402}, {'class': 'n02526121 eel', 'probability': 0.07061468601226807}, {'class': 'n02640242 sturgeon', 'probability': 0.05235730648040771}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.46428508758544923;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.46428508758544923}, {'class': 'n02607072 anemone_fish', 'probability': 0.3801676559448242}, {'class': 'n01914609 sea_anemone', 'probability': 0.12798573493957519}, {'class': 'n01924916 flatworm', 'probability': 0.012657856941223145}, {'class': 'n01943899 conch', 'probability': 0.010413321256637574}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.8768132781982422;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8768132781982422}, {'class': 'n10565667 scuba_diver', 'probability': 0.036780872344970704}, {'class': 'n02643566 lionfish', 'probability': 0.016848843097686767}, {'class': 'n09256479 coral_reef', 'probability': 0.014091638326644897}, {'class': 'n01496331 electric_ray', 'probability': 0.004133527278900147}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9999457550048828;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999457550048828}, {'class': 'n01820546 lorikeet', 'probability': 2.5985725224018096e-05}, {'class': 'n01632777 axolotl', 'probability': 1.824438222683966e-05}, {'class': 'n01440764 tench', 'probability': 4.442585923243314e-06}, {'class': 'n02607072 anemone_fish', 'probability': 1.8786675354931504e-06}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9999040222167969;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9999040222167969}, {'class': 'n02007558 flamingo', 'probability': 6.446427199989557e-05}, {'class': 'n02607072 anemone_fish', 'probability': 2.3738252930343152e-05}, {'class': 'n01631663 eft', 'probability': 3.399197885300964e-06}, {'class': 'n02606052 rock_beauty', 'probability': 1.7210155783686786e-06}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.5640714263916016;n02321529 sea_cucumber;n01496331;[{'class': 'n02321529 sea_cucumber', 'probability': 0.5640714263916016}, {'class': 'n01496331 electric_ray', 'probability': 0.1736079978942871}, {'class': 'n02526121 eel', 'probability': 0.06403861999511719}, {'class': 'n09472597 volcano', 'probability': 0.056793222427368166}, {'class': 'n01955084 chiton', 'probability': 0.026115772724151613}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.5583061599731445;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.5583061599731445}, {'class': 'n01514668 cock', 'probability': 0.4121059799194336}, {'class': 'n01558993 robin', 'probability': 0.0036627739667892457}, {'class': 'n02490219 marmoset', 'probability': 0.003280622959136963}, {'class': 'n02494079 squirrel_monkey', 'probability': 0.002685621976852417}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.6394272994995117;n01514668 cock;n01514668;[{'class': 'n01514668 cock', 'probability': 0.6394272994995117}, {'class': 'n01514859 hen', 'probability': 0.19573909759521485}, {'class': 'n01860187 black_swan', 'probability': 0.10805288314819336}, {'class': 'n01795545 black_grouse', 'probability': 0.0249341344833374}, {'class': 'n01616318 vulture', 'probability': 0.012347095012664795}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.9833198547363281;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9833198547363281}, {'class': 'n01534433 junco', 'probability': 0.007148129940032959}, {'class': 'n02025239 ruddy_turnstone', 'probability': 0.002346750646829605}, {'class': 'n01532829 house_finch', 'probability': 0.0018258149921894073}, {'class': 'n02027492 red-backed_sandpiper', 'probability': 0.0008258083462715149}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9999864959716797;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9999864959716797}, {'class': 'n01558993 robin', 'probability': 1.22960249427706e-05}, {'class': 'n01534433 junco', 'probability': 1.036244648275897e-06}, {'class': 'n01592084 chickadee', 'probability': 7.9683786680107e-08}, {'class': 'n01531178 goldfinch', 'probability': 7.006311079749139e-08}]
