image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.6159492111206055;n02536864 coho;n01440764;[{'class': 'n02536864 coho', 'probability': 0.6159492111206055}, {'class': 'n02640242 sturgeon', 'probability': 0.13872629165649414}, {'class': 'n01440764 tench', 'probability': 0.1366571044921875}, {'class': 'n02641379 gar', 'probability': 0.05642323017120361}, {'class': 'n02514041 barracouta', 'probability': 0.04415400505065918}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.5343037414550781;n01950731 sea_slug;n01443537;[{'class': 'n01950731 sea_slug', 'probability': 0.5343037414550781}, {'class': 'n02607072 anemone_fish', 'probability': 0.11887277603149414}, {'class': 'n01914609 sea_anemone', 'probability': 0.07959078788757325}, {'class': 'n01632777 axolotl', 'probability': 0.06959784030914307}, {'class': 'n01443537 goldfish', 'probability': 0.03210824728012085}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.9896186828613281;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9896186828613281}, {'class': 'n09256479 coral_reef', 'probability': 0.0028261777758598326}, {'class': 'n10565667 scuba_diver', 'probability': 0.0024552007019519807}, {'class': 'n01632777 axolotl', 'probability': 0.0013572892546653747}, {'class': 'n01910747 jellyfish', 'probability': 0.0005868154764175415}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9990576171875;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9990576171875}, {'class': 'n01440764 tench', 'probability': 0.0004171641543507576}, {'class': 'n02606052 rock_beauty', 'probability': 0.0003882920742034912}, {'class': 'n02655020 puffer', 'probability': 2.6356736198067667e-05}, {'class': 'n02641379 gar', 'probability': 2.343716099858284e-05}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.9977414703369141;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9977414703369141}, {'class': 'n01440764 tench', 'probability': 0.0015916523337364196}, {'class': 'n02606052 rock_beauty', 'probability': 0.00047555018216371536}, {'class': 'n02607072 anemone_fish', 'probability': 4.039124120026827e-05}, {'class': 'n01632777 axolotl', 'probability': 2.1378861274570225e-05}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.8772348022460937;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.8772348022460937}, {'class': 'n01910747 jellyfish', 'probability': 0.046053590774536135}, {'class': 'n01950731 sea_slug', 'probability': 0.01760715842247009}, {'class': 'n01917289 brain_coral', 'probability': 0.012482486963272095}, {'class': 'n09472597 volcano', 'probability': 0.010470627546310425}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.4831573486328125;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.4831573486328125}, {'class': 'n01514668 cock', 'probability': 0.37377830505371096}, {'class': 'n04204238 shopping_basket', 'probability': 0.02800873517990112}, {'class': 'n01798484 prairie_chicken', 'probability': 0.015100539922714233}, {'class': 'n03482405 hamper', 'probability': 0.011001026630401612}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.6952994537353515;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.6952994537353515}, {'class': 'n01514668 cock', 'probability': 0.3033262825012207}, {'class': 'n01807496 partridge', 'probability': 0.00023845262825489044}, {'class': 'n01616318 vulture', 'probability': 0.00014144688844680786}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.0001374760176986456}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.7719684600830078;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.7719684600830078}, {'class': 'n01531178 goldfinch', 'probability': 0.15893882751464844}, {'class': 'n03794056 mousetrap', 'probability': 0.021428604125976563}, {'class': 'n01534433 junco', 'probability': 0.014720404148101806}, {'class': 'n01532829 house_finch', 'probability': 0.011695526838302613}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9992182159423828;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9992182159423828}, {'class': 'n01558993 robin', 'probability': 0.0005737559497356415}, {'class': 'n01531178 goldfinch', 'probability': 8.144350722432137e-05}, {'class': 'n01534433 junco', 'probability': 6.185682490468025e-05}, {'class': 'n01532829 house_finch', 'probability': 3.139082808047533e-05}]
../dataset/ALine/n01531178/ILSVRC2012_val_00000570.JPEG;0.9920620727539062;n01531178 goldfinch;n01531178;[{'class': 'n01531178 goldfinch', 'probability': 0.9920620727539062}, {'class': 'n01829413 hornbill', 'probability': 0.0013714493811130524}, {'class': "n12057211 yellow_lady's_slipper", 'probability': 0.0010241344571113586}, {'class': 'n01843383 toucan', 'probability': 0.0006974734365940094}, {'class': 'n01828970 bee_eater', 'probability': 0.0006104524433612823}]
../dataset/ALine/n01532829/ILSVRC2012_val_00000873.JPEG;0.4495519256591797;n01532829 house_finch;n01532829;[{'class': 'n01532829 house_finch', 'probability': 0.4495519256591797}, {'class': 'n02843684 birdhouse', 'probability': 0.40319831848144533}, {'class': 'n04507155 umbrella', 'probability': 0.023334670066833495}, {'class': 'n01537544 indigo_bunting', 'probability': 0.022115187644958498}, {'class': 'n04380533 table_lamp', 'probability': 0.01907277703285217}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000247.JPEG;0.9973069763183594;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9973069763183594}, {'class': 'n01530575 brambling', 'probability': 0.0008540865033864975}, {'class': 'n01537544 indigo_bunting', 'probability': 0.0006992964446544647}, {'class': 'n01532829 house_finch', 'probability': 0.0004385757073760033}, {'class': 'n01592084 chickadee', 'probability': 0.00014016984961926938}]
../dataset/ALine/n01534433/ILSVRC2012_val_00000713.JPEG;0.9988047027587891;n01534433 junco;n01534433;[{'class': 'n01534433 junco', 'probability': 0.9988047027587891}, {'class': 'n01601694 water_ouzel', 'probability': 0.00043738260865211487}, {'class': 'n01560419 bulbul', 'probability': 0.00024749049916863444}, {'class': 'n01530575 brambling', 'probability': 0.00011930333450436592}, {'class': 'n01532829 house_finch', 'probability': 2.727763494476676e-05}]
../dataset/ALine/n01537544/ILSVRC2012_val_00000414.JPEG;0.9999258422851562;n01537544 indigo_bunting;n01537544;[{'class': 'n01537544 indigo_bunting', 'probability': 0.9999258422851562}, {'class': 'n02017213 European_gallinule', 'probability': 4.8495670780539514e-05}, {'class': 'n01532829 house_finch', 'probability': 6.0567143373191355e-06}, {'class': 'n01828970 bee_eater', 'probability': 5.7065760483965275e-06}, {'class': 'n01818515 macaw', 'probability': 2.499958500266075e-06}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000198.JPEG;0.9924962615966797;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9924962615966797}, {'class': 'n01843383 toucan', 'probability': 0.002096445709466934}, {'class': 'n01828970 bee_eater', 'probability': 0.0009286115318536759}, {'class': 'n01824575 coucal', 'probability': 0.0005510665848851204}, {'class': 'n01818515 macaw', 'probability': 0.0004497738927602768}]
../dataset/ALine/n01560419/ILSVRC2012_val_00000217.JPEG;0.9998995208740235;n01560419 bulbul;n01560419;[{'class': 'n01560419 bulbul', 'probability': 0.9998995208740235}, {'class': 'n01580077 jay', 'probability': 3.924365155398846e-05}, {'class': 'n01558993 robin', 'probability': 1.761972322128713e-05}, {'class': 'n01582220 magpie', 'probability': 1.4524016296491028e-05}, {'class': 'n01534433 junco', 'probability': 5.637636641040444e-06}]
