image;probability;guess_class;real_class;other_predictions
../dataset/ALine/n01440764/ILSVRC2012_val_00000293.JPEG;0.5526738739013672;n02640242 sturgeon;n01440764;[{'class': 'n02640242 sturgeon', 'probability': 0.5526738739013672}, {'class': 'n01440764 tench', 'probability': 0.10932381629943848}, {'class': 'n01873310 platypus', 'probability': 0.0994974708557129}, {'class': 'n02526121 eel', 'probability': 0.041203246116638184}, {'class': 'n01695060 Komodo_dragon', 'probability': 0.024137279987335204}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000236.JPEG;0.09908275604248047;n01632777 axolotl;n01443537;[{'class': 'n01632777 axolotl', 'probability': 0.09908275604248047}, {'class': 'n01443537 goldfish', 'probability': 0.0825728988647461}, {'class': 'n02607072 anemone_fish', 'probability': 0.05551001071929931}, {'class': 'n01950731 sea_slug', 'probability': 0.03611223697662354}, {'class': 'n01819313 sulphur-crested_cockatoo', 'probability': 0.02021976709365845}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000262.JPEG;0.97695556640625;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.97695556640625}, {'class': 'n09256479 coral_reef', 'probability': 0.003607422709465027}, {'class': 'n10565667 scuba_diver', 'probability': 0.0006685096025466919}, {'class': 'n01664065 loggerhead', 'probability': 0.0005682933330535888}, {'class': 'n02701002 ambulance', 'probability': 0.0005643393844366074}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000307.JPEG;0.9998233795166016;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.9998233795166016}, {'class': 'n02701002 ambulance', 'probability': 0.00014606535434722901}, {'class': 'n02422106 hartebeest', 'probability': 2.6712470571510495e-06}, {'class': 'n01440764 tench', 'probability': 2.4128267250489444e-06}, {'class': 'n02927161 butcher_shop', 'probability': 1.1427380377426744e-06}]
../dataset/ALine/n01443537/ILSVRC2012_val_00000994.JPEG;0.8427278137207032;n01443537 goldfish;n01443537;[{'class': 'n01443537 goldfish', 'probability': 0.8427278137207032}, {'class': 'n02607072 anemone_fish', 'probability': 0.016001064777374268}, {'class': 'n02606052 rock_beauty', 'probability': 0.009251715540885925}, {'class': 'n02007558 flamingo', 'probability': 0.002798166275024414}, {'class': 'n02701002 ambulance', 'probability': 0.0025459402799606324}]
../dataset/ALine/n01496331/ILSVRC2012_val_00000921.JPEG;0.9551961517333984;n01496331 electric_ray;n01496331;[{'class': 'n01496331 electric_ray', 'probability': 0.9551961517333984}, {'class': 'n01917289 brain_coral', 'probability': 0.004120752215385437}, {'class': 'n01955084 chiton', 'probability': 0.002678186595439911}, {'class': 'n01498041 stingray', 'probability': 0.0017355337738990783}, {'class': 'n02526121 eel', 'probability': 0.0012503811717033387}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000329.JPEG;0.3727255630493164;n01514668 cock;n01514668;[{'class': 'n01514668 cock', 'probability': 0.3727255630493164}, {'class': 'n01514859 hen', 'probability': 0.27687585830688477}, {'class': 'n01806143 peacock', 'probability': 0.06785037517547607}, {'class': 'n01616318 vulture', 'probability': 0.010118019580841065}, {'class': 'n01797886 ruffed_grouse', 'probability': 0.00773257315158844}]
../dataset/ALine/n01514668/ILSVRC2012_val_00000911.JPEG;0.5700703430175781;n01514859 hen;n01514668;[{'class': 'n01514859 hen', 'probability': 0.5700703430175781}, {'class': 'n01514668 cock', 'probability': 0.21552373886108397}, {'class': 'n03710193 mailbox', 'probability': 0.011675255298614502}, {'class': 'n01860187 black_swan', 'probability': 0.004442564249038696}, {'class': 'n02017213 European_gallinule', 'probability': 0.004040881097316742}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000651.JPEG;0.6806937408447266;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.6806937408447266}, {'class': 'n01531178 goldfinch', 'probability': 0.15762721061706542}, {'class': 'n01534433 junco', 'probability': 0.004658620357513427}, {'class': 'n01532829 house_finch', 'probability': 0.0026010996103286743}, {'class': 'n01537544 indigo_bunting', 'probability': 0.0014560674130916595}]
../dataset/ALine/n01530575/ILSVRC2012_val_00000747.JPEG;0.9422607421875;n01530575 brambling;n01530575;[{'class': 'n01530575 brambling', 'probability': 0.9422607421875}, {'class': 'n03394916 French_horn', 'probability': 0.0005406921356916428}, {'class': 'n07932039 eggnog', 'probability': 0.0005069864541292191}, {'class': 'n01532829 house_finch', 'probability': 0.00034835629165172574}, {'class': 'n01558993 robin', 'probability': 0.00034300964325666427}]
